,GRIN2D (2906)
ACH-000004,-0.05586441733440001
ACH-000007,-0.359047817645
ACH-000009,-0.442853175216
ACH-000011,-0.218975914323
ACH-000012,-0.266903505059
ACH-000013,-0.360788705701
ACH-000014,-0.308216323367
ACH-000015,-0.23294717259
ACH-000017,-0.220395517491
ACH-000018,-0.147716298262
ACH-000019,-0.19654892840399998
ACH-000021,-0.204680458545
ACH-000022,-0.38483571890100005
ACH-000025,0.0293175907845
ACH-000028,-0.22745779570799998
ACH-000030,-0.221540985628
ACH-000035,-0.0850385240044
ACH-000036,-0.045831674204299996
ACH-000037,-0.163462401817
ACH-000039,-0.19273554587000002
ACH-000040,-0.132492431667
ACH-000041,-0.188618146734
ACH-000042,-0.149242864574
ACH-000045,-0.243884029678
ACH-000047,-0.19696484742800002
ACH-000052,-0.239030769413
ACH-000053,-0.103629294765
ACH-000054,-0.1474539929
ACH-000055,-0.376756997354
ACH-000060,-0.107321634849
ACH-000067,-0.21816994707600001
ACH-000070,-0.18215949487
ACH-000075,-0.357339187034
ACH-000078,-0.150814828856
ACH-000082,-0.156324884799
ACH-000085,-0.0919616215835
ACH-000086,-0.364148402223
ACH-000087,-0.39299956079000004
ACH-000092,-0.139033002719
ACH-000095,-0.219116171169
ACH-000097,-0.260933683406
ACH-000098,-0.278980850707
ACH-000099,-0.23144204849
ACH-000108,-0.186579998703
ACH-000113,-0.13737862487400002
ACH-000115,-0.433270655722
ACH-000116,-0.300061396673
ACH-000118,-0.114196290496
ACH-000120,-0.315141211862
ACH-000123,-0.278098136032
ACH-000127,-0.184104355593
ACH-000128,-0.114987291504
ACH-000132,-0.08482633688880001
ACH-000133,-0.34153834346600004
ACH-000137,-0.29491620584600003
ACH-000138,-0.240188946433
ACH-000142,-0.31501925037399997
ACH-000143,-0.19257056651299997
ACH-000146,-0.22020879422800002
ACH-000148,-0.167203004565
ACH-000150,-0.11681239528
ACH-000152,-0.182684789269
ACH-000153,-0.349594321062
ACH-000159,-0.24732809789700003
ACH-000160,-0.29377288854899997
ACH-000163,-0.10530200020300001
ACH-000167,-0.360478400889
ACH-000168,-0.270123393554
ACH-000169,-0.204387774168
ACH-000178,-0.0637195105572
ACH-000182,-0.23319165081
ACH-000183,-0.260100330262
ACH-000188,-0.151031667461
ACH-000189,-0.268181483029
ACH-000190,-0.247445688935
ACH-000198,-0.326077368296
ACH-000204,-0.49316071336
ACH-000206,-0.10150847521600001
ACH-000207,-0.10975094535800001
ACH-000211,-0.265426141005
ACH-000215,-0.21248763032200002
ACH-000221,-0.26876567774599996
ACH-000222,-0.142349852139
ACH-000223,-0.160059296432
ACH-000226,-0.220033138007
ACH-000227,-0.17314260669700002
ACH-000228,-0.419387777074
ACH-000231,-0.152853122435
ACH-000232,-0.18994958532499998
ACH-000233,-0.17728843031
ACH-000234,-0.13265570578400002
ACH-000235,-0.170856018429
ACH-000237,-0.348964990864
ACH-000238,-0.0347516509129
ACH-000243,-0.15714978148
ACH-000244,-0.00815491297811
ACH-000246,-0.284471692383
ACH-000248,-0.0941282274027
ACH-000250,-0.22545939903499998
ACH-000251,-0.218724199212
ACH-000253,-0.146044453372
ACH-000255,-0.22643638176999997
ACH-000256,-0.11778479422900001
ACH-000257,0.019609685758099998
ACH-000258,-0.21794296994000004
ACH-000259,-0.322403816218
ACH-000260,-0.165942244878
ACH-000261,-0.28078274239900003
ACH-000262,-0.314483264281
ACH-000263,-0.11866330695499999
ACH-000264,-0.131618709387
ACH-000265,-0.214460127421
ACH-000266,-0.21795112049899998
ACH-000272,-0.148651665371
ACH-000273,-0.31664366011399997
ACH-000274,-0.252189862079
ACH-000277,-0.21807264338500001
ACH-000278,-0.35917808230400006
ACH-000279,-0.250131739487
ACH-000280,-0.332206410821
ACH-000281,-0.018851693245000002
ACH-000288,-0.168647027307
ACH-000291,-0.35855039151199997
ACH-000293,-0.118783309738
ACH-000294,-0.6656674318399999
ACH-000295,-0.0366823904746
ACH-000296,-0.30178968894200003
ACH-000302,-0.46939122198999994
ACH-000304,-0.245572031172
ACH-000307,-0.09671652230660001
ACH-000308,-0.29795974913400003
ACH-000310,-0.120924359398
ACH-000311,-0.292521761937
ACH-000312,-0.247842412471
ACH-000315,0.24772418196499998
ACH-000316,-0.0279053495803
ACH-000317,-0.188474942152
ACH-000318,-0.155349342169
ACH-000319,-0.315898416963
ACH-000320,-0.155314514302
ACH-000322,-0.124633344657
ACH-000323,-0.024830243257800002
ACH-000324,-0.1428916434
ACH-000329,-0.235567479805
ACH-000330,-0.23839707099500002
ACH-000331,-0.238011375894
ACH-000332,-0.199799520999
ACH-000334,-0.353278720099
ACH-000335,-0.47242011253
ACH-000336,-0.034181163831000005
ACH-000337,-0.21586338897399998
ACH-000339,-0.21006951173
ACH-000341,-0.139329103902
ACH-000348,-0.18540407847800003
ACH-000350,-0.289683837168
ACH-000352,-0.272365705737
ACH-000356,-0.39514717308700004
ACH-000361,-0.277871339629
ACH-000362,-0.135308364304
ACH-000363,-0.241102580981
ACH-000364,-0.258561722397
ACH-000365,-0.0815657785993
ACH-000366,-0.478050886686
ACH-000368,-0.253917982153
ACH-000374,0.0145569515294
ACH-000375,-0.23323598399
ACH-000376,-0.251063320069
ACH-000381,-0.258836348003
ACH-000383,-0.289254839161
ACH-000387,-0.0883687361043
ACH-000389,-0.357831307758
ACH-000390,-0.330263917822
ACH-000393,-0.38600327871299994
ACH-000395,-0.320890468288
ACH-000397,-0.335797848711
ACH-000401,-0.16414395178400001
ACH-000402,0.142118303724
ACH-000403,-0.330557951875
ACH-000404,-0.08210778850539999
ACH-000406,-0.157348835386
ACH-000407,-0.10498246082800002
ACH-000408,-0.142340910562
ACH-000410,-0.134145973496
ACH-000411,-0.30504972666499997
ACH-000414,-0.210063873823
ACH-000415,-0.0881757655531
ACH-000416,-0.17316645386399998
ACH-000420,-0.17996371428599997
ACH-000421,-0.19498313562300001
ACH-000424,-0.0239678108128
ACH-000425,-0.14002781464000003
ACH-000426,-0.042242628929699995
ACH-000427,-0.24396415491
ACH-000433,-0.165845569486
ACH-000436,-0.0841403728804
ACH-000444,-0.20514784919799997
ACH-000445,-0.282380429639
ACH-000448,-0.189097131831
ACH-000450,-0.159779173367
ACH-000452,-0.20964859767299998
ACH-000454,-0.126875370126
ACH-000458,-0.41772232348099997
ACH-000459,-0.287176675915
ACH-000460,-0.235257138402
ACH-000461,-0.211776134865
ACH-000463,-0.255584773536
ACH-000464,-0.286884748326
ACH-000466,-0.239962992591
ACH-000467,-0.143889811168
ACH-000468,-0.23373361666200002
ACH-000469,-0.268879729153
ACH-000470,-0.028869009972799998
ACH-000471,-0.174913266866
ACH-000472,-0.308877319724
ACH-000473,-0.301695827929
ACH-000475,-0.13935257203
ACH-000476,-0.27132923449499996
ACH-000477,-0.305197458387
ACH-000480,-0.132647646143
ACH-000481,-0.200711234598
ACH-000483,-0.267766754054
ACH-000484,-0.20135871539099998
ACH-000485,-0.232631872082
ACH-000486,-0.30524321857
ACH-000487,-0.205150108563
ACH-000488,-0.234715925834
ACH-000490,-0.180650968527
ACH-000491,-0.30364892563499996
ACH-000495,-0.255945612236
ACH-000496,-0.07963075733450001
ACH-000499,-0.353013888065
ACH-000500,-0.0544246180806
ACH-000502,-0.236345169959
ACH-000503,-0.32316688236900004
ACH-000505,-0.26892129254
ACH-000507,-0.217860005998
ACH-000510,-0.253024826105
ACH-000511,-0.14085321625999997
ACH-000512,0.00040814089723300006
ACH-000516,-0.214534319353
ACH-000517,-0.206518282176
