,MST1 (4485)
ACH-000004,-0.46264878484800004
ACH-000007,-0.319560861339
ACH-000009,-0.8311777293289999
ACH-000011,-0.832321638362
ACH-000012,-0.797892561302
ACH-000013,-0.5214213666899999
ACH-000014,-0.830954441368
ACH-000015,-0.7666940948000001
ACH-000017,-0.537848505625
ACH-000018,-0.814677848617
ACH-000019,-0.415082215365
ACH-000021,-0.587858030066
ACH-000022,-0.598136806736
ACH-000025,-0.796304008487
ACH-000028,-0.5640029171459999
ACH-000030,-0.8267218920749999
ACH-000035,-0.6004386088229999
ACH-000036,-0.654641024793
ACH-000037,-0.674074118838
ACH-000039,-1.28952180699
ACH-000040,-0.556138953305
ACH-000041,-0.824831891231
ACH-000042,-0.8792858222769999
ACH-000045,-0.614682709834
ACH-000047,-0.7879788221940001
ACH-000052,-0.656087420015
ACH-000053,-0.804263424343
ACH-000054,-0.710058592403
ACH-000055,-0.7251467869760001
ACH-000060,-0.662381678229
ACH-000067,-0.709401870916
ACH-000070,-0.485038230283
ACH-000075,-0.586201313769
ACH-000078,-0.61377362669
ACH-000082,-0.684637075781
ACH-000085,-0.629373576863
ACH-000086,-0.827221045129
ACH-000087,-0.648543648544
ACH-000092,-0.508323857583
ACH-000095,-0.7005690541419999
ACH-000097,-0.9636146169490001
ACH-000098,-0.884829374697
ACH-000099,-0.578219204421
ACH-000108,-0.5805278951699999
ACH-000113,-0.943914394982
ACH-000115,-1.0080661444299999
ACH-000116,-0.6521433545750001
ACH-000118,-0.476032687339
ACH-000120,-0.674136998628
ACH-000123,-0.7679443152809999
ACH-000127,-0.768979433643
ACH-000128,-0.9669692363869999
ACH-000132,-0.534454983549
ACH-000133,-0.54994982044
ACH-000137,-0.7115445413060001
ACH-000138,-0.44472880515
ACH-000142,-0.701037278222
ACH-000143,-0.702616391877
ACH-000146,-0.864369304037
ACH-000148,-0.7816609453200001
ACH-000150,-0.662803774597
ACH-000152,-0.7794697771629999
ACH-000153,-0.299132084421
ACH-000159,-0.6835736678859999
ACH-000160,-0.857508485902
ACH-000163,-0.565856959907
ACH-000167,-0.7220705076999999
ACH-000168,-0.294704535154
ACH-000169,-0.9013986371430001
ACH-000178,-0.566773884696
ACH-000182,-0.484774746827
ACH-000183,-0.69011640332
ACH-000188,-0.661259508386
ACH-000189,-0.8017882089730001
ACH-000190,-1.00276870384
ACH-000198,-0.855933783105
ACH-000204,-0.277759640612
ACH-000206,-0.9654162816449999
ACH-000207,-0.723843409001
ACH-000211,-0.6765916688529999
ACH-000215,-0.790809890518
ACH-000221,-0.838415154279
ACH-000222,-0.7760247525749999
ACH-000223,-0.30034762774
ACH-000226,-0.63086298454
ACH-000227,-0.709934708408
ACH-000228,-0.50063781548
ACH-000231,-0.593328296967
ACH-000232,-0.76336589008
ACH-000233,-0.683389230247
ACH-000234,-0.994910831886
ACH-000235,-0.785409338835
ACH-000237,-0.8670178215279999
ACH-000238,-0.681421005812
ACH-000243,-0.6533970025720001
ACH-000244,-0.9512183006489999
ACH-000246,-0.616080741927
ACH-000248,-0.666544162033
ACH-000250,-0.586748031837
ACH-000251,-0.48402662356000004
ACH-000253,-1.12592300759
ACH-000255,-0.659463298891
ACH-000256,-0.8445658000920001
ACH-000257,-1.05992780875
ACH-000258,-0.6797741548999999
ACH-000259,-0.6031476452800001
ACH-000260,-0.727404681095
ACH-000261,-0.723340543716
ACH-000262,-0.690171457634
ACH-000263,-0.866701067774
ACH-000264,-0.7225262283570001
ACH-000265,-0.660511140135
ACH-000266,-0.6838438013979999
ACH-000272,-0.842469582722
ACH-000273,-0.7229483099099999
ACH-000274,-1.0408497864
ACH-000277,-0.599363593972
ACH-000278,-0.69395082299
ACH-000279,-0.8657539411149999
ACH-000280,-0.9269790151649999
ACH-000281,-0.897115976335
ACH-000288,-0.785257993332
ACH-000291,-0.702490661411
ACH-000293,-0.730101797022
ACH-000294,-0.78429965435
ACH-000295,-0.9955987274879999
ACH-000296,-1.17432616915
ACH-000302,-0.590364635243
ACH-000304,-0.41629833065399996
ACH-000307,-0.7290422744220001
ACH-000308,-0.541776512763
ACH-000310,-0.7578889963359999
ACH-000311,-0.839634049924
ACH-000312,-0.5281180315
ACH-000315,-1.02118834325
ACH-000316,-1.3536589939800001
ACH-000317,-0.582836435341
ACH-000318,-0.393913716541
ACH-000319,-0.44912211393299994
ACH-000320,-0.541508014855
ACH-000322,-0.42445764486500004
ACH-000323,-0.7469697020899999
ACH-000324,-0.766987239738
ACH-000329,-0.978008598699
ACH-000330,-0.9428914022920001
ACH-000331,-0.7055722375200001
ACH-000332,-0.581457189274
ACH-000334,-0.7270787958499999
ACH-000335,-1.09689414119
ACH-000336,-0.629876026565
ACH-000337,-0.642022648043
ACH-000339,-0.723184211183
ACH-000341,-0.616681349053
ACH-000348,-0.745349623569
ACH-000350,-0.806223036036
ACH-000352,-0.7866945123729999
ACH-000356,-0.7486524706450001
ACH-000361,-0.660803286889
ACH-000362,-0.9203098117020001
ACH-000363,-0.559998755851
ACH-000364,-0.771253685998
ACH-000365,-0.888552466466
ACH-000366,-0.722864006177
ACH-000368,-0.667719810962
ACH-000374,-0.649953322688
ACH-000375,-0.638984170537
ACH-000376,-0.6798527661079999
ACH-000381,-0.597713670778
ACH-000383,-0.632912156404
ACH-000387,-0.750408323404
ACH-000389,-0.494904855176
ACH-000390,-0.8325468928190001
ACH-000393,-0.751193934798
ACH-000395,-0.7433134219740001
ACH-000397,-0.465832141089
ACH-000401,-1.2326339350700002
ACH-000402,-1.31835287241
ACH-000403,-0.721199109135
ACH-000404,-0.752738717458
ACH-000406,-0.894715085664
ACH-000407,-0.988479547724
ACH-000408,-1.11652291174
ACH-000410,-0.520524337611
ACH-000411,-0.418990957076
ACH-000414,-0.528374378258
ACH-000415,-0.772967257911
ACH-000416,-0.49864629090400003
ACH-000420,-0.7472817707520001
ACH-000421,-0.6606916057209999
ACH-000424,-0.869215893416
ACH-000425,-0.575748867908
ACH-000426,-0.828318339966
ACH-000427,-0.338729907613
ACH-000433,-0.81388692847
ACH-000436,-0.680575653796
ACH-000444,-0.837599950336
ACH-000445,-0.7572405358750001
ACH-000448,-0.737174490166
ACH-000450,-0.902462906205
ACH-000452,-0.7437569758499999
ACH-000454,-0.952042326785
ACH-000458,-0.840831197115
ACH-000459,-0.906493062697
ACH-000460,-0.878565653684
ACH-000461,-0.803768010153
ACH-000463,-0.561469360472
ACH-000464,-0.679103061672
ACH-000466,-1.5255557626700003
ACH-000467,-0.975197016828
ACH-000468,-1.04266566536
ACH-000469,-0.662686321926
ACH-000470,-0.827311885501
ACH-000471,-0.712926944384
ACH-000472,-0.5652526116409999
ACH-000473,-0.822278569879
ACH-000475,-0.747456321919
ACH-000476,-0.605644521733
ACH-000477,-0.981434229372
ACH-000480,-0.469509418939
ACH-000481,-0.8049534504100001
ACH-000483,-0.43778038868
ACH-000484,-0.5890197912990001
ACH-000485,-0.776154394716
ACH-000486,-0.540688797735
ACH-000487,-0.844483135776
ACH-000488,-0.668652070559
ACH-000490,-0.6818915356499999
ACH-000491,-0.7273940401160001
ACH-000495,-0.8210046079819999
ACH-000496,-0.726657438591
ACH-000499,-0.6461135433290001
ACH-000500,-0.599483218596
ACH-000502,-0.5099320800129999
ACH-000503,-0.7874909227150001
ACH-000505,-0.7062935300220001
ACH-000507,-0.6712610794439999
ACH-000510,-0.512896168201
ACH-000511,-0.736501510992
ACH-000512,-0.816248854763
ACH-000516,-0.520656396173
ACH-000517,-0.931125964983
ACH-000518,-0.546410353612
ACH-000520,-0.832908755314
ACH-000521,-0.758825249103
ACH-000522,-0.822730536136
ACH-000524,-0.6369088771329999
ACH-000527,-0.6492871699939999
ACH-000528,-0.5037946493500001
ACH-000537,-0.733905792001
ACH-000541,-0.786240495465
ACH-000542,-0.666699835569
ACH-000544,-0.7188974317929999
ACH-000545,-0.665200694502
ACH-000547,-0.728620921106
ACH-000548,-0.566221631687
ACH-000549,-0.823649077401
ACH-000550,-0.935428429482
ACH-000552,-0.690244249009
ACH-000556,-0.648821658999
ACH-000557,-0.809467483364
ACH-000570,-0.624255638728
ACH-000571,-0.786922570731
ACH-000573,-0.573260149487
ACH-000576,-0.6291296891579999
ACH-000580,-0.668386959049
ACH-000584,-0.6822995423579999
ACH-000585,-0.72545456193
ACH-000588,-0.855640218523
ACH-000589,-0.7259265330069999
ACH-000591,-0.9657506631939999
ACH-000593,-0.806415105647
ACH-000600,-0.813192997803
ACH-000601,-0.7134603581669999
ACH-000604,-0.8779937369149999
ACH-000605,-0.8806689290299999
ACH-000606,-0.606210230463
ACH-000608,-0.5503654144919999
ACH-000614,-0.970066889445
ACH-000616,-0.692283780659
ACH-000618,-0.6839388098929999
ACH-000619,-0.785267688485
ACH-000620,-0.8456931169040001
