,CCT2 (10576)
ACH-000004,-1.7000221327200002
ACH-000007,-1.18802775718
ACH-000009,-1.3313771078299999
ACH-000011,-1.0468555742899999
ACH-000012,-1.36089973212
ACH-000013,-1.17241564177
ACH-000014,-0.9838137948899999
ACH-000015,-1.2004364621799999
ACH-000017,-1.0777780011700002
ACH-000018,-1.4125275361200003
ACH-000019,-1.4868049684600002
ACH-000021,-1.3079510258
ACH-000022,-1.02449529082
ACH-000025,-1.45671804546
ACH-000028,-1.26624780881
ACH-000030,-1.38203576903
ACH-000035,-1.15807156287
ACH-000036,-1.5572505800100003
ACH-000037,-1.8991904688099999
ACH-000039,-1.37083892694
ACH-000040,-1.3629187742200002
ACH-000041,-1.36237916875
ACH-000042,-1.21211221985
ACH-000045,-1.4344109664500002
ACH-000047,-1.29906913139
ACH-000052,-1.34664204438
ACH-000053,-1.47069769667
ACH-000054,-1.37032880269
ACH-000055,-0.9347668622759999
ACH-000060,-1.20550705081
ACH-000067,-1.3476068754799997
ACH-000070,-1.32037681972
ACH-000075,-1.38672801058
ACH-000078,-1.3198859811599999
ACH-000082,-1.20338975869
ACH-000085,-1.4047864637600003
ACH-000086,-1.3158802238200002
ACH-000087,-1.35809217586
ACH-000092,-1.3346508460100002
ACH-000095,-1.58436448633
ACH-000097,-1.1571778410299998
ACH-000098,-1.35935611617
ACH-000099,-1.21959959526
ACH-000108,-1.0447328655600001
ACH-000113,-1.3656771949000002
ACH-000115,-1.6122327927899998
ACH-000116,-1.0147890603299998
ACH-000118,-1.3227905145399999
ACH-000120,-0.950993155978
ACH-000123,-1.16807191564
ACH-000127,-1.10475221793
ACH-000128,-1.524859771
ACH-000132,-1.44369425394
ACH-000133,-1.23589483356
ACH-000137,-1.2664479022
ACH-000138,-1.05189631928
ACH-000142,-1.4528926223899998
ACH-000143,-0.979139184538
ACH-000146,-1.47551477851
ACH-000148,-1.3424799075799998
ACH-000150,-1.2943217439599999
ACH-000152,-1.2820583472799998
ACH-000153,-1.73974169306
ACH-000159,-1.38966102122
ACH-000160,-1.13798052585
ACH-000163,-1.2641404088600001
ACH-000167,-1.9601287569699999
ACH-000168,-1.26421173576
ACH-000169,-1.21620039485
ACH-000178,-1.25369965008
ACH-000182,-1.1669421067
ACH-000183,-1.22098736953
ACH-000188,-1.3141697847299998
ACH-000189,-0.795816410105
ACH-000190,-1.0553612494
ACH-000198,-1.3794685798100002
ACH-000204,-1.3952860627
ACH-000206,-1.3585207707299998
ACH-000207,-1.7583889279099998
ACH-000211,-1.6790705428100001
ACH-000215,-1.2998175418200002
ACH-000221,-1.17890133816
ACH-000222,-1.3790932538799998
ACH-000223,-1.2890211588299998
ACH-000226,-1.3503803026499999
ACH-000227,-1.5968947090799999
ACH-000228,-1.1789188064700002
ACH-000231,-1.36423774158
ACH-000232,-1.46578438468
ACH-000233,-1.32562687916
ACH-000234,-1.2402360164
ACH-000235,-1.08935071404
ACH-000237,-1.23534160411
ACH-000238,-1.34906709602
ACH-000243,-1.3298553960200001
ACH-000244,-1.12168204559
ACH-000246,-1.22204629434
ACH-000248,-1.21664990384
ACH-000250,-1.3481390365600001
ACH-000251,-1.08692120389
ACH-000253,-1.28091142582
ACH-000255,-1.03351845445
ACH-000256,-1.3258781768799999
ACH-000257,-1.48702425191
ACH-000258,-1.39550147167
ACH-000259,-1.2061126229299999
ACH-000260,-1.3562241415600003
ACH-000261,-1.58235391526
ACH-000262,-1.54479020192
ACH-000263,-1.5375158122600001
ACH-000264,-1.2391618402700002
ACH-000265,-1.2369246729899999
ACH-000266,-1.2427681525399998
ACH-000272,-1.45070808794
ACH-000273,-1.5292199338499999
ACH-000274,-1.49601871609
ACH-000277,-1.2788649948
ACH-000278,-1.17997699402
ACH-000279,-1.21970349673
ACH-000280,-1.36100495699
ACH-000281,-1.4006092293999999
ACH-000288,-1.47551420618
ACH-000291,-1.60685620653
ACH-000293,-1.4888800733399998
ACH-000294,-1.40000413013
ACH-000295,-1.5663039563799999
ACH-000296,-1.0537135253399998
ACH-000302,-1.51397670466
ACH-000304,-1.29320974852
ACH-000307,-1.36390296591
ACH-000308,-1.39346424942
ACH-000310,-1.48100700366
ACH-000311,-1.04676049549
ACH-000312,-1.17199409012
ACH-000315,-0.8696593373870001
ACH-000316,-1.29890381227
ACH-000317,-1.05623181512
ACH-000318,-1.0735444345
ACH-000319,-1.2011474273
ACH-000320,-1.35975518747
ACH-000322,-0.9757117448289999
ACH-000323,-1.5665033754799997
ACH-000324,-1.2493461550799998
ACH-000329,-1.5222274465299999
ACH-000330,-0.995412122784
ACH-000331,-1.1346594883299999
ACH-000332,-1.31012674166
ACH-000334,-1.7156353330200003
ACH-000335,-1.08213815764
ACH-000336,-1.6875813643700002
ACH-000337,-1.15822417789
ACH-000339,-1.45204163904
ACH-000341,-1.32857310333
ACH-000348,-1.2128746454600001
ACH-000350,-1.4543055897100001
ACH-000352,-1.08865584503
ACH-000356,-1.04105098205
ACH-000361,-0.856711587822
ACH-000362,-1.4671455825600002
ACH-000363,-1.2884285542
ACH-000364,-1.09239387978
ACH-000365,-1.1518926330500001
ACH-000366,-1.32326078491
ACH-000368,-0.967944584369
ACH-000374,-0.933708656136
ACH-000375,-1.64530034145
ACH-000376,-1.20925153725
ACH-000381,-1.23995850858
ACH-000383,-1.4836703813799998
ACH-000387,-1.3190688773600001
ACH-000389,-1.28460971175
ACH-000390,-1.49063604149
ACH-000393,-1.47192305676
ACH-000395,-1.23734904429
ACH-000397,-1.2232520316600002
ACH-000401,-1.12654614623
ACH-000402,-1.59848518334
ACH-000403,-1.6083903907400001
ACH-000404,-1.086568593
ACH-000406,-1.43839638538
