,GPR35 (2859)
ACH-000459,-0.09771758296319999
ACH-000460,-0.0597227535111
ACH-000461,-0.137962428201
ACH-000463,-0.175411104644
ACH-000464,-0.277193293271
ACH-000466,-0.0777016470217
ACH-000467,-0.17175076483899998
ACH-000468,-0.101148471897
ACH-000469,-0.166228360021
ACH-000470,-0.30739461795699996
ACH-000471,-0.0957210138627
ACH-000472,-0.0737159058262
ACH-000473,-0.0661819447541
ACH-000475,-0.120710866117
ACH-000476,-0.0931034179424
ACH-000477,-0.13992611896999999
ACH-000480,-0.034727712115300007
ACH-000481,-0.0229650663846
ACH-000483,-0.0391678916981
ACH-000484,-0.0628525017466
ACH-000485,-0.101208682622
ACH-000486,-0.164747703591
ACH-000487,-0.245567349772
ACH-000488,-0.201739901253
ACH-000490,-0.189075851028
ACH-000491,-0.247601843182
ACH-000495,-0.20933105592300003
ACH-000496,-0.100510640402
ACH-000499,-0.12187877909299999
ACH-000500,0.276677287889
ACH-000502,-0.20115960249499998
ACH-000503,0.131946701955
ACH-000505,-0.19421435607999998
ACH-000507,-0.43886667840899996
ACH-000510,-0.23498674049899998
ACH-000511,-0.0725490309944
ACH-000512,0.0343367920698
ACH-000516,-0.120084671086
ACH-000517,-0.139488454305
ACH-000518,-0.055586497525699996
ACH-000520,-0.206415515827
ACH-000521,-0.41665435830499997
ACH-000522,-0.053828959615699994
ACH-000524,-0.148406002714
ACH-000527,-0.308964547823
ACH-000528,-0.167327025572
ACH-000537,0.00782745288962
ACH-000541,-0.200651720332
ACH-000542,-0.0708247424733
ACH-000544,-0.231555227408
ACH-000545,-0.00984509128909
ACH-000547,0.12189168361500001
ACH-000548,-0.059712965538099995
ACH-000549,-0.164171015933
ACH-000550,-0.10890756152999999
ACH-000552,-0.333755918632
ACH-000556,-0.19009062759
ACH-000557,0.00556038622672
ACH-000570,-0.109438586995
ACH-000571,-0.193581508647
ACH-000573,-0.0284404597431
ACH-000576,0.005609101622649999
ACH-000580,-0.139018563269
ACH-000584,-0.0507066101061
ACH-000585,-0.109360066161
ACH-000588,0.0348364057124
ACH-000589,-0.20179531189599997
ACH-000591,-0.07404410016889999
ACH-000593,-0.203179226697
ACH-000600,-0.213674165528
ACH-000601,-0.260320315671
ACH-000604,-0.141838189438
ACH-000605,-0.041323317693199996
ACH-000606,-0.0066617639269
ACH-000608,-0.049675737573699995
ACH-000614,-0.0933281254817
ACH-000616,-0.35816553505500004
ACH-000618,-0.10402747239
ACH-000619,-0.111556730616
ACH-000620,-0.339661942546
ACH-000621,-0.12025225120300001
ACH-000622,-0.0742604149884
ACH-000623,-0.322145700889
ACH-000624,-0.183603036994
ACH-000627,-0.265486840941
ACH-000630,-0.11671261089099999
ACH-000632,-0.12134337920499999
ACH-000633,-0.0930933134447
ACH-000637,-0.347351305649
ACH-000638,0.05006649046569999
ACH-000646,-0.0342597065852
ACH-000647,-0.0808943027147
ACH-000648,-0.358775549763
ACH-000649,-0.205585564899
ACH-000651,-0.09629054791410001
ACH-000652,-0.202209183094
ACH-000653,-0.043199433865
ACH-000657,-0.0837183662358
ACH-000658,0.0656503868267
ACH-000661,-0.09188784411160002
ACH-000662,0.16118631303300002
ACH-000663,0.0897445767021
ACH-000665,-0.108922338444
ACH-000671,-0.259507959412
ACH-000673,-0.151471318544
ACH-000676,-0.191280327291
ACH-000677,-0.306796904426
ACH-000681,-0.11662470435399999
ACH-000682,-0.190583711981
ACH-000683,-0.163348877855
ACH-000684,-0.0441127767693
ACH-000688,-0.19708264339899997
ACH-000693,-0.16090781726
ACH-000694,-0.0220911713258
ACH-000695,-0.121422518201
ACH-000696,-0.05962537597630001
ACH-000697,0.202452097225
ACH-000699,-0.263635384131
ACH-000701,-0.205770008314
ACH-000706,-0.00652201695287
ACH-000711,-0.12128499951199999
ACH-000713,-0.0211751213428
ACH-000714,-0.0763395692749
ACH-000718,-0.258039901612
ACH-000720,-0.104236283484
ACH-000721,-0.137024474431
ACH-000724,0.21092558879700002
ACH-000725,-0.105790597126
ACH-000732,-0.181724813207
ACH-000734,-0.245649526581
ACH-000735,-0.21364034832400003
ACH-000736,-0.0672063061851
ACH-000738,-0.207887021886
ACH-000746,0.11198723326400001
ACH-000747,-0.121196626033
ACH-000748,-0.0981172308607
ACH-000753,-0.183197929945
ACH-000756,-0.14229552742
ACH-000757,-0.02647271803
ACH-000758,-0.38224092833000006
ACH-000760,-0.142326917161
ACH-000763,0.11893914894600001
ACH-000764,0.0982115891396
ACH-000765,-0.302462961993
ACH-000766,-0.0154760575646
ACH-000767,-0.16561536418
ACH-000768,-0.08052906323310001
ACH-000769,-0.09124531519099999
ACH-000770,-0.134053866889
ACH-000771,-0.23944997402600002
ACH-000773,-0.161854350675
ACH-000776,-0.168484135229
ACH-000777,-0.276595268201
ACH-000778,-0.0982720913152
ACH-000781,-0.15627821990000001
ACH-000782,-0.04577939264280001
ACH-000783,-0.146246919974
ACH-000784,-0.19840221574900002
ACH-000785,-0.264128135919
ACH-000787,-0.106427415835
ACH-000788,-0.161947721414
ACH-000791,-0.0814285475974
ACH-000792,-0.312142467522
ACH-000794,-0.130965748133
ACH-000796,-0.191693510603
ACH-000799,-0.17400290093499998
ACH-000800,-0.12690993805700002
ACH-000802,-0.230996661879
ACH-000804,0.00906402277987
ACH-000805,-0.128458650309
ACH-000809,-0.22177323620900002
ACH-000810,-0.04939268868649999
ACH-000811,-0.20297731394699997
ACH-000817,-0.0173076276356
ACH-000819,-0.12338497065300001
ACH-000820,-0.21608056329999997
ACH-000821,-0.22751987160999998
ACH-000822,0.014133508278000001
ACH-000823,-0.17773274691
ACH-000824,-0.197463262225
ACH-000827,-0.0263643715962
ACH-000829,0.029231915246200002
ACH-000831,-0.30849734749
ACH-000832,0.0476013969449
ACH-000833,-0.131129395913
ACH-000834,-0.299036216534
ACH-000835,-0.105720794056
ACH-000836,-0.25499383657499997
ACH-000837,-0.121600750251
ACH-000838,-0.07870335671560001
ACH-000839,-0.514271260837
ACH-000840,-0.240158404894
ACH-000841,-0.0916152496263
ACH-000843,-0.040055690931599996
ACH-000846,-0.22411055159200002
ACH-000847,0.028748573310700003
ACH-000848,-0.0388937287038
ACH-000849,-0.059067006857000004
ACH-000851,-0.0367325738772
ACH-000855,-0.176622788009
ACH-000856,-0.24094747986600001
ACH-000858,-0.253620155001
ACH-000859,-0.18214168197
ACH-000861,-0.134720329419
ACH-000862,-0.25948828981
ACH-000865,-0.11078273908399999
ACH-000866,-0.17629009800200002
ACH-000867,-0.227390087488
ACH-000869,-0.0956754935138
ACH-000872,-0.224748282832
ACH-000873,-0.0351805011488
ACH-000876,-0.054468518355599994
ACH-000878,-0.167748766129
ACH-000880,-0.0551809736752
ACH-000881,-0.119490615912
