,ATMIN (23300)
ACH-000004,-0.459901644382
ACH-000007,-0.49207838969499995
ACH-000009,-0.42484918480899997
ACH-000011,-0.728182265453
ACH-000012,-0.403164344141
ACH-000013,-0.0550058833606
ACH-000014,-0.11964204293099999
ACH-000015,-0.15154485602700002
ACH-000017,-0.0379048764266
ACH-000018,-0.53094841226
ACH-000019,-0.411241889032
ACH-000021,-0.312319706542
ACH-000022,-0.35523004458000007
ACH-000025,-0.6905881990080001
ACH-000028,-0.0590713242174
ACH-000030,-0.18530007664099998
ACH-000035,-0.371964254748
ACH-000036,-0.18788111985
ACH-000037,-0.631505808242
ACH-000039,-0.245839948493
ACH-000040,-0.6890713152339999
ACH-000041,-0.09079925256989999
ACH-000042,-0.406808951501
ACH-000045,-0.245661970748
ACH-000047,-0.386269014944
ACH-000052,-0.443232973318
ACH-000053,0.09481434883840001
ACH-000054,-0.49220575641099995
ACH-000055,-0.349667821795
ACH-000060,-0.7874490522550001
ACH-000067,-0.301574545165
ACH-000070,-0.558208394816
ACH-000075,-0.661343373978
ACH-000078,0.0117197964426
ACH-000082,-0.462087281083
ACH-000085,-0.449956807425
ACH-000086,-0.7096327737829999
ACH-000087,-0.42136494514399997
ACH-000092,-0.424072683636
ACH-000095,-0.306600839736
ACH-000097,-0.0301215275942
ACH-000098,-0.416120503815
ACH-000099,-0.162595227436
ACH-000108,-0.546775809283
ACH-000113,-0.578529832519
ACH-000115,-0.244105921691
ACH-000116,-0.279060959017
ACH-000118,-0.286338381829
ACH-000120,-0.38496126035800005
ACH-000123,-0.38582869519900004
ACH-000127,-0.253493513896
ACH-000128,-0.136714810519
ACH-000132,-0.170530329732
ACH-000133,-0.45848575235699995
ACH-000137,-0.568584810243
ACH-000138,-0.31299164420000003
ACH-000142,-0.22031151806999996
ACH-000143,-0.392721076875
ACH-000146,-0.298147556369
ACH-000148,-0.579165648542
ACH-000150,-0.46056170591300005
ACH-000152,-0.47249859093999996
ACH-000153,-0.639713049077
ACH-000159,-0.15751064341499998
ACH-000160,-0.539060307008
ACH-000163,-0.449729566811
ACH-000167,-0.389538144709
ACH-000168,-0.6897453134720001
ACH-000169,-0.320077181977
ACH-000178,-0.652047886379
ACH-000182,-0.178060365372
ACH-000183,-0.141560381905
ACH-000188,-0.22713222191500002
ACH-000189,-0.0205812848964
ACH-000190,-0.327506914096
ACH-000198,-0.200099241609
ACH-000204,-0.510511085793
ACH-000206,-0.322128944998
ACH-000207,-0.423754408451
ACH-000211,-0.406906154549
ACH-000215,-0.387388041574
ACH-000221,-0.47431960832500003
ACH-000222,-0.472141304366
ACH-000223,-0.17468189841600001
ACH-000226,-0.649291765325
ACH-000227,-0.22732187618900002
ACH-000228,-0.419573291325
ACH-000231,-0.719120530891
ACH-000232,-0.654495868232
ACH-000233,-0.284670270108
ACH-000234,-0.191153057637
ACH-000235,-0.43908090746000006
ACH-000237,-0.7903313927050001
ACH-000238,-0.88925982516
ACH-000243,-0.22330031740800002
