,AVP (551)
ACH-000004,-0.25249290022
ACH-000007,0.00804246789627
ACH-000009,0.0964641381514
ACH-000011,-0.228113214058
ACH-000012,-0.0289952123138
ACH-000013,-0.103196726076
ACH-000014,0.174126321262
ACH-000015,-0.05855244836569999
ACH-000017,-0.058800097053199996
ACH-000018,-0.273306907128
ACH-000019,0.111059017541
ACH-000021,0.061107597593300006
ACH-000022,-0.10590411929600001
ACH-000025,-0.022469573458599998
ACH-000028,-0.0129631400627
ACH-000030,-0.115719564856
ACH-000035,-0.06904354425260001
ACH-000036,0.0211927132051
ACH-000037,0.111342194514
ACH-000039,0.00493908836503
ACH-000040,-0.131351889567
ACH-000041,-0.0038931964345100003
ACH-000042,-0.34530530381200003
ACH-000045,-0.135598104764
ACH-000047,-0.169523618243
ACH-000052,0.00152108530993
ACH-000053,-0.23195289143800002
ACH-000054,0.0784131634079
ACH-000055,-0.119506964814
ACH-000060,-0.100566699349
ACH-000067,-0.11898968267000001
ACH-000070,-0.0112546822897
ACH-000075,0.262702800345
ACH-000078,-0.0265466874015
ACH-000082,0.136150879734
ACH-000085,-0.0768972160423
ACH-000086,-0.0745255970414
ACH-000087,-0.10808677408
ACH-000092,-0.07094283889610001
ACH-000095,-0.023388251299799996
ACH-000097,-0.121250472068
ACH-000098,-0.18213389412500003
ACH-000099,-0.07859002877610001
ACH-000108,-0.129411527905
ACH-000113,-0.128899826216
ACH-000115,-0.295525764967
ACH-000116,0.0366199696431
ACH-000118,-0.179627290686
ACH-000120,-0.155011087271
ACH-000123,-0.160347790347
ACH-000127,-0.108452951632
ACH-000128,-0.0861008152809
ACH-000132,0.173260428306
ACH-000133,-0.115063695622
ACH-000137,0.0658379798802
ACH-000138,-0.0741305039257
ACH-000142,-0.035755039601300005
ACH-000143,0.0244967390787
ACH-000146,-0.239021881579
ACH-000148,-0.21892014581
ACH-000150,-0.141823284125
ACH-000152,0.13891305808
ACH-000153,0.08005441694349999
ACH-000159,0.198009150492
ACH-000160,-0.249286026834
ACH-000163,-0.075326057238
ACH-000167,-0.1669102102
ACH-000168,-0.0513060327707
ACH-000169,-0.0986783422005
ACH-000178,-0.154110694716
ACH-000182,-0.0199701679074
ACH-000183,-0.21855415483000004
ACH-000188,0.0906957802806
ACH-000189,-0.08815631034520001
ACH-000190,-0.058842745459400006
ACH-000198,-0.298742050167
ACH-000204,-0.158721158866
ACH-000206,-0.0508366265331
ACH-000207,0.056078458214300006
ACH-000211,0.028337896922599998
ACH-000215,-0.0075132419177999996
ACH-000221,0.101547917848
ACH-000222,-0.006261867216789999
ACH-000223,-0.142632727906
ACH-000226,0.169394485613
ACH-000227,-0.250858889195
ACH-000228,-0.10702451566400001
ACH-000231,-0.26223114921199997
ACH-000232,-0.136760521349
ACH-000233,-0.119995765371
ACH-000234,-0.07093391040710001
ACH-000235,-0.09012266760960001
ACH-000237,-0.125214963163
ACH-000238,-0.160299968102
ACH-000243,-0.16144786738199998
ACH-000244,-0.348490683859
ACH-000246,-0.12938078799
ACH-000248,0.0671468729867
ACH-000250,0.0343342558776
ACH-000251,0.131179103991
ACH-000253,-0.0960556038415
ACH-000255,0.100275679235
ACH-000256,0.0221474029244
ACH-000257,0.184647671208
ACH-000258,-0.131594654104
ACH-000259,-0.0834914845128
ACH-000260,-0.23233259025
ACH-000261,0.0319265335365
ACH-000262,-0.23649408810699998
ACH-000263,-0.0788228736246
ACH-000264,-0.08623125150760001
ACH-000265,-0.195193381496
ACH-000266,-0.0824276771645
ACH-000272,-0.015270757204700001
ACH-000273,-0.0682864742143
ACH-000274,-0.23003100212699998
ACH-000277,0.007709818583530001
