,DHRS2 (10202)
ACH-000004,-0.025191445058
ACH-000007,-0.007414199215520001
ACH-000009,-0.049185396290300006
ACH-000011,-0.010624368033200002
ACH-000012,-0.0681844730316
ACH-000013,0.0646037654738
ACH-000014,-0.0394394901748
ACH-000015,-0.028147741869799996
ACH-000017,-0.335067229704
ACH-000018,-0.19401790640900002
ACH-000019,-0.128445806627
ACH-000021,-0.029903884852900003
ACH-000022,-0.168179236346
ACH-000025,-0.0991831536178
ACH-000028,0.163349577724
ACH-000030,0.007319931196600001
ACH-000035,-0.00236206658438
ACH-000036,0.133233826156
ACH-000037,0.0441115655674
ACH-000039,-0.00782547864026
ACH-000040,-0.07290309495139999
ACH-000041,-0.0679276689768
ACH-000042,-0.013265475049399999
ACH-000045,-0.19518358592799998
ACH-000047,0.008425484397540001
ACH-000052,-0.10693094876
ACH-000053,0.0203760879258
ACH-000054,-0.149136187179
ACH-000055,-0.258534255956
ACH-000060,-0.226698159465
ACH-000067,-0.0176389011503
ACH-000070,0.08479160134289998
ACH-000075,-0.035204648442000004
ACH-000078,0.11146682659700001
ACH-000082,-0.101962814374
ACH-000085,0.0807854922979
ACH-000086,-0.027857949285300002
ACH-000087,-0.235706692943
ACH-000092,-0.063853277132
ACH-000095,-0.0768823170165
ACH-000097,-0.06637081214030001
ACH-000098,-0.0329157990215
ACH-000099,0.045667187317
ACH-000108,0.0502701249121
ACH-000113,-0.165741392155
ACH-000115,-0.0341817300167
ACH-000116,-0.08582286421980001
ACH-000118,-0.202059607708
ACH-000120,-0.0284041440949
ACH-000123,-0.186440372632
ACH-000127,-0.152717433859
ACH-000128,-0.135757922851
ACH-000132,-0.0128393843662
ACH-000133,0.0265225260463
ACH-000137,-0.0614421607582
ACH-000138,0.0279896054178
ACH-000142,-0.0024425229477
ACH-000143,-0.24803558799800002
ACH-000146,0.057686907396099996
ACH-000148,-0.056045186217400005
ACH-000150,0.21367521916999999
ACH-000152,-0.0511548630024
ACH-000153,-0.140635905395
ACH-000159,-0.013362223183200002
ACH-000160,-0.0605879012738
ACH-000163,-0.0617041893206
ACH-000167,0.148040519062
ACH-000168,-0.264229444759
ACH-000169,-0.0720450594741
ACH-000178,-0.0331760865673
ACH-000182,-0.08092226813289999
ACH-000183,-0.032224572970599996
