,GNPTAB (79158)
ACH-000004,-0.0241083788172
ACH-000007,-0.14070006476500002
ACH-000009,-0.30858351159200004
ACH-000011,-0.235460992742
ACH-000012,-0.125819121196
ACH-000013,-0.0123822661779
ACH-000014,-0.064724433543
ACH-000015,-0.231192159396
ACH-000017,-0.16564879674900002
ACH-000018,-0.182239374463
ACH-000019,-0.145728774718
ACH-000021,-0.14238003917199998
ACH-000022,-0.26261187126200003
ACH-000025,-0.463333717419
ACH-000028,-0.163969695406
ACH-000030,-0.219208236627
ACH-000035,-0.160431256204
ACH-000036,-0.16714382033
ACH-000037,-0.538564613604
ACH-000039,-0.5765001268819999
ACH-000040,-0.029369773549
ACH-000041,-0.213414604504
ACH-000042,-0.16367873606799999
ACH-000045,-0.049674441896900005
ACH-000047,-0.253821111001
ACH-000052,-0.329721062688
ACH-000053,-0.257239460534
ACH-000054,-0.4981467923899999
ACH-000055,-0.191284136162
ACH-000060,-0.0614825641629
ACH-000067,-0.311895966316
ACH-000070,-0.698322364277
ACH-000075,-0.336471312584
ACH-000078,0.133506697916
ACH-000082,-0.273301661125
ACH-000085,-0.273440939828
ACH-000086,-0.308499663408
ACH-000087,-0.203133944627
ACH-000092,-0.213176028728
ACH-000095,-0.06712957416830001
ACH-000097,-0.0800268742747
ACH-000098,0.22364240509799999
ACH-000099,-0.209699380703
ACH-000108,-0.140140034021
ACH-000113,-0.125769495571
ACH-000115,-0.037283802867999996
ACH-000116,-0.21214055158599998
ACH-000118,-0.252618627059
ACH-000120,-0.0915747109816
ACH-000123,-0.20034530827799998
ACH-000127,0.03729146503919999
ACH-000128,-0.124408373302
ACH-000132,-0.08416361506419999
ACH-000133,-0.35520024739399997
ACH-000137,-0.0716738527972
ACH-000138,-0.0446081830572
ACH-000142,-0.293692248254
ACH-000143,-0.321921619329
ACH-000146,-0.168126094787
ACH-000148,-0.10548475530899999
ACH-000150,-0.156651234853
ACH-000152,-0.28829760337
ACH-000153,-0.15550830184
ACH-000159,-0.168264140765
ACH-000160,-0.0523055025079
ACH-000163,-0.230865207389
ACH-000167,-0.529350480533
ACH-000168,0.08819295853550001
ACH-000169,-0.256765192304
ACH-000178,-0.411093014602
ACH-000182,-0.258884048686
ACH-000183,-0.323202388588
ACH-000188,0.0259387644538
ACH-000189,-0.33562802164899996
ACH-000190,-0.168552633087
ACH-000198,-0.0626614410537
ACH-000204,-0.38542211332500004
ACH-000206,-0.0865251548957
ACH-000207,-0.188925835849
ACH-000211,-0.175722940158
ACH-000215,-0.286749273139
ACH-000221,-0.178587212385
ACH-000222,-0.233590143194
ACH-000223,-0.149538192479
ACH-000226,-0.093796171839
ACH-000227,-0.167479556604
ACH-000228,-0.0370176618049
ACH-000231,-0.197273922919
ACH-000232,-0.127402014928
ACH-000233,-0.150865075256
ACH-000234,-0.217685697723
ACH-000235,-0.20615241965999997
ACH-000237,-0.17607842932
ACH-000238,-0.433642429505
ACH-000243,-0.175220737338
ACH-000244,-0.23586868046
ACH-000246,-0.0352164824953
ACH-000248,-0.0505736543898
ACH-000250,-0.143867907855
ACH-000251,-0.250147230092
ACH-000253,-0.278051214039
ACH-000255,0.17906691774
ACH-000256,-0.20427596697099998
ACH-000257,-0.34105433919600003
ACH-000258,-0.112689335983
ACH-000259,-0.0685639698286
ACH-000260,-0.13923515760299998
ACH-000261,-0.21578762631099999
ACH-000262,-0.4792234482600001
ACH-000263,-0.228556655464
ACH-000264,-0.197736809259
ACH-000265,-0.19757764803599998
ACH-000266,-0.17900113222199998
ACH-000272,-0.11684679698799999
ACH-000273,-0.23125204834399998
ACH-000274,-0.022739029928900003
ACH-000277,-0.0569435553363
ACH-000278,-0.538048662742
ACH-000279,0.0189066258225
ACH-000280,0.0356680002349
ACH-000281,-0.275213746665
ACH-000288,-0.05572063116769999
ACH-000291,-0.0614915906173
ACH-000293,-0.058233773193699996
ACH-000294,0.0505605404693
ACH-000295,0.0154542079807
ACH-000296,-0.372081439441
ACH-000302,-0.0814546625805
ACH-000304,-0.31199543534400004
ACH-000307,-0.154823421134
ACH-000308,-0.20526718758
ACH-000310,-0.051811847055099995
ACH-000311,-0.17821199056899997
ACH-000312,-0.0561608776002
ACH-000315,-0.341307106431
ACH-000316,-0.17623099245700002
ACH-000317,-0.07744020954860001
ACH-000318,-0.249465788237
ACH-000319,-0.218212837168
ACH-000320,-0.155039302388
ACH-000322,-0.312068627044
ACH-000323,0.0355868135584
ACH-000324,-0.132076986384
ACH-000329,-0.21411735259700002
ACH-000330,-0.23820010989100002
ACH-000331,-0.28359398736499997
ACH-000332,-0.139427667561
ACH-000334,-0.0898530619176
ACH-000335,-0.06282128732940001
ACH-000336,0.170484726558
ACH-000337,0.0682669895578
ACH-000339,-0.16782395049499998
ACH-000341,0.171566801778
ACH-000348,-0.29754501457800003
ACH-000350,-0.227730008433
ACH-000352,0.009268990432790001
ACH-000356,-0.091400976235
ACH-000361,-0.203379241921
ACH-000362,-0.133028627737
ACH-000363,-0.255606417837
ACH-000364,-0.170295191868
ACH-000365,-0.318240425326
ACH-000366,-0.23780717512400001
ACH-000368,-0.207792278163
ACH-000374,-0.096242649604
ACH-000375,-0.31532111915
ACH-000376,-0.099628520881
ACH-000381,-0.364089757249
ACH-000383,-0.144133645098
ACH-000387,-0.186372092788
ACH-000389,-0.110604867838
ACH-000390,-0.240553707714
ACH-000393,-0.176576657112
ACH-000395,-0.118158798016
ACH-000397,-0.10230197369300001
ACH-000401,-0.180999613878
ACH-000402,-0.196076344648
ACH-000403,-0.1909525916
ACH-000404,-0.12440581406300001
ACH-000406,-0.112666831932
ACH-000407,-0.15191832595899998
ACH-000408,0.10694186592499999
ACH-000410,-0.315703665213
ACH-000411,-0.395823864623
ACH-000414,-0.344682247996
ACH-000415,-0.28638852453200003
ACH-000416,-0.20933384697700003
ACH-000420,-0.200529177419
ACH-000421,-0.134321957402
ACH-000424,-0.116232109924
ACH-000425,-0.109039661678
ACH-000426,0.0882554602517
ACH-000427,-0.416604622302
ACH-000433,-0.227515446479
ACH-000436,-0.152159593077
ACH-000444,-0.29129377904599996
ACH-000445,-0.0984145912325
ACH-000448,-0.194567892429
ACH-000450,-0.352955370617
ACH-000452,-0.196669937155
ACH-000454,-0.395083111475
ACH-000458,-0.08130251884989999
ACH-000459,-0.1217860921
ACH-000460,-0.361702711436
ACH-000461,-0.174151015978
ACH-000463,-0.117231053159
ACH-000464,-0.456105205871
ACH-000466,-0.114482205891
ACH-000467,-0.300576982029
ACH-000468,-0.362250293319
ACH-000469,-0.257323233329
