,PAPL (390928)
ACH-000004,0.0633719291288
ACH-000007,0.224898257143
ACH-000009,-0.12150158918
ACH-000011,-0.108394981259
ACH-000012,-0.0909396858089
ACH-000013,-0.671609368545
ACH-000014,-0.170539145092
ACH-000015,-0.222938694873
ACH-000017,0.0796154067107
ACH-000018,-0.320113013964
ACH-000019,-0.111154944747
ACH-000021,-0.08979334484099999
ACH-000022,-0.0437331218495
ACH-000025,-0.08302441154710001
ACH-000028,-0.0917267279487
ACH-000030,-0.168385273907
ACH-000035,-0.07970966317160001
ACH-000036,-0.0564383837701
ACH-000037,0.115052036101
ACH-000039,0.252070643252
ACH-000040,0.13389359166
ACH-000041,-0.0631350509734
ACH-000042,-0.04849397299719999
ACH-000045,-0.248426291796
ACH-000047,-0.00302594417462
ACH-000052,-0.223569809782
ACH-000053,-0.154147368709
ACH-000054,-0.10251147219000001
ACH-000055,-0.24823643112
ACH-000060,-0.00381363656082
ACH-000067,0.0804336501559
ACH-000070,-0.15219935189300002
ACH-000075,-0.220229719398
ACH-000078,0.0303744447876
ACH-000082,-0.16018432149700002
ACH-000085,-0.193554303251
ACH-000086,-0.177363331452
ACH-000087,0.0373853832889
ACH-000092,-0.129800553203
ACH-000095,0.012552518533600001
ACH-000097,-0.177485292273
ACH-000098,-0.155722305237
ACH-000099,0.0240667254213
ACH-000108,0.015338334924000002
ACH-000113,0.0154982292958
ACH-000115,-0.09739419649299999
ACH-000116,-0.0051170265238
ACH-000118,0.0167998086848
ACH-000120,-0.08721950507660002
ACH-000123,-0.112849596733
ACH-000127,-0.0743943749087
ACH-000128,0.0213745024417
ACH-000132,-0.0689589014031
ACH-000133,-0.158839724848
ACH-000137,-0.023856707077
ACH-000138,-0.05912739098119999
ACH-000142,-0.19814143389199998
ACH-000143,-0.332782222057
ACH-000146,-0.0065561324080399995
ACH-000148,0.0565534576188
ACH-000150,0.0783992646096
ACH-000152,-0.0623074035982
ACH-000153,0.0214373012886
ACH-000159,-0.152942975638
ACH-000160,-0.11179067013699999
ACH-000163,-0.0282589495761
ACH-000167,0.0759885327432
ACH-000168,-0.21282305164999998
