,TFAM (7019)
ACH-000004,-0.46968345099
ACH-000007,-0.797694691462
ACH-000009,-0.666207836006
ACH-000011,-0.5874080671899999
ACH-000012,-0.876357308806
ACH-000013,-0.518459978789
ACH-000014,-0.681054739402
ACH-000015,-0.9580911127539999
ACH-000017,-0.503084169674
ACH-000018,-1.12026295594
ACH-000019,-0.785701082919
ACH-000021,-0.8081248935269999
ACH-000022,-0.787084248995
ACH-000025,-1.06442203473
ACH-000028,-0.868658282895
ACH-000030,-0.67650549729
ACH-000035,-0.9707669944
ACH-000036,-0.34923538951800004
ACH-000037,-0.637288267656
ACH-000039,-0.766136017246
ACH-000040,-0.577151154172
ACH-000041,-0.32337722059
ACH-000042,-0.718935614479
ACH-000045,-0.806317039126
ACH-000047,-0.8676257141879999
ACH-000052,-0.587086232367
ACH-000053,-0.552658646255
ACH-000054,-0.60622696932
ACH-000055,-0.7223524491650001
ACH-000060,-0.8263100623
ACH-000067,-0.786667308629
ACH-000070,-0.617576941286
ACH-000075,-0.538948893754
ACH-000078,-0.599109494911
ACH-000082,-0.6497575051560001
ACH-000085,-0.8052968661069999
ACH-000086,-1.0085451255600002
ACH-000087,-1.17770262062
ACH-000092,-0.719864422967
ACH-000095,-0.48782779773199997
ACH-000097,-0.565863048833
ACH-000098,-0.828338853582
ACH-000099,-0.663627310609
ACH-000108,-0.5886324493249999
ACH-000113,-0.7499593179780001
ACH-000115,-0.533025582117
ACH-000116,-0.7984307465610001
ACH-000118,-1.17311751074
ACH-000120,-0.707058140541
ACH-000123,-0.8181533140389999
ACH-000127,-0.984494824619
ACH-000128,-0.7349904991830001
ACH-000132,-0.8106121283230001
ACH-000133,-0.763921563366
ACH-000137,-0.48345959490199997
ACH-000138,-0.729717392139
ACH-000142,-0.417894231152
ACH-000143,-1.0787723170799999
ACH-000146,-0.646184477585
ACH-000148,-1.05245836008
ACH-000150,-1.0106753261900001
ACH-000152,-0.7615906633220001
ACH-000153,-0.8302133638089999
ACH-000159,-0.675300177155
ACH-000160,-1.01992665854
ACH-000163,-0.787507063926
ACH-000167,-0.619412731518
ACH-000168,-0.389590406254
ACH-000169,-0.679700375372
ACH-000178,-0.7581582585590001
ACH-000182,-0.893752875353
ACH-000183,-0.678818559712
ACH-000188,-0.862329707896
ACH-000189,-1.18772771975
ACH-000190,-0.740039538176
ACH-000198,-0.661594158073
ACH-000204,-0.946944701556
ACH-000206,-0.748771362388
ACH-000207,-0.8571423380500001
ACH-000211,-0.459973581209
ACH-000215,-0.699023783177
ACH-000221,-1.07043498312
ACH-000222,-0.5183899033680001
ACH-000223,-0.995486212554
ACH-000226,-0.7217132791509999
ACH-000227,-0.967193363504
ACH-000228,-0.9805473752030001
ACH-000231,-0.648940324848
ACH-000232,-0.608205203069
ACH-000233,-0.794496356225
ACH-000234,-0.530734888955
ACH-000235,-0.46229597190899996
ACH-000237,-0.38814084475
ACH-000238,-0.697557894699
ACH-000243,-0.534033791115
ACH-000244,-0.568270620174
ACH-000246,-0.649594195916
ACH-000248,-0.7787269534289999
ACH-000250,-0.5294610052709999
ACH-000251,-0.8571550931990001
ACH-000253,-0.542841283005
ACH-000255,-0.700874246293
ACH-000256,-0.768205692973
ACH-000257,-0.999757146331
ACH-000258,-0.700475401384
ACH-000259,-0.901979436521
ACH-000260,-0.459226500771
ACH-000261,-0.5936409410769999
ACH-000262,-0.893774794617
ACH-000263,-1.02922457308
ACH-000264,-0.560118938748
ACH-000265,-0.9359281385160001
ACH-000266,-0.485043610517
ACH-000272,-0.766199836081
ACH-000273,-0.746150704262
ACH-000274,-0.750475102028
ACH-000277,-0.547303089342
ACH-000278,-0.448626747559
ACH-000279,-0.8437238124429999
ACH-000280,-0.592485514348
ACH-000281,-0.695323067511
ACH-000288,-0.861242923406
ACH-000291,-0.483544466571
ACH-000293,-0.824485821992
ACH-000294,-0.734208340732
ACH-000295,-0.6911936070100001
ACH-000296,-0.5863306864360001
ACH-000302,-0.680968747015
ACH-000304,-0.8406396363349999
ACH-000307,-0.49932444229199996
ACH-000308,-0.6510414489090001
ACH-000310,-0.481132893512
ACH-000311,-0.7624141095810001
ACH-000312,-0.5555036765910001
ACH-000315,-0.751390317991
ACH-000316,-0.971621175032
ACH-000317,-1.08589025748
ACH-000318,-0.837397883319
ACH-000319,-0.842989132552
ACH-000320,-1.04610045523
ACH-000322,-0.581652669355
ACH-000323,-0.9937412484389999
ACH-000324,-0.48246256771000007
ACH-000329,-0.798512366045
ACH-000330,-0.7165396705679999
ACH-000331,-0.7895686025699999
ACH-000332,-0.364498950915
ACH-000334,-0.7018649104119999
ACH-000335,-0.835826760969
ACH-000336,-0.91733177918
ACH-000337,-0.652426983055
ACH-000339,-0.8294240718800001
ACH-000341,-0.7303154478689999
ACH-000348,-0.6943304919390001
ACH-000350,-0.7322338014990001
ACH-000352,-0.460728529723
ACH-000356,-0.755978388203
ACH-000361,-0.434000007109
ACH-000362,-0.547516585157
ACH-000363,-0.44576838383199996
ACH-000364,-0.661392845551
ACH-000365,-0.744755554573
ACH-000366,-0.26234773354400004
ACH-000368,-0.768815607263
ACH-000374,-0.8088324251860001
ACH-000375,-0.571461345486
ACH-000376,-1.0042716610299998
ACH-000381,-0.8803907010940001
ACH-000383,-0.7305481723880001
ACH-000387,-0.819682975469
ACH-000389,-0.45481603313600005
ACH-000390,-0.570341422089
ACH-000393,-0.6877293474510001
ACH-000395,-0.37770661160499996
ACH-000397,-0.35628035308300005
ACH-000401,-0.7417891436499999
ACH-000402,-1.03365672984
