,HIST1H2BL (8340)
ACH-000004,-1.3011993695100001
ACH-000007,-0.888210576735
ACH-000009,-0.849107188379
ACH-000011,-1.28073976402
ACH-000012,-0.877500120988
ACH-000013,-0.802797094047
ACH-000014,-0.963416359478
ACH-000015,-0.765040513985
ACH-000017,-1.16650992574
ACH-000018,-0.7573334162790001
ACH-000019,-0.9487873657529999
ACH-000021,-0.8342730111650001
ACH-000022,-0.84308003654
ACH-000025,-0.9631363891820001
ACH-000028,-0.979749869458
ACH-000030,-1.0707042521899999
ACH-000035,-1.1028585689700001
ACH-000036,-0.939102328561
ACH-000037,-0.857591958419
ACH-000039,-0.5788221102459999
ACH-000040,-1.02718580842
ACH-000041,-1.1180849897799998
ACH-000042,-1.01986601725
ACH-000045,-0.945120597624
ACH-000047,-1.02170878584
ACH-000052,-0.8399363434899999
ACH-000053,-0.9057302455600001
ACH-000054,-0.819244023153
ACH-000055,-0.989443916231
ACH-000060,-0.944007414815
ACH-000067,-0.842212292036
ACH-000070,-0.988748204268
ACH-000075,-1.09698408388
ACH-000078,-0.9897890177840001
ACH-000082,-1.33595411612
ACH-000085,-1.0237912309000001
ACH-000086,-1.17070694114
ACH-000087,-0.904972974401
ACH-000092,-0.816377677545
ACH-000095,-1.23920278435
ACH-000097,-1.04666148015
ACH-000098,-0.933795427747
ACH-000099,-0.966757406379
ACH-000108,-0.9745514417990001
ACH-000113,-0.875487905659
ACH-000115,-1.2387752568000001
ACH-000116,-0.815005430569
ACH-000118,-0.929368270843
ACH-000120,-0.761751833785
ACH-000123,-1.01528927325
ACH-000127,-0.9773746228229999
ACH-000128,-0.591265343925
ACH-000132,-0.880692736335
ACH-000133,-1.08740554705
ACH-000137,-1.00869603957
ACH-000138,-0.9848025772399999
ACH-000142,-0.959278366181
ACH-000143,-0.901091319912
ACH-000146,-1.1356200871
ACH-000148,-0.966386546547
ACH-000150,-0.7472522555359999
ACH-000152,-0.764634509452
ACH-000153,-0.517261778516
ACH-000159,-0.811675975963
ACH-000160,-0.598186362553
ACH-000163,-0.9186403610580001
