,TICAM1 (148022)
ACH-000004,-0.00160299168127
ACH-000007,-0.218046434657
ACH-000009,0.10855403018899999
ACH-000011,-0.09598516993039999
ACH-000012,-0.020385975074599997
ACH-000013,-0.122744801955
ACH-000014,-0.273248088736
ACH-000015,-0.0942316300944
ACH-000017,-0.129494838474
ACH-000018,-0.135678426004
ACH-000019,-0.299444628008
ACH-000021,-0.08399741105139999
ACH-000022,0.036299119354199993
ACH-000025,-0.050811686885699994
ACH-000028,0.104916625535
ACH-000030,-0.0722719907774
ACH-000035,-0.07939724798669999
ACH-000036,-0.242041854635
ACH-000037,-0.0281105077405
ACH-000039,0.11557799100199999
ACH-000040,-0.134817088374
ACH-000041,-0.0792875232127
ACH-000042,-0.0542308121299
ACH-000045,-0.240498483314
ACH-000047,-0.005782474203109999
ACH-000052,-0.11124800947999999
ACH-000053,-0.00028365654327900004
ACH-000054,-0.214855172961
ACH-000055,-0.145888772614
ACH-000060,-0.29620151726
ACH-000067,-0.275490930987
ACH-000070,0.0828596338446
ACH-000075,-0.307558249146
ACH-000078,-0.0922175720961
ACH-000082,-0.06771993630169999
ACH-000085,-0.215167026415
ACH-000086,-0.0760363785795
ACH-000087,-0.381871373772
ACH-000092,-0.0852551976365
ACH-000095,-0.18813677785100003
ACH-000097,-0.0641933256662
ACH-000098,-0.205545878879
ACH-000099,-0.0549353854111
ACH-000108,-0.0927197765099
ACH-000113,-0.0892841536539
ACH-000115,-0.22897021583799998
ACH-000116,-0.10999415902899999
ACH-000118,-0.0987191819909
ACH-000120,-0.208265370597
ACH-000123,0.0251392462414
ACH-000127,-0.056972450234300004
ACH-000128,-0.23979814205699998
ACH-000132,-0.296867285533
ACH-000133,-0.0574941543979
ACH-000137,-0.201190967594
ACH-000138,-0.08807637233769999
ACH-000142,-0.24055813237100002
ACH-000143,-0.236595035048
ACH-000146,-0.145659467122
ACH-000148,0.00828681626099
ACH-000150,0.0567799686508
ACH-000152,-0.17221655647300002
ACH-000153,0.144199900187
ACH-000159,-0.125081543504
ACH-000160,-0.0682251608503
ACH-000163,-0.221394890381
ACH-000167,-0.0418549130529
ACH-000168,0.000605184468585
ACH-000169,-0.0601051710518
ACH-000178,-0.0980328483223
ACH-000182,0.055747813200599995
ACH-000183,-0.111939784179
ACH-000188,-0.22516090410999998
ACH-000189,-0.089273615866
ACH-000190,0.0688437256752
ACH-000198,-0.0106027859803
ACH-000204,0.360922866612
ACH-000206,-0.10576266515
ACH-000207,-0.0380619344554
ACH-000211,0.0115340345205
ACH-000215,-0.145767536318
ACH-000221,-0.21157278160100002
ACH-000222,0.172189357086
ACH-000223,-0.213334273638
ACH-000226,-0.304933951101
ACH-000227,-0.202299004714
ACH-000228,-0.184056133406
ACH-000231,-0.11381553867000001
ACH-000232,-0.08280578650539999
ACH-000233,0.004834348405649999
ACH-000234,-0.195251864108
ACH-000235,-0.0624831263215
ACH-000237,-0.17426100557399998
