,RHOF (54509)
ACH-000004,-0.558803748855
ACH-000007,-0.37185843484700004
ACH-000009,-0.416901525246
ACH-000011,-0.262316090675
ACH-000012,-0.253213710638
ACH-000013,-0.195918334114
ACH-000014,-0.042538867306000004
ACH-000015,-0.246514145726
ACH-000017,-0.16543912169000002
ACH-000018,-0.17339632657
ACH-000019,-0.49777714767399994
ACH-000021,-0.296107321496
ACH-000022,-0.38622325869999996
ACH-000025,-0.49429953302
ACH-000028,-0.163625183359
ACH-000030,-0.274825042638
ACH-000035,-0.268085759558
ACH-000036,-0.019100725078599997
ACH-000037,-0.722908925352
ACH-000039,-0.323175728141
ACH-000040,-0.174420293618
ACH-000041,-0.7494628403460001
ACH-000042,-0.548583476405
ACH-000045,-0.477428303116
ACH-000047,-0.23213063790600003
ACH-000052,-0.34747521349699995
ACH-000053,-0.249307206393
ACH-000054,-0.417076453592
ACH-000055,-0.20630320555599999
ACH-000060,-0.271524094882
ACH-000067,-0.34586198227
ACH-000070,-0.33291690426
ACH-000075,-0.057250517251000006
ACH-000078,-0.324075560838
ACH-000082,-0.407826769274
ACH-000085,-0.301999198644
ACH-000086,-0.36716054951
ACH-000087,-0.263240980764
ACH-000092,-0.284354627813
ACH-000095,-0.40118894044200004
ACH-000097,-0.18366264003199997
ACH-000098,-0.40824797241300004
ACH-000099,-0.327033205605
ACH-000108,-0.407940841903
ACH-000113,-0.29965076473900004
ACH-000115,-0.35434030979599995
ACH-000116,-0.213694022225
ACH-000118,-0.381675295063
ACH-000120,-0.104474027668
ACH-000123,-0.09845150803310002
ACH-000127,-0.384934143055
ACH-000128,-0.18030503518399998
ACH-000132,-0.37404835070200004
ACH-000133,-0.445305641905
ACH-000137,-0.5398030150800001
ACH-000138,-0.162556617831
ACH-000142,-0.34962351165600003
ACH-000143,-0.288965451004
ACH-000146,-0.280667258569
ACH-000148,-0.16580765759000002
ACH-000150,-0.44880666289099996
ACH-000152,-0.50818120124
ACH-000153,-0.12053929739600001
ACH-000159,-0.40117427362400004
ACH-000160,-0.38939593155
ACH-000163,-0.22866334449900003
ACH-000167,-0.388639520774
ACH-000168,-0.516000451678
ACH-000169,-0.40737918867399997
ACH-000178,-0.123956269594
ACH-000182,-0.62735781951
ACH-000183,-0.36138542520800004
ACH-000188,-0.5112852847420001
ACH-000189,-0.394356138927
ACH-000190,-0.122346890511
ACH-000198,-0.16796735906
ACH-000204,-0.250582064428
ACH-000206,-0.060560122547900004
ACH-000207,-0.309068088995
ACH-000211,-0.306528607083
ACH-000215,-0.49400606063999997
ACH-000221,-0.21646377693399999
ACH-000222,-0.24014601102
ACH-000223,-0.26709184394499996
ACH-000226,-0.335073955103
ACH-000227,-0.34624684275
ACH-000228,0.130719587428
ACH-000231,-0.360141675067
ACH-000232,-0.352902127226
ACH-000233,-0.262159612425
ACH-000234,-0.510684567095
ACH-000235,-0.32250323709
ACH-000237,-0.291417058383
ACH-000238,-0.282204586276
ACH-000243,-0.287058271644
ACH-000244,-0.22574003612399998
ACH-000246,-0.147417894209
ACH-000248,-0.004946342074779999
ACH-000250,-0.335561165773
ACH-000251,-0.702535165387
ACH-000253,-0.252436683667
ACH-000255,-0.370357599669
ACH-000256,-0.26968621883
ACH-000257,-0.42164533094499995
ACH-000258,-0.367405507777
ACH-000259,-0.246411742473
ACH-000260,-0.19767954293200002
ACH-000261,-0.199310379487
ACH-000262,-0.401561123728
ACH-000263,-0.530404543809
ACH-000264,-0.45793213943300004
ACH-000265,-0.297843471393
ACH-000266,-0.37707904833000006
ACH-000272,-0.248894335308
ACH-000273,-0.129455809507
ACH-000274,-0.48286188595
ACH-000277,-0.12292783057399999
ACH-000278,-0.48204598986999997
ACH-000279,-0.356768969723
ACH-000280,-0.253201501913
ACH-000281,-0.370583671043
ACH-000288,-0.301985056319
ACH-000291,-0.14140992129799998
ACH-000293,-0.23098132777600003
ACH-000294,-0.733624965959
ACH-000295,-0.159317782851
ACH-000296,-0.435366289938
ACH-000302,-0.294093443741
ACH-000304,0.0657167989936
ACH-000307,-0.471942836399
ACH-000308,-0.295117282015
ACH-000310,-0.289515573832
ACH-000311,-0.24169372234900002
ACH-000312,-0.245503627203
ACH-000315,-0.15830454570699998
ACH-000316,-0.543025584558
ACH-000317,-0.407128951478
ACH-000318,-0.36694362784
ACH-000319,-0.338309035167
ACH-000320,-0.0035354134875500006
ACH-000322,-0.22869588940699997
ACH-000323,-0.0619853915154
ACH-000324,-0.128622997488
ACH-000329,-0.344771264015
ACH-000330,-0.102787112783
ACH-000331,-0.30671480533100004
ACH-000332,-0.414906099895
ACH-000334,-0.027234001968799996
ACH-000335,-0.295471389428
ACH-000336,-0.340981065968
ACH-000337,-0.727983414912
ACH-000339,-0.321702358643
ACH-000341,-0.44089411454899996
ACH-000348,-0.271988669219
ACH-000350,-0.358667908723
ACH-000352,-0.35714172742399997
ACH-000356,-0.266819794842
ACH-000361,-0.472618793433
ACH-000362,-0.6193930490649999
ACH-000363,-0.29427899366300003
ACH-000364,-0.379681861845
ACH-000365,-0.282612081505
ACH-000366,-0.213048202661
ACH-000368,-0.30710926783799997
ACH-000374,-0.37556657840700003
ACH-000375,-0.25058880767299996
ACH-000376,-0.17887210445300003
ACH-000381,-0.651255835573
ACH-000383,-0.25456124726199997
ACH-000387,-0.0750999732654
ACH-000389,-0.221458228008
ACH-000390,-0.162595878068
ACH-000393,-0.266916322833
ACH-000395,-0.270535069593
ACH-000397,-0.303713199369
ACH-000401,-0.20990112486200002
ACH-000402,-0.516765392881
ACH-000403,-0.37558462338699994
ACH-000404,-0.12427690003399999
ACH-000406,-0.197995332684
ACH-000407,-0.40771563573799996
ACH-000408,-0.5949267544619999
ACH-000410,-0.330067212574
ACH-000411,-0.248507183218
ACH-000414,-0.327027893779
ACH-000415,-0.317704275923
ACH-000416,-0.45509032641
ACH-000420,-0.404426176493
ACH-000421,-0.290358237417
ACH-000424,-0.19931975631999999
ACH-000425,-0.343782643134
ACH-000426,0.012470062037500002
ACH-000427,-0.656162368431
ACH-000433,0.05332267056369999
ACH-000436,-0.330430971276
ACH-000444,-0.352804241989
ACH-000445,-0.369878316532
ACH-000448,-0.35664972365599995
ACH-000450,-0.33902608351700003
ACH-000452,-0.302651497383
ACH-000454,-0.46961269142300005
ACH-000458,-0.295803823911
ACH-000459,-0.160010004619
ACH-000460,-0.12792416959300001
ACH-000461,-0.323525931552
ACH-000463,-0.153842944442
ACH-000464,-0.326120044604
ACH-000466,-0.234924518727
ACH-000467,-0.26064141886
ACH-000468,-0.47040749839900003
ACH-000469,-0.321491289643
ACH-000470,-0.203863760046
ACH-000471,-0.27739813272
ACH-000472,-0.259709892374
ACH-000473,-0.274601876102
ACH-000475,-0.375527085576
ACH-000476,-0.379802872069
ACH-000477,-0.36609917579
ACH-000480,-0.00319272451354
ACH-000481,-0.306953725681
ACH-000483,-0.242284023514
ACH-000484,-0.38169314768600004
ACH-000485,-0.629965760304
ACH-000486,-0.35243362409
ACH-000487,-0.268318322366
ACH-000488,-0.29371342456
ACH-000490,-0.25125358463799996
ACH-000491,-0.254776684214
ACH-000495,-0.32276360333799997
ACH-000496,-0.354662882979
ACH-000499,-0.406797729189
ACH-000500,-0.256948358177
ACH-000502,-0.34303071523100004
ACH-000503,-0.264178999618
ACH-000505,-0.33501335118299996
ACH-000507,-0.30527637172600003
ACH-000510,-0.455146726857
ACH-000511,-0.255083170195
ACH-000512,-0.118733148023
ACH-000516,-0.35040759778499997
ACH-000517,-0.41672640671899996
ACH-000518,-0.17771257598700002
ACH-000520,-0.216693085198
ACH-000521,-0.149566139148
ACH-000522,-0.532859199767
ACH-000524,-0.32397897519200003
ACH-000527,-0.374571521611
ACH-000528,-0.222159936932
ACH-000537,-0.467962347213
ACH-000541,-0.412415058297
ACH-000542,-0.5683312856530001
ACH-000544,-0.426647836797
ACH-000545,-0.372051394783
ACH-000547,-0.302456607647
ACH-000548,-0.34888083286399996
ACH-000549,-0.26289286486900004
ACH-000550,-0.684298865834
ACH-000552,-0.344325278975
ACH-000556,-0.34314579893200003
ACH-000557,-0.230748864248
ACH-000570,-0.254831122428
ACH-000571,-0.35486073545100005
ACH-000573,-0.25222711156
ACH-000576,-0.18941631895799999
ACH-000580,-0.243790753874
ACH-000584,-0.24539247460400002
ACH-000585,-0.324734377538
ACH-000588,-0.10740245014000001
ACH-000589,-0.394316032718
ACH-000591,-0.42453051589100005
ACH-000593,-0.289420577854
ACH-000600,-0.275743970264
ACH-000601,-0.17854901055599998
ACH-000604,-0.25971429801600004
ACH-000605,-0.0491436842683
ACH-000606,-0.311515531487
ACH-000608,-0.37572765082099996
ACH-000614,-0.03731322709280001
ACH-000616,-0.174730691279
ACH-000618,-0.35225332078599997
ACH-000619,-0.35300400490999995
ACH-000620,-0.207888525839
ACH-000621,-0.325933131043
ACH-000622,-0.432871020132
ACH-000623,-0.362551862294
ACH-000624,-0.305111139507
ACH-000627,-0.21938927422200002
ACH-000630,-0.42214597946000004
ACH-000632,-0.296691908508
ACH-000633,-0.5134851357620001
ACH-000637,-0.232185169778
ACH-000638,-0.28652538328
ACH-000646,-0.471250012413
ACH-000647,-0.267416443188
ACH-000648,-0.11586829885399999
ACH-000649,-0.373464292684
ACH-000651,-0.31085777893399996
ACH-000652,-0.408404995405
ACH-000653,-0.312698953583
ACH-000657,-0.41115267359800006
ACH-000658,-0.024926821039
ACH-000661,-0.270319295643
ACH-000662,-0.80840044262
ACH-000663,-0.134864249496
ACH-000665,-0.38408371345700004
ACH-000671,-0.201369694725
ACH-000673,-0.175264968948
ACH-000676,-0.334417968058
ACH-000677,-0.33896530993100005
ACH-000681,-0.48107171909400004
ACH-000682,-0.27709600196
ACH-000683,-0.301683376935
ACH-000684,-0.09388533771919999
ACH-000688,-0.331046924247
ACH-000693,-0.350302937098
ACH-000694,-0.373074477521
