,DMAP1 (55929)
ACH-000004,-0.89018771089
ACH-000007,-1.41915338074
ACH-000009,-1.1355986225799999
ACH-000011,-1.43987765734
ACH-000012,-1.10335688421
ACH-000013,-1.2977092967000001
ACH-000014,-1.06374983796
ACH-000015,-1.23268951895
ACH-000017,-1.0661116319600001
ACH-000018,-1.04568730554
ACH-000019,-1.2410676264700002
ACH-000021,-1.01433122063
ACH-000022,-1.4004482389700001
ACH-000025,-1.12047825155
ACH-000028,-1.1381405021
ACH-000030,-1.2433022610299997
ACH-000035,-1.15355273543
ACH-000036,-1.1840960186299998
ACH-000037,-1.70806924675
ACH-000039,-0.910284146978
ACH-000040,-1.0838021342200002
ACH-000041,-1.33348220449
ACH-000042,-1.04885297847
ACH-000045,-1.20282458917
ACH-000047,-0.9869496314659999
ACH-000052,-1.2418475532
ACH-000053,-1.17524541445
ACH-000054,-1.09976284391
ACH-000055,-1.3533752930399998
ACH-000060,-1.2834631436700001
ACH-000067,-1.28643089453
ACH-000070,-1.20524501792
ACH-000075,-1.3244074737
ACH-000078,-0.989409590976
ACH-000082,-0.730191790335
ACH-000085,-1.14239083633
ACH-000086,-1.19051174573
ACH-000087,-0.843649499806
ACH-000092,-1.39945199533
ACH-000095,-1.27356306131
ACH-000097,-1.23705971664
ACH-000098,-1.5436792857100001
ACH-000099,-1.2139672219
ACH-000108,-1.0988050563299998
ACH-000113,-1.20689145204
ACH-000115,-1.1485843948299999
ACH-000116,-1.18964889966
ACH-000118,-1.0259103564
ACH-000120,-1.5839670241100001
ACH-000123,-1.21598268335
ACH-000127,-1.18787062968
ACH-000128,-1.11198142551
ACH-000132,-1.1404571456
ACH-000133,-1.03483781803
ACH-000137,-1.2380179309700001
ACH-000138,-0.945955238967
ACH-000142,-1.16668040156
ACH-000143,-1.13683865046
ACH-000146,-0.937981439165
ACH-000148,-1.30744116936
ACH-000150,-1.41964621155
ACH-000152,-1.2576064600299999
ACH-000153,-0.854739270983
ACH-000159,-1.16788595888
ACH-000160,-0.836342664127
ACH-000163,-0.87359433941
ACH-000167,-0.866135259736
ACH-000168,-1.28600874946
ACH-000169,-0.9989530910860001
ACH-000178,-1.09743056561
ACH-000182,-1.0207283522700001
ACH-000183,-1.2444971950100001
ACH-000188,-1.3966872091
ACH-000189,-1.33886952749
ACH-000190,-0.8444262026680001
ACH-000198,-1.10578689624
ACH-000204,-0.9555189751019999
ACH-000206,-1.02561957141
ACH-000207,-1.10782692976
ACH-000211,-1.00621377299
ACH-000215,-1.35394103477
ACH-000221,-1.10649457185
ACH-000222,-1.3921884570899998
ACH-000223,-0.9282602324860001
ACH-000226,-1.0959790128
ACH-000227,-1.03220013699
ACH-000228,-1.1069791253299999
ACH-000231,-1.0708568505299998
ACH-000232,-1.2116298997
ACH-000233,-1.3155115683
ACH-000234,-0.8980352702150001
ACH-000235,-1.15799961747
ACH-000237,-1.27290767689
ACH-000238,-1.2841712614
ACH-000243,-1.06399658478
ACH-000244,-1.1558949968799999
ACH-000246,-0.907150439108
ACH-000248,-1.27178214749
ACH-000250,-1.09102425222
ACH-000251,-1.24772553111
ACH-000253,-0.986917285863
ACH-000255,-1.1962555615100001
ACH-000256,-1.0864682075399998
ACH-000257,-1.10909773593
ACH-000258,-1.0751122014499999
ACH-000259,-1.06517104893
ACH-000260,-1.23859136998
