,WBP2NL (164684)
ACH-000004,-0.08017039239439999
ACH-000007,-0.10553703316400001
ACH-000009,-0.09242148279139999
ACH-000011,-0.25308209054499997
ACH-000012,-0.18081434192499998
ACH-000013,-0.17278626163
ACH-000014,-0.13710279327199998
ACH-000015,-0.0738811331544
ACH-000017,-0.150987614399
ACH-000018,-0.26706016686
ACH-000019,-0.07170089453169999
ACH-000021,-0.039159887740300006
ACH-000022,-0.14762583861099998
ACH-000025,-0.144444742827
ACH-000028,-0.08912968339400001
ACH-000030,-0.23968070846500003
ACH-000035,-0.39302699402400004
ACH-000036,-0.06937882821710001
ACH-000037,-0.214841699348
ACH-000039,-0.12640811643
ACH-000040,-0.117910834638
ACH-000041,-0.228055367018
ACH-000042,-0.173544096756
ACH-000045,-0.350480668768
ACH-000047,-0.198125430292
ACH-000052,-0.46106088084299995
ACH-000053,-0.0881409962056
ACH-000054,0.0790674923587
ACH-000055,-0.090114789911
ACH-000060,-0.40738085788
ACH-000067,-0.0101645614473
ACH-000070,-0.27634348330499997
ACH-000075,-0.13078036046900002
ACH-000078,-0.253036678206
ACH-000082,-0.0370091804457
ACH-000085,-0.34779776770000004
ACH-000086,0.048720922782800005
ACH-000087,-0.35995398327100003
ACH-000092,-0.170412277005
ACH-000095,-0.0214587432048
ACH-000097,-0.144200478691
ACH-000098,-0.08533068187760001
ACH-000099,-0.0048723835152600006
ACH-000108,0.031998353558
ACH-000113,-0.167688902414
ACH-000115,0.034768202120500004
ACH-000116,-0.029853902403000003
ACH-000118,-0.050365104407000004
ACH-000120,-0.0537719098694
ACH-000123,-0.23038849810400003
ACH-000127,-0.118523430952
ACH-000128,-0.10518154046
ACH-000132,-0.0505606473154
ACH-000133,-0.06763592675630001
ACH-000137,-0.374497449626
ACH-000138,0.11640161038899999
ACH-000142,0.0535713203916
ACH-000143,-0.0517681319521
ACH-000146,-0.326103959431
ACH-000148,-0.146638718392
ACH-000150,-0.148988408721
ACH-000152,-0.23557449168900002
ACH-000153,-0.119951373588
ACH-000159,-0.021984463897
ACH-000160,-0.10903732017500001
ACH-000163,-0.150076553974
ACH-000167,-0.370410568275
ACH-000168,-0.29088309324
ACH-000169,-0.127693641135
ACH-000178,-0.191140705482
ACH-000182,-0.0341740019231
ACH-000183,-0.25198886100400003
ACH-000188,-0.126295755208
ACH-000189,0.151047747746
ACH-000190,-0.227916895953
ACH-000198,-0.162872282749
ACH-000204,-0.024200229462
ACH-000206,-0.172941820418
ACH-000207,-0.030716507456099995
ACH-000211,-0.0799009168714
ACH-000215,-0.11710680472200001
ACH-000221,-0.167341211177
ACH-000222,0.0237481358322
ACH-000223,-0.21983921978
ACH-000226,-0.14941934609000002
ACH-000227,-0.188181054676
ACH-000228,-0.055595147546
ACH-000231,-0.304004191102
ACH-000232,-0.0600059288423
ACH-000233,-0.139563167839
ACH-000234,-0.20487815958099997
ACH-000235,-0.0945094326219
ACH-000237,-0.10789795126700001
ACH-000238,-0.050937037528599995
ACH-000243,-0.0185252185917
ACH-000244,-0.11510098707699999
ACH-000246,-0.00943844408645
ACH-000248,-0.017773661273
ACH-000250,-0.00844320013227
ACH-000251,0.06442982518939999
ACH-000253,-0.331651041388
ACH-000255,-0.138437262094
ACH-000256,-0.334148192194
ACH-000257,-0.17627264577399998
ACH-000258,-0.246288434638
ACH-000259,-0.07852183379689999
ACH-000260,-0.0441407002216
ACH-000261,-0.0925407912184
ACH-000262,-0.0660811265662
ACH-000263,0.21270580913800002
ACH-000264,-0.214760070532
ACH-000265,-0.0672942811347
ACH-000266,-0.204116526944
ACH-000272,-0.028597933389599997
ACH-000273,-0.00238091329216
ACH-000274,-0.232382144855
ACH-000277,-0.163842670828
ACH-000278,-0.07296667448489999
ACH-000279,-0.21165090400199998
ACH-000280,-0.19661402580499998
ACH-000281,-0.17075253393800002
