,NPB (256933)
ACH-000004,-0.375912423808
ACH-000007,-0.42656669449600004
ACH-000009,-0.5149198405709999
ACH-000011,-0.563368740368
ACH-000012,-0.54847019654
ACH-000013,-0.565616257614
ACH-000014,-0.5331569477279999
ACH-000015,-0.48419791531000006
ACH-000017,-0.6571057718259999
ACH-000018,-0.11714577642599999
ACH-000019,-0.336420604525
ACH-000021,-0.458124839877
ACH-000022,-0.5646717628019999
ACH-000025,-0.62100267878
ACH-000028,-0.401015263597
ACH-000030,-0.486730094435
ACH-000035,-0.38242392449699997
ACH-000036,-0.622040769045
ACH-000037,-0.489846982114
ACH-000039,-0.430433317619
ACH-000040,-0.6190165683209999
ACH-000041,-0.393509662991
ACH-000042,-0.688928523021
ACH-000045,-0.629423430559
ACH-000047,-0.73940677574
ACH-000052,-0.5790504721999999
ACH-000053,-0.54415843041
ACH-000054,-0.6945895948540001
ACH-000055,-0.459353707472
ACH-000060,-0.302224191763
ACH-000067,-0.423946795925
ACH-000070,-0.08593637184239998
ACH-000075,-0.693503100561
ACH-000078,-0.9196071219059999
ACH-000082,-0.693196041706
ACH-000085,-0.427836954415
ACH-000086,-0.449436403024
ACH-000087,-0.48665967213600003
ACH-000092,-0.384152933099
ACH-000095,-0.635781980466
ACH-000097,-0.5342403626
ACH-000098,-0.48927193242399997
ACH-000099,-0.713452337164
ACH-000108,-0.7133686000489999
ACH-000113,-0.616739415505
ACH-000115,-0.440164588402
ACH-000116,-0.664281243671
ACH-000118,-0.440669128756
ACH-000120,-0.718080261443
ACH-000123,-0.316117646922
ACH-000127,-0.326669452992
ACH-000128,-0.672614120948
ACH-000132,-0.659250513156
ACH-000133,-0.329779062093
ACH-000137,-0.4033799035
ACH-000138,-0.422389206364
ACH-000142,-0.738217464597
ACH-000143,-0.519391015682
ACH-000146,-0.486272809599
ACH-000148,-0.560511017528
ACH-000150,-0.685745761761
ACH-000152,-0.266871650419
ACH-000153,-0.580516792017
ACH-000159,-0.616905404333
ACH-000160,-0.7395529091399999
ACH-000163,-0.657063502707
ACH-000167,-0.683036881923
ACH-000168,-0.670672428645
ACH-000169,-0.696222467105
ACH-000178,-0.422778773196
ACH-000182,-0.380019146293
ACH-000183,-0.320718281611
ACH-000188,-0.426259942941
