,GOLGA6D (653643)
ACH-000004,-0.271495687673
ACH-000007,-0.37563220701399996
ACH-000009,-0.468220328077
ACH-000011,-0.45451054483099995
ACH-000012,-0.26627677323000004
ACH-000013,-0.233029558189
ACH-000014,-0.332332787498
ACH-000015,-0.242082130223
ACH-000017,-0.445633811401
ACH-000018,-0.43849362487099997
ACH-000019,-0.757637132921
ACH-000021,-0.290600873526
ACH-000022,-0.505958889986
ACH-000025,-0.366569049221
ACH-000028,-0.514224692703
ACH-000030,-0.302031739095
ACH-000035,-0.216516948466
ACH-000036,-0.38398739014600003
ACH-000037,-0.447819221735
ACH-000039,-0.267433032031
ACH-000040,-0.334568935282
ACH-000041,-0.28563572633900003
ACH-000042,-0.29290321598700003
ACH-000045,-0.343105175099
ACH-000047,-0.243667297967
ACH-000052,-0.433416573198
ACH-000053,-0.217732079243
ACH-000054,-0.48765865117299995
ACH-000055,-0.35794587870300004
ACH-000060,-0.23813508996
ACH-000067,-0.507355331829
ACH-000070,-0.24852773680799997
ACH-000075,-0.343341262045
ACH-000078,-0.403152364606
ACH-000082,-0.309315136571
ACH-000085,-0.145890793548
ACH-000086,-0.340564280636
ACH-000087,-0.46087296053599996
ACH-000092,-0.348656800428
ACH-000095,-0.562168410067
ACH-000097,-0.23033466630399999
ACH-000098,-0.20597232857500003
ACH-000099,-0.587273072649
ACH-000108,-0.291533315116
ACH-000113,-0.268776829075
ACH-000115,-0.424240396094
ACH-000116,-0.433206652292
ACH-000118,-0.320499977666
ACH-000120,-0.5115094967029999
ACH-000123,-0.36255388310000003
ACH-000127,-0.436302730212
ACH-000128,-0.390693691569
ACH-000132,-0.6903869392730001
ACH-000133,-0.381177483274
ACH-000137,-0.14620484345899998
ACH-000138,-0.16646595945999998
ACH-000142,-0.215238924856
ACH-000143,-0.39966763389
ACH-000146,-0.333912263142
ACH-000148,-0.370989664634
ACH-000150,-0.631576907622
ACH-000152,-0.25958376644299996
ACH-000153,-0.31375785328899997
ACH-000159,-0.302985105115
ACH-000160,-0.35207873719599997
ACH-000163,-0.377961213706
ACH-000167,-0.0276047878235
ACH-000168,-0.194114683374
ACH-000169,-0.310965349607
ACH-000178,-0.392101391663
ACH-000182,-0.334764995024
ACH-000183,-0.554996789865
ACH-000188,-0.406670010114
ACH-000189,-0.309291830389
ACH-000190,-0.24490195622900002
ACH-000198,-0.34907885411600004
ACH-000204,-0.29676318998
ACH-000206,-0.30901283851100003
ACH-000207,-0.0695192151727
ACH-000211,-0.393285077106
ACH-000215,-0.25032508285300004
ACH-000221,-0.437546232285
ACH-000222,-0.5628565749409999
ACH-000223,-0.49266327011999994
ACH-000226,-0.26555821204999996
ACH-000227,-0.406183120723
ACH-000228,-0.290695436072
ACH-000231,-0.314190389029
ACH-000232,-0.36180080884099997
ACH-000233,-0.47124165526699996
ACH-000234,-0.27694392128600004
ACH-000235,-0.475147924878
ACH-000237,-0.295925926731
ACH-000238,-0.44629833548500003
ACH-000243,-0.46060915866
ACH-000244,-0.556225189176
ACH-000246,-0.248406530508
ACH-000248,-0.405634421814
ACH-000250,-0.300231661401
ACH-000251,-0.19257838420899998
ACH-000253,-0.423891962367
ACH-000255,-0.343926580938
ACH-000256,-0.382067998773
ACH-000257,-0.306474992572
ACH-000258,-0.466880843618
ACH-000259,-0.296339092826
ACH-000260,-0.283654431146
ACH-000261,-0.346132994864
ACH-000262,-0.359700853266
ACH-000263,-0.38046991502599997
ACH-000264,-0.288484375573
