,CACNB1 (782)
ACH-000461,-0.131905839685
ACH-000463,-0.156060930275
ACH-000464,-0.330618446615
ACH-000466,-0.277088658029
ACH-000467,-0.00695591133783
ACH-000468,-0.321159548325
ACH-000469,-0.143197762772
ACH-000470,-0.19216793490800002
ACH-000471,-0.319547856428
ACH-000472,-0.267094349486
ACH-000473,-0.228469687108
ACH-000475,-0.26843230901500004
ACH-000476,-0.453544422559
ACH-000477,-0.574093881735
ACH-000480,-0.324311981157
ACH-000481,-0.255667445766
ACH-000483,-0.172991730257
ACH-000484,-0.330338349875
ACH-000485,-0.26495684732700003
ACH-000486,-0.19876437959600002
ACH-000487,-0.223442427408
ACH-000488,-0.228772352122
ACH-000490,-0.16610022475800001
ACH-000491,-0.24480040354200003
ACH-000495,-0.200786818028
ACH-000496,-0.268283165223
ACH-000499,-0.262382422099
ACH-000500,0.035724987006
ACH-000502,-0.24645480404
ACH-000503,-0.046096859429800005
ACH-000505,-0.018854428256000002
ACH-000507,-0.23897425057799998
ACH-000510,-0.31377875038
ACH-000511,-0.346897776612
ACH-000512,-0.08166646527560001
ACH-000516,-0.28629724462
ACH-000517,-0.195867410333
ACH-000518,-0.19071012092
ACH-000520,-0.13999781522500002
ACH-000521,-0.660024918891
ACH-000522,-0.144979242281
ACH-000524,-0.286039407592
ACH-000527,-0.276617132082
ACH-000528,-0.209854711472
ACH-000537,-0.36039529359800004
ACH-000541,0.0371676595667
ACH-000542,-0.251911363673
ACH-000544,-0.131615333455
ACH-000545,-0.326425994434
ACH-000547,-0.373777983857
ACH-000548,-0.298153037364
ACH-000549,-0.36909642497699996
ACH-000550,-0.251129865259
ACH-000552,-0.18665785337299998
ACH-000556,-0.28648518933600003
ACH-000557,-0.144700488412
ACH-000570,-0.39452801305299995
ACH-000571,-0.157094124558
ACH-000573,-0.0570357677444
ACH-000576,-0.0690316358005
ACH-000580,-0.18884463452300002
ACH-000584,-0.205179913701
ACH-000585,-0.16686497713
ACH-000588,-0.27521529366999997
ACH-000589,-0.21360497536400003
ACH-000591,-0.322183182525
ACH-000593,-0.328969664451
ACH-000600,-0.34194559763099996
ACH-000601,-0.237145537036
ACH-000604,0.0434002774199
ACH-000605,-0.21396208876400002
ACH-000606,-0.0727446611476
ACH-000608,-0.162885807851
ACH-000614,-0.166474089902
ACH-000616,0.0534484039036
ACH-000618,-0.266585685448
ACH-000619,-0.29662262218400004
ACH-000620,-0.133754771114
ACH-000621,-0.150334455256
ACH-000622,-0.393946353826
ACH-000623,-0.228268443248
ACH-000624,-0.22869695279
ACH-000627,-0.279230236612
ACH-000630,-0.266048402458
ACH-000632,-0.297043253503
ACH-000633,-0.09329392784360001
ACH-000637,-0.167099994502
ACH-000638,-0.354428083245
ACH-000646,-0.473559506386
ACH-000647,-0.37280064477499997
ACH-000648,-0.21818662745700002
ACH-000649,-0.26012667949
ACH-000651,-0.20439176114
ACH-000652,-0.253842879853
ACH-000653,-0.178226318563
ACH-000657,-0.275361921773
ACH-000658,-0.25655319945099997
ACH-000661,-0.361594412965
ACH-000662,-0.416687852877
ACH-000663,-0.43866566418999997
ACH-000665,-0.187106613078
ACH-000671,-0.162360912582
ACH-000673,-0.178921065878
ACH-000676,-0.29193914519999997
ACH-000677,-0.23582579164999998
ACH-000681,-0.457240086953
ACH-000682,-0.161092043251
ACH-000683,-0.156803992654
ACH-000684,-0.36459518964599996
ACH-000688,-0.398410360122
ACH-000693,-0.316277119807
ACH-000694,-0.447439949744
ACH-000695,0.143000242311
ACH-000696,-0.17075703670200001
ACH-000697,-0.24190640504299998
ACH-000699,-0.159870093802
ACH-000701,-0.113142920767
ACH-000706,-0.263535642425
ACH-000711,-0.238990177625
ACH-000713,-0.290072415981
ACH-000714,-0.375079416329
ACH-000718,-0.116299556146
ACH-000720,-0.20031680675799998
ACH-000721,-0.225401661306
ACH-000724,-0.23338091195799998
ACH-000725,-0.597003840872
ACH-000732,-0.391886268992
ACH-000734,-0.219905932163
ACH-000735,-0.357976895904
ACH-000736,-0.160637151645
ACH-000738,-0.256427624523
ACH-000746,-0.0471718048795
ACH-000747,-0.346825692785
ACH-000748,-0.266146579868
ACH-000753,-0.218307808133
ACH-000756,-0.42410270956
ACH-000757,-0.0015462848958800002
ACH-000758,-0.257466900422
ACH-000760,0.056814292145699996
ACH-000763,-0.124954594947
ACH-000764,-0.10031023105
ACH-000765,-0.110875946435
ACH-000766,-0.354877342582
ACH-000767,-0.0654175527628
ACH-000768,-0.191696311891
ACH-000769,-0.18968125970600003
ACH-000770,-0.09903237741
ACH-000771,-0.180184283863
ACH-000773,-0.136252144912
ACH-000776,-0.238248063211
ACH-000777,-0.033518254965699996
ACH-000778,-0.241807909318
ACH-000781,-0.126837207348
ACH-000782,-0.0095521085061
ACH-000783,-0.131394178205
ACH-000784,-0.369373647911
ACH-000785,-0.408641711269
ACH-000787,-0.21405857238499998
ACH-000788,-0.28340325111
ACH-000791,-0.39076562297600004
ACH-000792,-0.1511584368
ACH-000794,-0.24495810024
