,SAYSD1 (55776)
ACH-000004,-0.145073497395
ACH-000007,-0.17702037102200002
ACH-000009,-0.07116293595539999
ACH-000011,-0.11119520740800001
ACH-000012,-0.051694781249900006
ACH-000013,-0.143745191617
ACH-000014,-0.137083581198
ACH-000015,-0.0648249999321
ACH-000017,-0.254759444507
ACH-000018,-0.0456259319039
ACH-000019,-0.449230423024
ACH-000021,-0.152158305985
ACH-000022,-0.0995523162416
ACH-000025,-0.110015764601
ACH-000028,-0.179317953607
ACH-000030,-0.167893554824
ACH-000035,-0.210034300565
ACH-000036,-0.299806573108
ACH-000037,-0.184852015799
ACH-000039,-0.0254067061057
ACH-000040,-0.1009508193
ACH-000041,-0.12741164179099998
ACH-000042,-0.116622744328
ACH-000045,-0.42019954264200005
ACH-000047,-0.279151571762
ACH-000052,-0.522190870311
ACH-000053,-0.116697512733
ACH-000054,-0.305735651122
ACH-000055,-0.288796493858
ACH-000060,-0.42633244443999996
ACH-000067,-0.252762922333
ACH-000070,-0.247201155157
ACH-000075,-0.215494272612
ACH-000078,-0.049321761810599996
ACH-000082,-0.182937027829
ACH-000085,-0.176071932614
ACH-000086,-0.206007262319
ACH-000087,-0.173628365757
ACH-000092,-0.113749316513
ACH-000095,-0.196063973068
ACH-000097,-0.331609356177
ACH-000098,-0.308541531559
ACH-000099,-0.06262551864230001
ACH-000108,-0.014487930145299997
ACH-000113,-0.327946225729
ACH-000115,-0.351908398578
ACH-000116,-0.195836658915
ACH-000118,-0.12062911337099999
ACH-000120,-0.306921065475
ACH-000123,-0.147427808244
ACH-000127,-0.207788101635
ACH-000128,-0.212063829019
ACH-000132,-0.202265690854
ACH-000133,-0.13087647654999998
ACH-000137,-0.253468873903
ACH-000138,-0.178988534023
ACH-000142,-0.250197752748
ACH-000143,-0.267647003254
ACH-000146,-0.110399059975
ACH-000148,0.00622056192607
ACH-000150,-0.132739795739
ACH-000152,-0.147957967951
ACH-000153,-0.21126090766
ACH-000159,-0.338476947254
ACH-000160,-0.25051180005
ACH-000163,-0.060368032137199996
ACH-000167,-0.06391463849080001
ACH-000168,-0.289774514641
ACH-000169,-0.262022013616
ACH-000178,-0.13686541282700002
ACH-000182,-0.353329613706
ACH-000183,-0.35335334270400004
ACH-000188,-0.274743147531
ACH-000189,0.024409243019999995
ACH-000190,-0.049186344808499996
ACH-000198,-0.23498968222600003
ACH-000204,-0.211060681382
ACH-000206,-0.46243624824199997
ACH-000207,-0.390498166084
ACH-000211,-0.23868919958299997
ACH-000215,-0.278418115609
ACH-000221,-0.32825346375500003
ACH-000222,-0.0650513345266
ACH-000223,-0.274104389344
ACH-000226,-0.139169989634
ACH-000227,-0.24381958766999998
ACH-000228,-0.35250359785499996
ACH-000231,-0.274433380513
ACH-000232,-0.153208579742
ACH-000233,-0.23233772143399997
ACH-000234,-0.129396647861
ACH-000235,-0.22970103582899998
ACH-000237,-0.23004342694600002
ACH-000238,-0.22770614275400003
ACH-000243,-0.178198630453
ACH-000244,-0.132908540874
ACH-000246,-0.208582263479
ACH-000248,-0.18056060985199998
ACH-000250,-0.167839209883
ACH-000251,-0.348058331674
ACH-000253,-0.250106593739
ACH-000255,-0.29727707344099996
ACH-000256,-0.0385107220886
ACH-000257,-0.44195713093
ACH-000258,-0.0016602390263499999
