,RCBTB2 (1102)
ACH-000004,-0.26479717782900003
ACH-000007,-0.43648215670900004
ACH-000009,-0.281115356642
ACH-000011,-0.22908149366799999
ACH-000012,-0.0619445557651
ACH-000013,-0.221812963374
ACH-000014,-0.07803145545160001
ACH-000015,-0.282052765008
ACH-000017,-0.107682909918
ACH-000018,-0.0651522169737
ACH-000019,-0.435567156658
ACH-000021,-0.21335330402
ACH-000022,-0.147575554477
ACH-000025,-0.109091982735
ACH-000028,-0.20642696901299998
ACH-000030,-0.266981803036
ACH-000035,-0.159174087795
ACH-000036,-0.212170880726
ACH-000037,-0.272005529215
ACH-000039,-0.243068449373
ACH-000040,-0.282252664016
ACH-000041,-0.372289713024
ACH-000042,-0.43324776267899995
ACH-000045,-0.20324277895799997
ACH-000047,-0.23362752924400002
ACH-000052,-0.20973710412799998
ACH-000053,-0.166112472224
ACH-000054,-0.272426741693
ACH-000055,-0.177717914791
ACH-000060,-0.22001775137200003
ACH-000067,-0.29640496488
ACH-000070,-0.12513726851600002
ACH-000075,-0.21208151547899998
ACH-000078,-0.44183384349699995
ACH-000082,-0.22989382721
ACH-000085,-0.241071141525
ACH-000086,-0.235469016246
ACH-000087,-0.339390379877
ACH-000092,-0.199480550022
ACH-000095,-0.25569652802
ACH-000097,-0.204376726915
ACH-000098,-0.250365452828
ACH-000099,-0.25111146245099997
ACH-000108,-0.348468090966
ACH-000113,-0.268641075877
ACH-000115,-0.304250565676
ACH-000116,-0.167851636612
ACH-000118,-0.25938563664700004
ACH-000120,-0.247475790719
ACH-000123,-0.169383355913
ACH-000127,-0.20491169295699999
ACH-000128,-0.09665585215019999
ACH-000132,-0.283936717488
ACH-000133,-0.108856355461
ACH-000137,-0.20146150806899998
ACH-000138,-0.239594135735
ACH-000142,-0.281554822298
ACH-000143,-0.124783550813
ACH-000146,-0.36259598363799994
ACH-000148,-0.179279054788
ACH-000150,-0.291804294892
ACH-000152,-0.197778914713
ACH-000153,-0.264769132033
ACH-000159,-0.446278058329
ACH-000160,-0.115569943519
ACH-000163,-0.321277658657
ACH-000167,-0.052095845460800004
ACH-000168,-0.148011839562
ACH-000169,0.00270951178051
ACH-000178,-0.189137494831
ACH-000182,-0.140272902629
ACH-000183,-0.268473283476
ACH-000188,-0.189304978048
ACH-000189,-0.093986564562
ACH-000190,-0.0155258788273
ACH-000198,-0.242638502377
ACH-000204,-0.205081354676
ACH-000206,-0.122633263933
ACH-000207,-0.327636283486
ACH-000211,-0.205195579382
ACH-000215,-0.19185353684
ACH-000221,-0.205125233466
ACH-000222,-0.109686227377
ACH-000223,-0.34635982698
ACH-000226,-0.232539845167
ACH-000227,-0.33900917983499995
ACH-000228,-0.151248243974
ACH-000231,-0.223104192077
ACH-000232,-0.162427574929
ACH-000233,-0.115641247049
ACH-000234,-0.22457778787399998
ACH-000235,-0.239832105993
ACH-000237,-0.20213459966400002
ACH-000238,-0.411235535129
ACH-000243,-0.239337729327
ACH-000244,-0.141791875834
ACH-000246,-0.31217647961899997
ACH-000248,-0.213947722961
ACH-000250,-0.22046775620099998
ACH-000251,-0.235559733551
ACH-000253,-0.331518870648
ACH-000255,-0.165513795259
ACH-000256,-0.19719092198
ACH-000257,-0.321070842583
ACH-000258,-0.207000678682
ACH-000259,-0.291012999707
ACH-000260,-0.218071529329
ACH-000261,-0.317270401547
ACH-000262,-0.0913858938657
ACH-000263,-0.268303935694
ACH-000264,-0.413595518182
ACH-000265,-0.279741775111
ACH-000266,-0.28285120605
ACH-000272,-0.167386889879
ACH-000273,-0.114703732906
ACH-000274,-0.167526850328
ACH-000277,-0.164785435397
ACH-000278,-0.21421664404
ACH-000279,-0.140145141894
ACH-000280,-0.093417127522
ACH-000281,-0.28745273979499997
ACH-000288,-0.218575107058
ACH-000291,-0.197322095267
ACH-000293,-0.30181079820900003
ACH-000294,-0.412032771069
ACH-000295,-0.41811876530500003
ACH-000296,-0.248085294663
ACH-000302,-0.20928744835700003
ACH-000304,-0.22055781771699998
ACH-000307,-0.127888250064
ACH-000308,-0.332691543979
ACH-000310,-0.334126999624
ACH-000311,-0.22454394887899998
ACH-000312,-0.199999380243
ACH-000315,-0.10976989361
ACH-000316,0.00302275077527
ACH-000317,-0.321222775504
ACH-000318,-0.344721910287
ACH-000319,-0.085788117997
ACH-000320,-0.287381096253
ACH-000322,-0.129885357693
ACH-000323,-0.17712259796399998
ACH-000324,-0.211887691839
ACH-000329,-0.07090647856910001
ACH-000330,-0.33903039580899996
ACH-000331,-0.406428184067
ACH-000332,-0.26369633876299997
ACH-000334,-0.261309573078
ACH-000335,-0.285377424085
ACH-000336,-0.133446628962
ACH-000337,-0.11948188751399999
ACH-000339,-0.337603257813
ACH-000341,-0.0705776001663
ACH-000348,-0.34661165483199996
ACH-000350,-0.33129163210499996
ACH-000352,-0.179424746926
ACH-000356,-0.315399460224
ACH-000361,-0.288385977976
ACH-000362,-0.378087262288
ACH-000363,-0.09937433616800001
ACH-000364,-0.26644666691
ACH-000365,-0.176549215997
ACH-000366,-0.16981782669300002
ACH-000368,-0.08742009390339998
ACH-000374,-0.3308806809
ACH-000375,-0.035462932136
ACH-000376,-0.225876214816
ACH-000381,-0.543822285214
ACH-000383,-0.34089284634000006
ACH-000387,-0.296228294793
ACH-000389,-0.234500116051
ACH-000390,-0.333849694131
ACH-000393,-0.230815400378
ACH-000395,-0.246919761888
ACH-000397,-0.130413725403
ACH-000401,-0.179374277184
ACH-000402,-0.08989152881279999
ACH-000403,-0.255520320948
ACH-000404,-0.0621357676054
ACH-000406,-0.19969170602699998
ACH-000407,-0.0903617798975
ACH-000408,-0.106158399746
ACH-000410,-0.058399971910300004
ACH-000411,-0.26029768726
ACH-000414,-0.22710936965700002
ACH-000415,-0.282241357037
ACH-000416,-0.315093865304
ACH-000420,0.0655318033417
ACH-000421,-0.22413209696199998
ACH-000424,-0.283351051633
ACH-000425,-0.161731632578
ACH-000426,-0.32805639505399997
ACH-000427,-0.09165700668030001
ACH-000433,-0.384356289044
ACH-000436,-0.11367118206900001
ACH-000444,-0.184604132017
ACH-000445,-0.11275433284299999
ACH-000448,-0.40957765840599997
ACH-000450,-0.207797128231
ACH-000452,-0.210225940264
ACH-000454,-0.353683095937
ACH-000458,-0.11305112585
ACH-000459,-0.023503773016200002
ACH-000460,-0.301770574159
ACH-000461,-0.43735969081
ACH-000463,-0.24552227365200002
ACH-000464,-0.052915754718500005
ACH-000466,-0.0878751403101
ACH-000467,-0.251160593617
ACH-000468,-0.323867560825
ACH-000469,-0.000702493824027
ACH-000470,-0.19917212313000002
ACH-000471,-0.215696653275
ACH-000472,-0.26802625166
ACH-000473,-0.29266873013
ACH-000475,-0.213896303847
ACH-000476,-0.20694232413
ACH-000477,-0.344236215179
ACH-000480,-0.381638483548
ACH-000481,-0.3421076435
ACH-000483,0.021943090800400005
ACH-000484,0.0206199731884
ACH-000485,-0.16605061848799998
ACH-000486,-0.213378363365
ACH-000487,-0.14541372827500001
ACH-000488,-0.233076314912
ACH-000490,-0.220771162397
ACH-000491,-0.08944450731720001
ACH-000495,-0.05647087114109999
ACH-000496,-0.42943912609499996
ACH-000499,-0.202802879323
ACH-000500,-0.612553712482
ACH-000502,-0.316042183822
ACH-000503,-0.290069619139
ACH-000505,-0.15246478038699998
ACH-000507,-0.189587015231
ACH-000510,-0.202166345271
ACH-000511,-0.224137865671
ACH-000512,-0.145652548638
ACH-000516,-0.289442380643
ACH-000517,-0.18993044352699998
ACH-000518,-0.358300684864
ACH-000520,-0.358519493785
ACH-000521,-0.0762339235705
ACH-000522,-0.301941960478
ACH-000524,-0.33003632231999996
ACH-000527,-0.169928141548
ACH-000528,-0.260374407138
ACH-000537,-0.115668811951
ACH-000541,-0.110667536909
ACH-000542,-0.169196597229
ACH-000544,-0.291947971499
ACH-000545,-0.347914478278
ACH-000547,0.16196879728900002
ACH-000548,-0.106906079714
ACH-000549,-0.201279026735
ACH-000550,-0.2469234202
ACH-000552,-0.366917580756
ACH-000556,-0.40255260928900005
ACH-000557,-0.433045629643
ACH-000570,-0.24560589703000002
ACH-000571,-0.22021209050700002
ACH-000573,-0.12181941884099999
ACH-000576,-0.330359572303
ACH-000580,-0.151121649351
ACH-000584,-0.21853599079799998
ACH-000585,-0.254343142206
ACH-000588,-0.0370910631556
ACH-000589,-0.227367079423
ACH-000591,-0.210780430353
ACH-000593,-0.115226436505
ACH-000600,-0.147421638509
ACH-000601,-0.21012090330400002
ACH-000604,-0.233293698071
ACH-000605,-0.226805243354
ACH-000606,-0.23980243448600003
ACH-000608,-0.154484434039
ACH-000614,-0.06732793855790001
ACH-000616,-0.28612753163000004
ACH-000618,-0.347107371342
ACH-000619,-0.207169875198
ACH-000620,-0.20020521684999998
ACH-000621,-0.11105463287
ACH-000622,-0.0613395748441
ACH-000623,-0.305124863598
ACH-000624,-0.22972673758
ACH-000627,-0.36500303288
ACH-000630,-0.12130537735500001
ACH-000632,-0.189630008029
ACH-000633,-0.256373928066
ACH-000637,-0.20421035831
ACH-000638,-0.237304076499
ACH-000646,-0.022074985548900004
ACH-000647,-0.368875338811
ACH-000648,-0.187672607324
ACH-000649,-0.232532171485
ACH-000651,-0.161767436053
ACH-000652,-0.412115374875
ACH-000653,-0.37295840093500005
ACH-000657,-0.11450792392999999
ACH-000658,-0.277294687783
ACH-000661,-0.32170443806
ACH-000662,-0.23431012992
ACH-000663,-0.45730854794799997
ACH-000665,-0.32037439315099997
ACH-000671,-0.302953048415
ACH-000673,-0.24926622086
ACH-000676,-0.21496372264199998
ACH-000677,-0.09946553620920001
ACH-000681,-0.108988323378
ACH-000682,-0.169335376393
