,CTNNBL1 (56259)
ACH-000004,-1.31327204578
ACH-000007,-1.20270889842
ACH-000009,-0.944937047623
ACH-000011,-0.8554065986239999
ACH-000012,-1.23922281641
ACH-000013,-0.951348788785
ACH-000014,-0.9202713326180001
ACH-000015,-1.0267274526999999
ACH-000017,-0.836899034647
ACH-000018,-0.84021197026
ACH-000019,-0.8496633832230001
ACH-000021,-1.4149966633200002
ACH-000022,-0.810546180456
ACH-000025,-1.02978896904
ACH-000028,-1.03656136419
ACH-000030,-1.1079305850399999
ACH-000035,-0.807007610996
ACH-000036,-0.93107475797
ACH-000037,-0.693221469876
ACH-000039,-1.5138340876899998
ACH-000040,-1.35367376241
ACH-000041,-1.0338729472100001
ACH-000042,-1.03038982549
ACH-000045,-0.807998238078
ACH-000047,-1.3171349378100001
ACH-000052,-0.834248667578
ACH-000053,-0.7944314879250001
ACH-000054,-0.72539213668
ACH-000055,-0.9653398322490001
ACH-000060,-1.1069559548299999
ACH-000067,-1.04695473748
ACH-000070,-1.28757422592
ACH-000075,-0.855134755246
ACH-000078,-1.3610264489300001
ACH-000082,-0.937136341821
ACH-000085,-1.03817038302
ACH-000086,-1.03914635986
ACH-000087,-1.1061262384000001
ACH-000092,-0.758382321991
ACH-000095,-0.758394704423
ACH-000097,-1.0
ACH-000098,-1.0200389727899999
ACH-000099,-1.33568052417
ACH-000108,-1.07446122034
ACH-000113,-1.12518115697
ACH-000115,-1.15959421281
ACH-000116,-1.13875888379
ACH-000118,-1.02431769484
ACH-000120,-1.33970942462
ACH-000123,-1.04359145364
ACH-000127,-0.7912640446379999
ACH-000128,-1.3487480157299998
ACH-000132,-0.6128231014850001
ACH-000133,-1.28220495828
ACH-000137,-1.12783889779
ACH-000138,-0.962985766335
ACH-000142,-0.793383297291
ACH-000143,-1.1991983559000001
ACH-000146,-1.0501761347399998
ACH-000148,-1.3098844980700002
ACH-000150,-0.9126741708849999
ACH-000152,-1.23658485214
ACH-000153,-0.9579035810950001
ACH-000159,-0.709106344797
ACH-000160,-1.2264796156
ACH-000163,-0.8756630427590001
ACH-000167,-0.254130750863
ACH-000168,-0.776538729931
ACH-000169,-1.0
ACH-000178,-0.80795771983
ACH-000182,-0.7452066102410001
ACH-000183,-1.12460660471
ACH-000188,-0.857445687036
ACH-000189,-0.8175275189899999
ACH-000190,-1.2602775151999999
ACH-000198,-0.8151581305619999
ACH-000204,-0.8306122918809999
ACH-000206,-0.825754897895
ACH-000207,-0.8799064218260001
ACH-000211,-1.1146915160600002
ACH-000215,-1.04015262631
ACH-000221,-1.01123743835
ACH-000222,-0.927027966029
ACH-000223,-0.931620187369
ACH-000226,-1.14314353059
ACH-000227,-1.21447502689
ACH-000228,-0.696149144162
ACH-000231,-1.16522914945
ACH-000232,-1.31581548598
ACH-000233,-0.8443250564020001
ACH-000234,-1.2238794805600002
ACH-000235,-0.899551424592
ACH-000237,-0.9304843308030001
ACH-000238,-1.133150991
ACH-000243,-1.04023503259
ACH-000244,-0.946908564226
ACH-000246,-0.995433119742
ACH-000248,-0.989810311345
ACH-000250,-1.16313199175
ACH-000251,-0.137113370186
ACH-000253,-0.5098294095489999
ACH-000255,-1.03595966989
ACH-000256,-0.9454933944439999
ACH-000257,-0.7984259096699999
ACH-000258,-1.3695597038
ACH-000259,-0.9258321774349999
ACH-000260,-1.1170673095499999
ACH-000261,-0.907839042157
ACH-000262,-0.83579306318
ACH-000263,-1.0532317999
ACH-000264,-1.01970310245
ACH-000265,-1.06011666036
ACH-000266,-0.783780796939
ACH-000272,-0.967168334023
ACH-000273,-0.901267299237
ACH-000274,-0.903253307924
ACH-000277,-1.0105922300399999
ACH-000278,-0.9847332585359999
ACH-000279,-1.4986199134399998
ACH-000280,-0.695297444506
ACH-000281,-0.9435788801189999
ACH-000288,-1.25535408187
ACH-000291,-1.19778190838
ACH-000293,-0.9229185917139999
ACH-000294,-1.20639633254
ACH-000295,-1.0709724216299998
ACH-000296,-1.21910218921
ACH-000302,-1.0910265510500001
ACH-000304,-0.768584676938
ACH-000307,-1.05753961425
ACH-000308,-0.9169939923200001
ACH-000310,-1.34923210789
ACH-000311,-1.20658204944
ACH-000312,-1.2162152312
ACH-000315,-0.931945678274
ACH-000316,-1.0564694946700002
ACH-000317,-1.33078577277
ACH-000318,-1.1236195086799998
ACH-000319,-0.922801077307
ACH-000320,-0.9537668467399999
ACH-000322,-0.926321527451
ACH-000323,-1.08019168279
ACH-000324,-0.964688885081
ACH-000329,-1.03680470336
ACH-000330,-1.37303886584
ACH-000331,-1.21497446511
ACH-000332,-0.705089958175
ACH-000334,-0.723802903972
ACH-000335,-1.2225777873299999
ACH-000336,-0.816819766055
ACH-000337,-1.09282618719
ACH-000339,-0.8731878610200001
ACH-000341,-1.53698514373
ACH-000348,-0.801893820059
ACH-000350,-0.696668307121
ACH-000352,-1.24629450262
ACH-000356,-0.786138159866
ACH-000361,-1.25331738922
ACH-000362,-1.0492252947399998
ACH-000363,-0.645779536648
ACH-000364,-0.947069003309
ACH-000365,-1.11080677521
ACH-000366,-1.16332503705
ACH-000368,-1.18805897861
ACH-000374,-1.14682754347
ACH-000375,-0.767601779849
ACH-000376,-1.24336932595
ACH-000381,-1.18577751424
ACH-000383,-0.7248363729459999
ACH-000387,-1.1070436649200002
ACH-000389,-1.15549160856
ACH-000390,-0.706584249288
ACH-000393,-0.9889759374600001
ACH-000395,-1.4354539156000001
ACH-000397,-0.826192695334
ACH-000401,-1.0735573438400001
ACH-000402,-0.852956376501
ACH-000403,-0.788295014993
ACH-000404,-1.1274909816299998
ACH-000406,-1.2167996050799998
ACH-000407,-0.952934351172
ACH-000408,-0.775044276785
ACH-000410,-1.0799889025
ACH-000411,-1.1762715806
ACH-000414,-1.09172105588
ACH-000415,-0.839163060827
ACH-000416,-0.9050302514309999
ACH-000420,-0.644317217116
ACH-000421,-1.0789306891700001
ACH-000424,-1.31557466125
ACH-000425,-1.1090108922
ACH-000426,-0.7758857916099999
ACH-000427,-0.9029903967790001
ACH-000433,-0.898389458673
ACH-000436,-0.510281041039
