,JUN (3725)
ACH-000004,-0.474167603882
ACH-000007,0.226593902106
ACH-000009,0.0698123233709
ACH-000011,-0.136822701718
ACH-000012,-0.202904428507
ACH-000013,-0.19089031909899998
ACH-000014,-0.391851046749
ACH-000015,-0.11240864450400001
ACH-000017,-0.0880303995841
ACH-000018,-0.34598623781800003
ACH-000019,-0.134002391326
ACH-000021,0.0032799321158
ACH-000022,0.159883745893
ACH-000025,-0.9653692341150001
ACH-000028,-0.16421106389
ACH-000030,0.08578897666339999
ACH-000035,-0.278920680407
ACH-000036,-1.0245800121700002
ACH-000037,-0.970587745474
ACH-000039,-0.175772170141
ACH-000040,-1.0622755069499998
ACH-000041,-0.23161610970600002
ACH-000042,-0.176886151664
ACH-000045,-0.417814664986
ACH-000047,-0.223517743762
ACH-000052,-0.398374938888
ACH-000053,-0.148543741854
ACH-000054,-0.7998912099050001
ACH-000055,-0.281137417456
ACH-000060,-0.461901939668
ACH-000067,-0.841877469493
ACH-000070,-0.28147233294
ACH-000075,-0.66196016249
ACH-000078,-0.47905559480099996
ACH-000082,-0.88399203949
ACH-000085,-0.40929342107199995
ACH-000086,-0.547372059397
ACH-000087,-0.497615104719
ACH-000092,-0.593149426742
ACH-000095,-0.32737699628
ACH-000097,-0.101587263744
ACH-000098,-0.653626482916
ACH-000099,-0.241278679095
ACH-000108,-0.0673343803674
ACH-000113,-0.19986506575399998
ACH-000115,-0.174062969657
ACH-000116,-0.13127113330600002
ACH-000118,-0.160575950587
ACH-000120,-0.18963567027699998
ACH-000123,-0.0319133819901
ACH-000127,-0.188972843978
ACH-000128,-0.29409850885600003
ACH-000132,-0.523266589709
ACH-000133,-0.948164919012
ACH-000137,-0.44185954385700005
ACH-000138,0.06737599052280001
ACH-000142,-0.17036905201299998
ACH-000143,-0.171930184194
ACH-000146,-0.076165549958
ACH-000148,-0.510174413305
ACH-000150,-0.211189300229
ACH-000152,-0.528761031058
ACH-000153,-0.727772588804
ACH-000159,0.00521517290926
ACH-000160,-0.155237327535
ACH-000163,-1.0199359568000002
ACH-000167,-0.9152527736049999
ACH-000168,-0.32456294734499996
ACH-000169,-0.171262602515
ACH-000178,-0.7528201290530001
ACH-000182,-0.0671403214974
ACH-000183,-0.19944184407999999
ACH-000188,-0.0940339325483
ACH-000189,-0.138331630454
ACH-000190,-0.205042303148
ACH-000198,-0.12574019249600002
ACH-000204,-0.41276907738799995
ACH-000206,-0.40886755890199994
ACH-000207,-0.0701763640761
ACH-000211,-0.49743280700099995
ACH-000215,-0.693184401436
ACH-000221,-0.0870181956965
ACH-000222,0.0339892093521
ACH-000223,-0.36293353938100004
ACH-000226,-0.444699939455
ACH-000227,-0.453751278184
ACH-000228,-0.351801755685
ACH-000231,-0.36651424204599997
ACH-000232,-0.530224293488
ACH-000233,-0.285953585596
ACH-000234,0.0695109486135
ACH-000235,-0.259831295142
ACH-000237,-0.281289470317
ACH-000238,-0.201664149452
ACH-000243,0.06025418741719999
ACH-000244,-0.730609558433
ACH-000246,0.037504050459500005
ACH-000248,-0.308625794844
ACH-000250,-0.465329192361
ACH-000251,-0.382344452082
ACH-000253,-0.0692440163484
ACH-000255,-0.680543053592
ACH-000256,-0.278517979935
ACH-000257,-0.18424292661
ACH-000258,-0.0955975655202
ACH-000259,-0.307252609899
ACH-000260,-0.21465158565
ACH-000261,-0.37659182075000003
ACH-000262,-0.781622597413
ACH-000263,-0.527061912058
ACH-000264,0.0558203621405
ACH-000265,-0.586396547228
ACH-000266,-0.211144068332
ACH-000272,-0.15416354552300002
ACH-000273,-0.424629396381
ACH-000274,-0.278503384041
ACH-000277,-0.10668722491100001
ACH-000278,-0.27760063232099996
ACH-000279,-0.128466251721
