,GRK6 (2870)
ACH-000004,-0.140795930667
ACH-000007,-0.0445947219061
ACH-000009,-0.0461167326403
ACH-000011,-0.059126587832800004
ACH-000012,-0.231649030759
ACH-000013,-0.143872885997
ACH-000014,-0.0747232033328
ACH-000015,-0.17708658736699998
ACH-000017,-0.576393307051
ACH-000018,-0.422996942656
ACH-000019,-0.140748478497
ACH-000021,-0.40044422111100003
ACH-000022,-0.239359306837
ACH-000025,-0.0885659196074
ACH-000028,-0.07699485358630001
ACH-000030,0.0280303130978
ACH-000035,-0.10273679775
ACH-000036,-0.131701314864
ACH-000037,0.028195179751200002
ACH-000039,-0.208567106985
ACH-000040,-0.0305285554752
ACH-000041,0.0210380863222
ACH-000042,-0.21646056144
ACH-000045,-0.0146096909354
ACH-000047,-0.227928991783
ACH-000052,0.00736167681872
ACH-000053,-0.0178080756022
ACH-000054,-0.058550772802599994
ACH-000055,-0.26709466539
ACH-000060,-0.123382534459
ACH-000067,-0.125175323896
ACH-000070,0.140070418044
ACH-000075,-0.0404115376382
ACH-000078,-0.056754067325099994
ACH-000082,-0.0607543203203
ACH-000085,-0.414918954071
ACH-000086,-0.00601370891881
ACH-000087,-0.111415636945
ACH-000092,-0.204533563052
ACH-000095,-0.014839650472099999
ACH-000097,-0.327935645248
ACH-000098,-0.08833890170839999
ACH-000099,-0.1021106573
ACH-000108,-0.18945538693
ACH-000113,-0.060599885295599995
ACH-000115,-0.546789741723
ACH-000116,-0.0492877182698
ACH-000118,-0.263869325581
ACH-000120,0.010995239903500001
ACH-000123,-0.136649447904
ACH-000127,-0.079148815357
ACH-000128,-0.316905373763
ACH-000132,-0.0417318505958
ACH-000133,-0.155842369328
ACH-000137,0.206360614692
ACH-000138,-0.210305605636
ACH-000142,-0.29685968189899997
ACH-000143,-0.29282539700800003
ACH-000146,-0.10015756480799999
ACH-000148,-0.18271964011
ACH-000150,-0.32275693105000003
ACH-000152,-0.10586874043
ACH-000153,0.0413473364685
ACH-000159,-0.16652703694
ACH-000160,0.0497032554469
ACH-000163,-0.039256369730400004
ACH-000167,-0.138579245974
ACH-000168,-0.038426294815800004
ACH-000169,-0.051707056954
ACH-000178,-0.0665857125397
ACH-000182,-0.233165474063
ACH-000183,0.078224543326
ACH-000188,-0.0908146385211
ACH-000189,-0.11099759699799999
ACH-000190,-0.122353545123
ACH-000198,-0.204115532692
ACH-000204,0.021058687932199997
ACH-000206,-0.140029191872
ACH-000207,-0.238685724553
ACH-000211,-0.258661964121
ACH-000215,-0.127218162992
ACH-000221,-0.0959031213355
ACH-000222,-0.473423176462
ACH-000223,-0.092400158244
ACH-000226,-0.0877764008936
ACH-000227,0.0502032480326
ACH-000228,-0.24278949378400003
ACH-000231,-0.027643927362599997
ACH-000232,-0.181271231524
ACH-000233,-0.163821382775
ACH-000234,-0.26799130044799996
ACH-000235,-0.15537500418199998
ACH-000237,-0.107626234428
ACH-000238,-0.274154929588
ACH-000243,-0.247258907362
ACH-000244,-0.16298320337799999
ACH-000246,-0.207440238492
ACH-000248,-0.196160209342
ACH-000250,-0.23126726624000002
ACH-000251,0.030188448500700002
ACH-000253,-0.13921866230399998
ACH-000255,-0.137853529941
ACH-000256,-0.08919032501589999
ACH-000257,-0.0979019353734
ACH-000258,-0.0608588037851
ACH-000259,-0.280258676432
ACH-000260,-0.141566193801
ACH-000261,-0.18359350875500002
ACH-000262,-0.765802340314
ACH-000263,-0.0880395487388
ACH-000264,-0.08465066322560001
ACH-000265,-0.308662276374
ACH-000266,-0.294413276171
ACH-000272,-0.070876447522
ACH-000273,-0.139444839826
ACH-000274,0.10765525907500001
ACH-000277,-0.0476934801236
ACH-000278,-0.0970326456571
ACH-000279,-0.160606884898
ACH-000280,0.026763946107
ACH-000281,-0.5420248236949999
ACH-000288,-0.207076839197
ACH-000291,-0.270179315165
ACH-000293,-0.134030190788
ACH-000294,-0.0202582930268
ACH-000295,-0.025265264807700003
ACH-000296,0.22437986125300002
ACH-000302,-0.139044500719
ACH-000304,0.14943629228
ACH-000307,-0.0675182335005
ACH-000308,-0.10115658849999999
ACH-000310,-0.332955551805
ACH-000311,-0.468131599212
ACH-000312,-0.432127204411
ACH-000315,0.0035942868546999995
ACH-000316,0.00242378665658
ACH-000317,-0.22660276664999998
ACH-000318,-0.052492428993300005
ACH-000319,-0.16830058862999997
ACH-000320,-0.559140391976
ACH-000322,-0.220480689375
ACH-000323,-0.114359544526
ACH-000324,-0.16490944976299998
ACH-000329,-0.460141860231
ACH-000330,-0.35914523246200003
ACH-000331,-0.0463727409344
ACH-000332,-0.264135496282
ACH-000334,0.106146019285
ACH-000335,-0.0935819551998
ACH-000336,-0.015761617524
ACH-000337,0.055518263672
ACH-000339,-0.210224877887
ACH-000341,-0.35372469590000005
ACH-000348,-0.28428946733800003
ACH-000350,-0.330519319564
ACH-000352,-0.0573690505735
ACH-000356,-0.30619827328899996
ACH-000361,-0.363173689556
ACH-000362,-0.05173440608780001
ACH-000363,0.007726181651879999
ACH-000364,0.017163145169500002
ACH-000365,-0.18340271148499998
ACH-000366,-0.177996529058
ACH-000368,-0.195458282387
ACH-000374,-0.027052550967500002
ACH-000375,-0.224300264129
ACH-000376,-0.173470075301
ACH-000381,-0.20255635386100002
ACH-000383,-0.269372321807
ACH-000387,-0.0379097263836
ACH-000389,-0.286166726947
ACH-000390,-0.0518938683325
ACH-000393,-0.156624948278
ACH-000395,-0.20009875496100002
ACH-000397,-0.308870141637
ACH-000401,-0.0463902393266
ACH-000402,0.24830722342599998
ACH-000403,-0.0558823661261
ACH-000404,0.371262193629
ACH-000406,-0.20435836640399999
ACH-000407,-0.07418195854
ACH-000408,-0.3500963596
ACH-000410,-0.342859767659
ACH-000411,-0.262117276266
ACH-000414,-0.20920501627000002
ACH-000415,-0.0579384162431
ACH-000416,-0.08622797709869999
ACH-000420,-0.18166628864
ACH-000421,0.00219796132776
ACH-000424,0.142748292332
ACH-000425,0.00789359677084
ACH-000426,-0.176455910245
