,INCENP (3619)
ACH-000004,-0.848103200036
ACH-000007,-1.21444471646
ACH-000009,-0.968671173364
ACH-000011,-1.1943964142499999
ACH-000012,-1.162185394
ACH-000013,-1.05107012346
ACH-000014,-1.00265243266
ACH-000015,-1.01121331734
ACH-000017,-1.33599685492
ACH-000018,-0.571192525205
ACH-000019,-0.8610394987569999
ACH-000021,-1.0751402221600002
ACH-000022,-0.995980306134
ACH-000025,-0.91632158801
ACH-000028,-1.03845384514
ACH-000030,-1.0933463646600001
ACH-000035,-0.602895101786
ACH-000036,-1.2980101128000001
ACH-000037,-1.53407733449
ACH-000039,-1.29848275659
ACH-000040,-1.25206821128
ACH-000041,-1.01464304612
ACH-000042,-1.17977025411
ACH-000045,-0.960858375388
ACH-000047,-1.36960075275
ACH-000052,-0.982876936564
ACH-000053,-1.09280641598
ACH-000054,-1.26769955364
ACH-000055,-0.714695492377
ACH-000060,-1.16775772531
ACH-000067,-0.993737529552
ACH-000070,-1.37318173788
ACH-000075,-1.19901477391
ACH-000078,-1.31178384234
ACH-000082,-1.03732189983
ACH-000085,-1.05197989682
ACH-000086,-1.30126809256
ACH-000087,-0.8605689289339999
ACH-000092,-1.29290625402
ACH-000095,-1.20632956937
ACH-000097,-1.07502106732
ACH-000098,-1.06774034423
ACH-000099,-1.2935501623899999
ACH-000108,-1.17087716235
ACH-000113,-1.23800602771
ACH-000115,-1.18578442419
ACH-000116,-0.9237021660529999
ACH-000118,-1.18366841334
ACH-000120,-1.34997307764
ACH-000123,-1.26852305639
ACH-000127,-1.2369114692399998
ACH-000128,-1.30842650258
ACH-000132,-1.28870953407
ACH-000133,-1.11677981043
ACH-000137,-1.02054946761
ACH-000138,-1.29472272724
ACH-000142,-1.0050796967
ACH-000143,-1.03878645092
ACH-000146,-1.3732848891
ACH-000148,-1.0494216652500001
ACH-000150,-1.34036152294
ACH-000152,-1.1392277254899998
ACH-000153,-0.794922101153
ACH-000159,-1.46082717618
ACH-000160,-1.0678146875
ACH-000163,-1.0870167661799999
ACH-000167,-0.9696821991429999
ACH-000168,-1.07873800397
ACH-000169,-1.16199166549
ACH-000178,-0.967603477475
ACH-000182,-1.0808579809999999
ACH-000183,-1.03408183589
ACH-000188,-1.3757090361500002
ACH-000189,-1.2558996877600002
ACH-000190,-0.969057363919
ACH-000198,-1.20868110753
ACH-000204,-1.32214787611
ACH-000206,-1.09777059684
ACH-000207,-0.990588108564
ACH-000211,-0.978023596638
ACH-000215,-1.27201363607
ACH-000221,-1.0474351995
ACH-000222,-1.28270534772
ACH-000223,-1.08412479498
ACH-000226,-1.3181945639100001
ACH-000227,-1.8071127379299998
ACH-000228,-1.2593519610700001
ACH-000231,-1.2902594147700002
ACH-000232,-1.0868740603899998
ACH-000233,-1.5822267745299998
ACH-000234,-1.33294376295
ACH-000235,-1.10943294525
ACH-000237,-1.03869822274
ACH-000238,-0.8797665757780001
ACH-000243,-0.958588452756
ACH-000244,-0.904061962175
ACH-000246,-1.2043206922799998
ACH-000248,-1.14040348496
ACH-000250,-1.1227799785400001
ACH-000251,-0.160196554753
ACH-000253,-1.33525273998
ACH-000255,-1.2427060478899998
ACH-000256,-1.11019452547
ACH-000257,-1.5000589267700002
ACH-000258,-0.823674844897
ACH-000259,-1.08942580884
ACH-000260,-1.02889754119
ACH-000261,-1.08580915499
ACH-000262,-0.854873170654
ACH-000263,-1.13785593963
ACH-000264,-1.05217308405
ACH-000265,-1.25956711554
ACH-000266,-1.3375613986900001
ACH-000272,-1.0913181689799998
ACH-000273,-1.43490083148
ACH-000274,-1.4102959708899998
ACH-000277,-1.56273647033
ACH-000278,-0.984705316292
ACH-000279,-0.689310945126
ACH-000280,-1.32888623302
