,OR4K1 (79544)
ACH-000004,-0.438536786651
ACH-000007,-0.39377896569399995
ACH-000009,-0.764973231587
ACH-000011,-0.529275415605
ACH-000012,-0.709290207812
ACH-000013,-0.5549681185409999
ACH-000014,-0.45978351467600004
ACH-000015,-0.40904963237400005
ACH-000017,-0.7935787437559999
ACH-000018,-0.330517041646
ACH-000019,-0.536136424614
ACH-000021,-0.574376211472
ACH-000022,-0.613443292667
ACH-000025,-0.535945629346
ACH-000028,-0.6039279998899999
ACH-000030,-0.35514996983900005
ACH-000035,-0.566137020349
ACH-000036,-0.59985520743
ACH-000037,-0.70567798713
ACH-000039,-0.661646423587
ACH-000040,-0.490196251165
ACH-000041,-0.312075493754
ACH-000042,-0.549025019423
ACH-000045,-0.581776516391
ACH-000047,-0.524925302422
ACH-000052,-0.637897809013
ACH-000053,-0.61603929635
ACH-000054,-0.561144904087
ACH-000055,-0.451210969113
ACH-000060,-0.6569514686810001
ACH-000067,-0.413252724842
ACH-000070,-0.56978946919
ACH-000075,-0.475698615529
ACH-000078,-0.547060182958
ACH-000082,-0.549797936742
ACH-000085,-0.325604707792
ACH-000086,-0.382287437641
ACH-000087,-0.471916811822
ACH-000092,-0.522221739583
ACH-000095,-0.615326473772
ACH-000097,-0.558087551659
ACH-000098,-0.440474846907
ACH-000099,-0.680523954894
ACH-000108,-0.6134642970049999
ACH-000113,-0.808796802629
ACH-000115,-0.555298345812
ACH-000116,-0.5780982643370001
ACH-000118,-0.6711305934039999
ACH-000120,-0.348651745231
ACH-000123,-0.558824978576
ACH-000127,-0.563618752045
ACH-000128,-0.54476637345
ACH-000132,-0.478499392141
ACH-000133,-0.580403891785
ACH-000137,-0.361053284452
ACH-000138,-0.581679152793
ACH-000142,-0.415745765599
ACH-000143,-0.779228414895
ACH-000146,-0.600474137953
ACH-000148,-0.590611468865
ACH-000150,-0.222556206199
ACH-000152,-0.640731009846
ACH-000153,-0.591773894735
ACH-000159,-0.7285572646100001
ACH-000160,-0.49068569939400003
ACH-000163,-0.384914306196
ACH-000167,-0.36848404020000003
ACH-000168,-0.378175831127
ACH-000169,-0.633041407665
ACH-000178,-0.376434083334
ACH-000182,-0.337506985436
ACH-000183,-0.662119369256
ACH-000188,-0.744835164304
ACH-000189,-0.5504499736249999
ACH-000190,-0.6219970628329999
ACH-000198,-0.484052957347
ACH-000204,-0.695293278398
ACH-000206,-0.485484120055
ACH-000207,-0.420451485694
ACH-000211,-0.631123221927
ACH-000215,-0.508988805079
ACH-000221,-0.649136991783
ACH-000222,-0.592592200845
ACH-000223,-0.697800024691
ACH-000226,-0.630230043851
ACH-000227,-0.287766835986
ACH-000228,-0.703574690445
ACH-000231,-0.453542530057
ACH-000232,-0.7630346757250001
ACH-000233,-0.6805126484
ACH-000234,-0.622003943182
ACH-000235,-0.46435010233900004
ACH-000237,-0.30263696885200003
ACH-000238,-0.46784383930699996
ACH-000243,-0.5679130447290001
ACH-000244,-0.387745769423
ACH-000246,-0.647895725935
ACH-000248,-0.7029365054469999
ACH-000250,-0.43429233305799997
ACH-000251,-0.539530577512
ACH-000253,-0.460153961409
ACH-000255,-0.364078697179
ACH-000256,-0.60905720857
ACH-000257,-1.105059264
ACH-000258,-0.829985623784
ACH-000259,-0.481452266799
ACH-000260,-0.556780315388
