,SLIRP (81892)
ACH-000004,-0.145287850076
ACH-000007,-0.387860305197
ACH-000009,-0.230157332128
ACH-000011,-0.288275947494
ACH-000012,-0.145900510669
ACH-000013,-0.36484506736100003
ACH-000014,-0.3957662986
ACH-000015,-0.205845514114
ACH-000017,-0.40093445420999996
ACH-000018,-0.310093973549
ACH-000019,-0.397869657145
ACH-000021,-0.20177597420499999
ACH-000022,-0.123342803475
ACH-000025,-0.330443330152
ACH-000028,-0.369235552518
ACH-000030,0.03500297475169999
ACH-000035,-0.09602839834450001
ACH-000036,-0.146432162946
ACH-000037,-0.17244790245900002
ACH-000039,-0.281141807862
ACH-000040,-0.0750048118398
ACH-000041,0.06986418120780001
ACH-000042,-0.161485400715
ACH-000045,-0.270981495362
ACH-000047,-0.48155303397200006
ACH-000052,-0.09811540797969999
ACH-000053,-0.22220209511
ACH-000054,-0.321819706813
ACH-000055,-0.0983610205657
ACH-000060,-0.5856266989259999
ACH-000067,-0.080455027185
ACH-000070,-0.5106314344690001
ACH-000075,-0.224763408237
ACH-000078,0.015880773843
ACH-000082,-0.614941721381
ACH-000085,-0.453492123944
ACH-000086,-0.29883711887200004
ACH-000087,-0.00567053189554
ACH-000092,-0.300646595204
ACH-000095,-0.044311386624099995
ACH-000097,-0.35875309797
ACH-000098,-0.29451735079
ACH-000099,-0.254294676978
ACH-000108,-0.22613813854200002
ACH-000113,-0.231110197724
ACH-000115,-0.263338061651
ACH-000116,-0.160303385215
ACH-000118,-0.26790536762600003
ACH-000120,-0.192882314815
ACH-000123,-0.265469397806
ACH-000127,-0.342754573112
ACH-000128,-0.460549180112
ACH-000132,-0.125374010394
ACH-000133,-0.262582279102
ACH-000137,-0.30291667536
ACH-000138,-0.15372696495899998
ACH-000142,-0.194070012854
ACH-000143,-0.316242693404
ACH-000146,-0.274744730108
ACH-000148,-0.390868973093
ACH-000150,-0.292673514767
ACH-000152,-0.427819649236
ACH-000153,-0.49853436868900003
ACH-000159,-0.239432682474
ACH-000160,-0.344399211453
ACH-000163,-0.28789736139600003
ACH-000167,-0.199367070284
ACH-000168,-0.335669007633
ACH-000169,-0.598415908736
ACH-000178,-0.259382172367
ACH-000182,-0.31568177741799996
ACH-000183,-0.320095977252
ACH-000188,-0.22515869564
ACH-000189,-0.282690281578
ACH-000190,-0.37352753444
ACH-000198,-0.27987710429900003
ACH-000204,-0.540703908321
ACH-000206,0.05676148598780001
ACH-000207,-0.039632885241
ACH-000211,-0.0941102331653
ACH-000215,-0.388844916899
ACH-000221,-0.22009896404399998
ACH-000222,-0.0412351517734
ACH-000223,-0.359213054401
ACH-000226,-0.109554040824
ACH-000227,-0.181978786468
ACH-000228,-0.304270917356
ACH-000231,-0.0708176803386
ACH-000232,-0.510650198612
ACH-000233,-0.311239199052
ACH-000234,-0.226554909443
ACH-000235,-0.11956482391899999
ACH-000237,-0.0952753670631
ACH-000238,-0.46022121778999997
ACH-000243,-0.278544225304
ACH-000244,-0.468648221179
ACH-000246,-0.536580688096
ACH-000248,-0.19607711268300002
ACH-000250,-0.230754497567
ACH-000251,-0.354815788604
ACH-000253,-0.234097812751
ACH-000255,-0.21234569674400003
ACH-000256,-0.536216981526
ACH-000257,-0.37958991379100004
ACH-000258,-0.246406952921
ACH-000259,-0.547692791335
ACH-000260,-0.223314643888
ACH-000261,-0.187286932187
ACH-000262,-0.22355299993799999
ACH-000263,-0.308329682158
ACH-000264,-0.338256288691
ACH-000265,-0.383150450864
ACH-000266,-0.174290101818
ACH-000272,-0.30189895452300003
ACH-000273,-0.2119644363
ACH-000274,-0.409069996015
ACH-000277,-0.46693973726300003
ACH-000278,-0.15091848844699998
ACH-000279,-0.253891408697
ACH-000280,-0.28971245999
ACH-000281,-0.132563425635
ACH-000288,-0.224981223561
ACH-000291,-0.2714569039
ACH-000293,-0.271441402254
ACH-000294,0.023642266888599998
ACH-000295,-0.39366635301799996
ACH-000296,-0.00453094708299
ACH-000302,-0.131913552643
ACH-000304,-0.09106412846869999
ACH-000307,-0.14479087554199999
ACH-000308,-0.211525932276
ACH-000310,-0.13309424762
ACH-000311,-0.12143460423699999
ACH-000312,-0.261343420013
ACH-000315,-0.34382883573
ACH-000316,-0.13931206263
ACH-000317,-0.371461166882
ACH-000318,-0.31386407130800004
ACH-000319,-0.23827494504000002
ACH-000320,-0.320224651846
ACH-000322,-0.295382267102
ACH-000323,-0.335853742351
ACH-000324,-0.183155649206
ACH-000329,-0.366797160103
ACH-000330,-0.513841024795
ACH-000331,-0.272176202884
ACH-000332,-0.154202543851
ACH-000334,-0.581410633295
ACH-000335,-0.00430910467117
ACH-000336,-0.42619871236199997
ACH-000337,-0.511907883667
ACH-000339,-0.0669886751166
ACH-000341,-0.597899573505
ACH-000348,-0.302123485348
ACH-000350,-0.392109662175
ACH-000352,-0.445882510778
ACH-000356,-0.326856343586
ACH-000361,-0.08995600622130001
ACH-000362,-0.150045318627
ACH-000363,-0.264282054265
ACH-000364,-0.167281499891
ACH-000365,-0.177015734182
ACH-000366,-0.319739130486
ACH-000368,-0.34130483493600006
ACH-000374,-0.268770622106
ACH-000375,-0.245574804301
ACH-000376,-0.445980888102
ACH-000381,-0.10032062719399999
ACH-000383,-0.241145629019
ACH-000387,-0.013155190985299998
ACH-000389,-0.59898767353
