,GOLGA6A (342096)
ACH-000004,-0.549166461669
ACH-000007,-0.7095090843240001
ACH-000009,-0.871871729454
ACH-000011,-0.672435770795
ACH-000012,-0.6167446051300001
ACH-000013,-0.783317003705
ACH-000014,-0.718020996311
ACH-000015,-0.7129711774009999
ACH-000017,-0.46510547901
ACH-000018,-0.44549505668399997
ACH-000019,-0.6791522670739999
ACH-000021,-0.7657983435439999
ACH-000022,-1.03246404103
ACH-000025,-0.647214482507
ACH-000028,-0.45302307202200004
ACH-000030,-0.655719641575
ACH-000035,-0.40579836436399996
ACH-000036,-0.6604943026169999
ACH-000037,-0.568833604309
ACH-000039,-0.5387835153180001
ACH-000040,-0.7199041502529999
ACH-000041,-0.882973097093
ACH-000042,-0.772525675321
ACH-000045,-0.5381100648899999
ACH-000047,-0.637775574397
ACH-000052,-0.7341817134890001
ACH-000053,-0.8877232096050001
ACH-000054,-0.625877779143
ACH-000055,-0.199700095618
ACH-000060,-0.511511417027
ACH-000067,-0.37745593976999997
ACH-000070,-0.520438431194
ACH-000075,-0.7040309979549999
ACH-000078,-0.7110189620790001
ACH-000082,-0.583909675755
ACH-000085,-0.8810262097
ACH-000086,-0.473154189902
ACH-000087,-0.886292071451
ACH-000092,-0.4931113446
ACH-000095,-0.759153467234
ACH-000097,-0.7397206377860001
ACH-000098,-0.6369324330699999
ACH-000099,-0.7433691301469999
ACH-000108,-0.514585684294
ACH-000113,-0.486726028516
ACH-000115,-1.09713059892
ACH-000116,-0.7635438343950001
ACH-000118,-0.373409190295
ACH-000120,-0.598690027769
ACH-000123,-0.644028511607
ACH-000127,-0.858066897707
ACH-000128,-0.779242945371
ACH-000132,-0.762574592619
ACH-000133,-0.505108358906
ACH-000137,-0.528457664089
ACH-000138,-0.911257549016
ACH-000142,-0.5961764726150001
ACH-000143,-0.5277822288399999
ACH-000146,-0.8995137878299999
ACH-000148,-0.864879560182
ACH-000150,-0.460010154512
ACH-000152,-0.429745919834
ACH-000153,-0.448135909737
ACH-000159,-0.6208058505340001
ACH-000160,-1.05505338936
ACH-000163,-0.6989492105399999
ACH-000167,-1.06701648014
ACH-000168,-0.612109327518
ACH-000169,-0.8015412167039999
ACH-000178,-0.590527147044
ACH-000182,-0.767498476128
ACH-000183,-0.450365530652
ACH-000188,-0.772660286079
ACH-000189,-0.0740270677065
ACH-000190,-0.315282087394
ACH-000198,-0.590955442494
ACH-000204,-0.731293549017
ACH-000206,-0.55678729526
ACH-000207,-0.7891512098989999
ACH-000211,-0.75663314494
ACH-000215,-0.669831662259
ACH-000221,-0.44959005358000004
ACH-000222,-0.43842831193000004
ACH-000223,-0.586406395932
ACH-000226,-0.629373835298
ACH-000227,-0.9137248831649999
ACH-000228,-0.579436096965
ACH-000231,-0.516969907638
ACH-000232,-0.6265145347600001
ACH-000233,-0.8617713019709999
ACH-000234,-0.694462371908
ACH-000235,-0.710401241391
ACH-000237,-0.569079725106
ACH-000238,-0.603419080351
ACH-000243,-0.7437108056630001
ACH-000244,-0.35408789751100006
ACH-000246,-0.835479577473
ACH-000248,-0.364993123705
ACH-000250,-0.6816494509540001
ACH-000251,-0.287904919033
ACH-000253,-0.46059487096100005
ACH-000255,-0.462192828531
ACH-000256,-0.684662388941
ACH-000257,-0.401488754858
ACH-000258,-1.03497423609
ACH-000259,-0.9251231743430001
ACH-000260,-0.648150505314
ACH-000261,-0.9195885820649999
ACH-000262,-0.782148928696
ACH-000263,-0.7590038951989999
ACH-000264,-0.660964136272
ACH-000265,-0.6268689111029999
ACH-000266,-0.899590369867
ACH-000272,-0.6499909864710001
ACH-000273,-0.676988503532
ACH-000274,-0.9281322545239999
ACH-000277,-0.580301455016
ACH-000278,-0.663156969167
ACH-000279,-0.719790106703
ACH-000280,-0.806777330718
