,TULP2 (7288)
ACH-000004,-0.37520470419600005
ACH-000007,-0.336095284895
ACH-000009,-0.12493203885500001
ACH-000011,0.0753157237196
ACH-000012,-0.165443442267
ACH-000013,-0.298291598409
ACH-000014,-0.0323972169688
ACH-000015,-0.432901094048
ACH-000017,-0.040627010264800006
ACH-000018,-0.172069481705
ACH-000019,-0.407348648032
ACH-000021,-0.184540813819
ACH-000022,-0.064128193756
ACH-000025,-0.00935301885896
ACH-000028,-0.147156217995
ACH-000030,-0.100932651525
ACH-000035,-0.12770268525599998
ACH-000036,-0.0743502369667
ACH-000037,0.09628255097889998
ACH-000039,-0.346979377405
ACH-000040,-0.0916062693857
ACH-000041,0.0137258117197
ACH-000042,-0.159020184501
ACH-000045,-0.0440461571193
ACH-000047,-0.17969301070000002
ACH-000052,0.2073376857
ACH-000053,-0.0671052945003
ACH-000054,-0.0502603101155
ACH-000055,-0.052672361421099996
ACH-000060,0.030839968694799998
ACH-000067,-0.383204387539
ACH-000070,0.121939421334
ACH-000075,-0.314319293883
ACH-000078,-0.0887556399063
ACH-000082,-0.0661832457027
ACH-000085,-0.159059469996
ACH-000086,-0.21015253955200003
ACH-000087,-0.0227205604293
ACH-000092,-0.07319383278960001
ACH-000095,-0.0347258429564
ACH-000097,-0.15023839938300002
ACH-000098,-0.144333696795
ACH-000099,-0.24930523797499998
ACH-000108,-0.244305555183
ACH-000113,-0.152254141605
ACH-000115,-0.4123085745
ACH-000116,-0.157063313313
ACH-000118,-0.058347153499099996
ACH-000120,-0.030277856469099997
ACH-000123,-0.219863492768
ACH-000127,-0.09557440885919999
ACH-000128,-0.093919143402
ACH-000132,0.205996854118
ACH-000133,0.020819652627099998
ACH-000137,-0.147675434923
ACH-000138,-0.292720166647
ACH-000142,-0.0670282053567
ACH-000143,-0.22721279346
ACH-000146,-0.18844744907400002
ACH-000148,-0.100112111064
ACH-000150,-0.14131009728900001
ACH-000152,0.0467403138304
ACH-000153,-0.259417778344
ACH-000159,-0.21690750434
ACH-000160,-0.134019145742
ACH-000163,-0.128644470647
ACH-000167,-0.0300103873159
ACH-000168,-0.0786790800121
ACH-000169,0.00011996400723500001
ACH-000178,-0.18683528803899999
ACH-000182,-0.0565180408383
ACH-000183,-0.235016746107
ACH-000188,-0.154343248758
ACH-000189,0.164323364607
ACH-000190,-0.203049512603
ACH-000198,-0.20201884382100002
ACH-000204,-0.0727876905237
ACH-000206,-0.170831081222
ACH-000207,-0.0347824156191
ACH-000211,-0.243075364143
ACH-000215,-0.161415296278
ACH-000221,-0.220062813558
ACH-000222,-0.142827789599
ACH-000223,-0.00868472974366
ACH-000226,-0.08699044421910002
ACH-000227,0.300596619635
ACH-000228,-0.100245864702
ACH-000231,-0.0334744980449
ACH-000232,-0.168415280773
ACH-000233,-0.0211575679168
ACH-000234,-0.170983629893
ACH-000235,-0.271650423514
ACH-000237,-0.061378921608800006
ACH-000238,0.0171566715062
ACH-000243,-0.0791727172107
ACH-000244,-0.21532864056200002
ACH-000246,-0.171664393608
ACH-000248,-0.284594724872
ACH-000250,-0.0385488095556
ACH-000251,-0.144426485549
ACH-000253,-0.145529830809
ACH-000255,-0.317133242274
ACH-000256,-0.158510634732
ACH-000257,-0.030028227782900003
ACH-000258,0.125278841982
ACH-000259,-0.133854222129
ACH-000260,-0.0391700100184
ACH-000261,-0.0743472103029
ACH-000262,-0.382335886478
ACH-000263,-0.205572677148
ACH-000264,-0.0312058851927
ACH-000265,-0.41579327958499995
ACH-000266,-0.163498966429
ACH-000272,-0.13791573494999998
ACH-000273,-0.225820529017
ACH-000274,-0.12193986723099999
ACH-000277,-0.0473067095526
ACH-000278,0.129961466232
ACH-000279,-0.0663226196313
ACH-000280,-0.30343476152800003
ACH-000281,-0.0250516799706
ACH-000288,-0.011655582426200002
ACH-000291,-0.139087158337
ACH-000293,0.0908678474457
ACH-000294,-0.208702705392
ACH-000295,-0.0859654006058
ACH-000296,0.019849892099900002
ACH-000302,-0.388773157928
ACH-000304,-0.43930236349299995
ACH-000307,0.0309483746804
ACH-000308,-0.205467687317
ACH-000310,-0.0795357269371
ACH-000311,0.12412386602600001
ACH-000312,-0.0376088094603
ACH-000315,-0.19092134054499998
ACH-000316,0.11569681604599999
ACH-000317,0.025930462686400004
ACH-000318,-0.34227452288500004
ACH-000319,-0.150530586704
ACH-000320,0.0156283588515
ACH-000322,-0.0484846178113
ACH-000323,-0.28465699349199997
ACH-000324,-0.10560073630899999
ACH-000329,-0.08151130619010001
ACH-000330,-0.274728111345
ACH-000331,0.10397229909399999
ACH-000332,-0.16479813499600002
ACH-000334,-0.42883116427199997
ACH-000335,-0.134197544029
ACH-000336,-0.204506020861
ACH-000337,-0.40990632098700003
ACH-000339,-0.207106471712
ACH-000341,-0.262294608328
ACH-000348,0.047097141553300005
ACH-000350,-0.280449989271
ACH-000352,-0.157704292923
ACH-000356,-0.0100541504277
ACH-000361,-0.20132045053599998
ACH-000362,-0.09709652563380002
ACH-000363,-0.14555721117599998
