,WNK1 (65125)
ACH-000004,-1.6356194259299999
ACH-000007,-1.2849872632100001
ACH-000009,-1.3965644405700002
ACH-000011,-1.49459167458
ACH-000012,-0.765778349065
ACH-000013,-0.8145416416660001
ACH-000014,-1.24208872817
ACH-000015,-0.934627629936
ACH-000017,-0.811927168697
ACH-000018,-1.1599371431799999
ACH-000019,-1.1001652910600002
ACH-000021,-0.827486114392
ACH-000022,-1.1494547953899998
ACH-000025,-0.49707824375299997
ACH-000028,-0.8178257902580001
ACH-000030,-1.21585099661
ACH-000035,-1.09610944491
ACH-000036,-1.09745934385
ACH-000037,-0.547900656195
ACH-000039,-0.912546493931
ACH-000040,-0.7594708014910001
ACH-000041,-0.73733097941
ACH-000042,-1.35659514139
ACH-000045,-1.5029155828799998
ACH-000047,-1.4915041938999998
ACH-000052,-0.708874464077
ACH-000053,-1.45802324088
ACH-000054,-0.9447574977750001
ACH-000055,-0.8189558922619999
ACH-000060,-1.40924732998
ACH-000067,-1.2727159599299998
ACH-000070,-1.4507078841799999
ACH-000075,-0.380341569727
ACH-000078,-0.861739165352
ACH-000082,-1.0840990795899998
ACH-000085,-1.55303351212
ACH-000086,-0.7872672471600001
ACH-000087,-0.85446822641
ACH-000092,-0.7474994399770001
ACH-000095,-0.9497284456820001
ACH-000097,-1.27345590176
ACH-000098,-1.08080768629
ACH-000099,-0.843678166013
ACH-000108,-1.34807728748
ACH-000113,-1.36273539444
ACH-000115,-0.724885740148
ACH-000116,-1.21643010488
ACH-000118,-1.2326911734000001
ACH-000120,-0.712703418152
ACH-000123,-0.634302530647
ACH-000127,-1.33000896277
ACH-000128,-1.01369775375
ACH-000132,-0.929007766715
ACH-000133,-0.8430710307989999
ACH-000137,-0.968374267798
ACH-000138,-1.5179178716100001
ACH-000142,-0.954815721275
ACH-000143,-0.866854934236
ACH-000146,-1.85795594056
ACH-000148,-0.9572195009990001
ACH-000150,-0.969814807737
ACH-000152,-0.8115534162420001
ACH-000153,-1.01023565905
ACH-000159,-1.5934347066299999
ACH-000160,-1.1412827339899998
ACH-000163,-1.33866294765
ACH-000167,-1.2406210983600001
ACH-000168,-1.54120433319
ACH-000169,-0.812069310474
ACH-000178,-1.37430422843
ACH-000182,-1.46828542008
ACH-000183,-1.31164960382
ACH-000188,-1.42441963178
ACH-000189,-1.2782656200700002
ACH-000190,-0.940027242139
ACH-000198,-1.45098288773
ACH-000204,-1.35260789741
ACH-000206,-1.47154844413
ACH-000207,-1.66849113373
ACH-000211,-1.31154305488
ACH-000215,-1.5349879247799998
ACH-000221,-0.598479917349
ACH-000222,-1.04192577253
ACH-000223,-0.997560283938
ACH-000226,-1.33478627696
ACH-000227,-0.590188264758
ACH-000228,-1.1413051699099999
ACH-000231,-0.44808831597800003
ACH-000232,-1.4157710081600001
ACH-000233,-1.76076347355
ACH-000234,-1.5595134719
ACH-000235,-1.3859645126299998
ACH-000237,-1.10178734293
ACH-000238,-1.5289813705200002
ACH-000243,-0.954718007226
ACH-000244,-0.8741005704870001
ACH-000246,-1.2599272140200002
ACH-000248,-0.7445898020730001
ACH-000250,-1.33931587252
ACH-000251,-1.58091881224
ACH-000253,-1.45325831846
ACH-000255,-0.841910975036
ACH-000256,-1.13166793095
ACH-000257,-0.511661443344
ACH-000258,-0.5340147246329999
ACH-000259,-0.5528828281970001
ACH-000260,-1.02247763011
ACH-000261,-0.9751736833490001
ACH-000262,-1.19694411091
ACH-000263,-1.29761431544
ACH-000264,-1.3831384198299999
ACH-000265,-0.90262829305
ACH-000266,-0.975313588478
ACH-000272,-1.0475747344
ACH-000273,-1.32565705268
ACH-000274,-1.0183928327200003
ACH-000277,-1.5557435047
ACH-000278,-0.7669201763429999
ACH-000279,-0.566944958696
ACH-000280,-0.7219330669130001
ACH-000281,-1.32609120713
ACH-000288,-0.970020451056
ACH-000291,-1.21771503303
ACH-000293,-0.639877598452
ACH-000294,-1.63848259244
ACH-000295,-1.5356614260299999
ACH-000296,-0.6862901444
