,BET1 (10282)
ACH-000004,-0.81907473068
ACH-000007,-0.506600531919
ACH-000009,-0.444856202291
ACH-000011,-0.340638561367
ACH-000012,-0.464983554377
ACH-000013,-0.612660961881
ACH-000014,-0.337526740842
ACH-000015,-0.307073303363
ACH-000017,-0.15222649340299998
ACH-000018,-0.54766588019
ACH-000019,-0.611281839362
ACH-000021,-0.7174669701440001
ACH-000022,-0.316034348869
ACH-000025,-0.46057305620300004
ACH-000028,-0.23923032945300002
ACH-000030,-0.281171532193
ACH-000035,-0.6769352206829999
ACH-000036,-0.387672752063
ACH-000037,-0.264671786137
ACH-000039,-0.362912372723
ACH-000040,-0.29539685275
ACH-000041,-0.361278815783
ACH-000042,-0.350125921184
ACH-000045,-0.547629778665
ACH-000047,-0.523888242896
ACH-000052,-0.600622917012
ACH-000053,-0.498353759014
ACH-000054,-0.545835474795
ACH-000055,-0.708749339549
ACH-000060,-0.40370883840899996
ACH-000067,-0.321771485843
ACH-000070,-0.43889885637599996
ACH-000075,-0.46851619174900005
ACH-000078,-0.236306184345
ACH-000082,-0.773959064571
ACH-000085,-0.724193054631
ACH-000086,-0.341101664856
ACH-000087,-0.536160822526
ACH-000092,-0.5670413792660001
ACH-000095,-0.656918066396
ACH-000097,-0.604786274215
ACH-000098,-0.424860706897
ACH-000099,-0.453339812369
ACH-000108,-0.7845614234720001
ACH-000113,-0.376694964727
ACH-000115,-0.514848282391
ACH-000116,-0.5079055713189999
ACH-000118,-0.5475136648300001
ACH-000120,-0.497705638846
ACH-000123,-0.42569984249399995
ACH-000127,-0.5522227147
ACH-000128,-0.536916451904
ACH-000132,-0.8358109191099999
ACH-000133,-0.427443562087
ACH-000137,-0.588756443737
ACH-000138,-0.370404337652
ACH-000142,-0.16613214224
ACH-000143,-0.6341293220750001
ACH-000146,-0.579339902441
ACH-000148,-0.437653013912
ACH-000150,-0.239639054472
ACH-000152,-0.690384102181
ACH-000153,-0.801072043413
ACH-000159,-0.464433680707
ACH-000160,-0.581995031411
ACH-000163,-0.446352093498
ACH-000167,-0.66986062744
ACH-000168,-0.336040451387
ACH-000169,-0.33942391705799996
ACH-000178,-0.334438521474
ACH-000182,-0.461900387486
ACH-000183,-0.295594585152
ACH-000188,-0.27966494325
ACH-000189,-0.676342102256
ACH-000190,-0.269413305584
ACH-000198,-0.439284018689
ACH-000204,-0.394024598989
ACH-000206,-0.486134525031
ACH-000207,-0.44908766533600003
ACH-000211,-0.4730800225
ACH-000215,-0.05596627028369999
ACH-000221,-0.528714919482
ACH-000222,-0.173087116644
ACH-000223,-0.678100091092
ACH-000226,-0.503547046787
ACH-000227,-0.535448710604
ACH-000228,-0.542308317342
ACH-000231,-0.461693117522
ACH-000232,-0.317938299852
ACH-000233,-0.597257076543
ACH-000234,-0.46686378993600003
