,RREB1 (6239)
ACH-000004,-0.616616589797
ACH-000007,-0.585871267472
ACH-000009,-0.203109216294
ACH-000011,-0.375297732526
ACH-000012,-0.117131551231
ACH-000013,-0.441154094724
ACH-000014,-0.012408754115500001
ACH-000015,-0.120052877719
ACH-000017,-0.6121842881
ACH-000018,-0.377182561179
ACH-000019,-0.201001393675
ACH-000021,-0.192427286843
ACH-000022,-0.149058175158
ACH-000025,-0.24402632020999998
ACH-000028,-0.372542717188
ACH-000030,-0.23640806264400002
ACH-000035,-0.377838231008
ACH-000036,-0.280098099353
ACH-000037,-0.25732478306999995
ACH-000039,-0.498583259693
ACH-000040,-0.23570207036200003
ACH-000041,-0.36453217793700005
ACH-000042,-0.18407724051600002
ACH-000045,-0.160562245424
ACH-000047,-0.21813851143100002
ACH-000052,-0.313220438948
ACH-000053,-0.252319927045
ACH-000054,-0.273180412843
ACH-000055,-0.0030432096078200003
ACH-000060,-0.231593387692
ACH-000067,-0.19778170115
ACH-000070,-0.5523668415380001
ACH-000075,-0.443535143812
ACH-000078,-0.32419572124
ACH-000082,-0.450930826228
ACH-000085,-0.540592922113
ACH-000086,-0.24835473240699998
ACH-000087,-0.444821408791
ACH-000092,-0.428442618698
ACH-000095,-0.829817902615
ACH-000097,-0.400846107877
ACH-000098,-0.318397910595
ACH-000099,-0.28571127594
ACH-000108,0.0766532078251
ACH-000113,-0.43681593378300004
ACH-000115,-0.08317064802089999
ACH-000116,-0.684079617197
ACH-000118,-0.331860334504
ACH-000120,-0.0017805030727
ACH-000123,-0.18813717742
ACH-000127,-0.315359652137
ACH-000128,-0.562570229721
ACH-000132,-0.43870772446999995
ACH-000133,-0.26054902205499997
ACH-000137,-0.42027873970799995
ACH-000138,-0.47676477383
ACH-000142,-0.491483015343
ACH-000143,-0.464770802175
ACH-000146,-0.507221454279
ACH-000148,-0.24554386393199998
ACH-000150,-0.127477832046
ACH-000152,-0.229876602209
ACH-000153,-0.138426027279
ACH-000159,-0.37014126776999995
ACH-000160,-0.348841467558
ACH-000163,-0.0884525745778
ACH-000167,-0.233164457544
ACH-000168,-0.36350871590800005
ACH-000169,-0.240279450942
ACH-000178,-0.49306468867
ACH-000182,-0.344975804779
ACH-000183,-0.232058728758
ACH-000188,-0.476335489043
ACH-000189,0.0595364730684
ACH-000190,-0.389707374569
ACH-000198,0.08434514391060001
ACH-000204,0.210312186815
ACH-000206,-0.137535284576
ACH-000207,-0.36486718679799995
ACH-000211,-0.351785445098
ACH-000215,-0.351195512873
ACH-000221,-0.22010128792199998
ACH-000222,-0.39401796111500004
ACH-000223,-0.585121626047
ACH-000226,-0.323835955445
ACH-000227,-0.481339277684
ACH-000228,-0.38434276957400004
ACH-000231,-0.24378469259899999
ACH-000232,-0.215578175466
ACH-000233,-0.0599637468523
ACH-000234,-0.329898816488
ACH-000235,-0.372351113143
ACH-000237,-0.653658184507
ACH-000238,-0.346146479545
ACH-000243,-0.301742989481
ACH-000244,-0.395592624272
ACH-000246,-0.24857327290800002
ACH-000248,-0.34383405321000005
ACH-000250,-0.24622894773499998
ACH-000251,-0.0548277183506
ACH-000253,-0.6741835989830001
ACH-000255,-0.201685290373
ACH-000256,-0.489354786268
ACH-000257,-0.486612988172
ACH-000258,-0.09516940457699999
ACH-000259,-0.20149268320799998
ACH-000260,-0.10017068791400001
ACH-000261,-0.28375350221900003
ACH-000262,-0.127174225478
ACH-000263,-0.865397138064
ACH-000264,-0.103162835953
ACH-000265,-0.11666638692800001
ACH-000266,-0.19516541684799998
ACH-000272,-0.450673579762
ACH-000273,-0.411585833279
