,WISP2 (8839)
ACH-000004,-0.23082870855
ACH-000007,-0.206505470488
ACH-000009,-0.0734065023462
ACH-000011,-0.0417192621734
ACH-000012,-0.008333108383459999
ACH-000013,0.12900241705
ACH-000014,0.0242775092713
ACH-000015,-0.135278240981
ACH-000017,-0.08671814427539999
ACH-000018,-0.14678393653
ACH-000019,0.0644492561307
ACH-000021,0.0207111809235
ACH-000022,-0.09225156902899999
ACH-000025,-0.07970119385510001
ACH-000028,0.0565114808576
ACH-000030,-0.19511899405000002
ACH-000035,-0.0899516329921
ACH-000036,-0.18276939498
ACH-000037,-0.08461972028889998
ACH-000039,-0.00676246918496
ACH-000040,-0.0866035123332
ACH-000041,0.0745760302861
ACH-000042,0.012159250109600001
ACH-000045,0.019091998925400002
ACH-000047,-0.146600722309
ACH-000052,0.151982423437
ACH-000053,-0.053069527309400004
ACH-000054,-0.0205514921215
ACH-000055,-0.177052220133
ACH-000060,-0.13393043501
ACH-000067,-0.08519700006269999
ACH-000070,-0.04575832814399999
ACH-000075,-0.322315977737
ACH-000078,-0.0500136106998
ACH-000082,0.0557868829253
ACH-000085,0.0084795901966
ACH-000086,-0.05318582678040001
ACH-000087,-0.204563511886
ACH-000092,0.036022037412
ACH-000095,-0.0599386551364
ACH-000097,-0.162549497641
ACH-000098,0.11238360834899999
ACH-000099,-0.056452504518800004
ACH-000108,-0.048449665974
ACH-000113,0.051974214618199996
ACH-000115,0.0725765115445
ACH-000116,-0.206782513954
ACH-000118,-0.069368475675
ACH-000120,0.0285080990868
ACH-000123,-0.0866233898342
ACH-000127,-0.136373882577
ACH-000128,-0.152127703783
ACH-000132,0.0716871694258
ACH-000133,-0.304172988366
ACH-000137,-0.0523514512726
ACH-000138,-0.10242926976299999
ACH-000142,0.06577987592489999
ACH-000143,-0.0965333261802
ACH-000146,0.0282645765587
ACH-000148,-0.171087625698
ACH-000150,-0.10438421766599999
ACH-000152,-0.21954377369699998
ACH-000153,-0.0849530905368
ACH-000159,0.006763154472939999
ACH-000160,0.0687287282177
ACH-000163,-0.142715440196
ACH-000167,-0.183245575982
ACH-000168,-0.0668124325057
ACH-000169,-0.09611627985099999
ACH-000178,-0.0894979570145
ACH-000182,-0.114152995013
ACH-000183,-0.0943505508435
ACH-000188,0.00354136659091
ACH-000189,0.10359326381000002
ACH-000190,0.0123773104788
ACH-000198,0.0631155169718
ACH-000204,-0.14686246896500002
ACH-000206,-0.214854518468
ACH-000207,-0.11800719560900001
ACH-000211,-0.244102482544
ACH-000215,-0.026883427026100002
ACH-000221,0.0613092062208
ACH-000222,0.177245619877
ACH-000223,-0.195353079258
ACH-000226,-0.0951489952266
ACH-000227,0.184876322568
ACH-000228,-0.129576869515
ACH-000231,-0.211217936848
ACH-000232,0.00563060004219
ACH-000233,-0.193644669923
