,SAMM50 (25813)
ACH-000004,-0.647189270081
ACH-000007,-0.309997218011
ACH-000009,-0.524032500684
ACH-000011,-0.57228109718
ACH-000012,-0.638496793895
ACH-000013,-0.824103369945
ACH-000014,-0.599582802271
ACH-000015,-0.63813430246
ACH-000017,-0.504606637972
ACH-000018,-0.514858140302
ACH-000019,-0.362436144344
ACH-000021,-0.384137368157
ACH-000022,-0.7325044365360001
ACH-000025,-0.7569988668009999
ACH-000028,-0.414296504698
ACH-000030,-0.6882407061589999
ACH-000035,-0.65985407698
ACH-000036,-0.542875264913
ACH-000037,-0.545556590518
ACH-000039,-0.7203232395550001
ACH-000040,-0.488680523353
ACH-000041,-0.5916787637950001
ACH-000042,-0.930813562919
ACH-000045,-0.506580296442
ACH-000047,-0.503447557498
ACH-000052,-0.5740469997659999
ACH-000053,-0.500372989174
ACH-000054,-0.6578777994380001
ACH-000055,-0.5661968515219999
ACH-000060,-0.579416836052
ACH-000067,-0.24316385018599998
ACH-000070,-0.487842551096
ACH-000075,-0.405750383984
ACH-000078,-0.324441494798
ACH-000082,-0.17490066190099998
ACH-000085,-0.6710023466889999
ACH-000086,-0.5464523230089999
ACH-000087,-0.6329082332829999
ACH-000092,-0.500896605295
ACH-000095,-0.42671427839299997
ACH-000097,-0.47158228356299997
ACH-000098,-0.7502578846250001
ACH-000099,-0.294687794343
ACH-000108,-0.471411389587
ACH-000113,-0.479224461415
ACH-000115,-0.733273507672
ACH-000116,-0.7759037298710001
ACH-000118,-0.617997552781
ACH-000120,-0.502609758327
ACH-000123,-0.533243023544
ACH-000127,-0.250672302719
ACH-000128,-0.546834257978
ACH-000132,-0.28498812778
ACH-000133,-0.583451297136
ACH-000137,-0.637608599221
ACH-000138,-0.47770872066299996
ACH-000142,-0.628634646127
ACH-000143,-0.557637114367
ACH-000146,-0.617905129543
ACH-000148,-0.406435316364
ACH-000150,-0.883256732772
ACH-000152,-0.595177141936
ACH-000153,-0.513819305106
ACH-000159,-0.372218689694
ACH-000160,-0.558227154231
ACH-000163,-0.508797451318
ACH-000167,-0.6066746996
ACH-000168,-0.525330218588
ACH-000169,-0.602822852988
ACH-000178,-0.438091438055
ACH-000182,-0.522601452348
ACH-000183,-0.29703574456
ACH-000188,-0.57499497257
ACH-000189,-0.44042241246299996
ACH-000190,-0.708399361548
ACH-000198,-0.390785156786
ACH-000204,-0.349535129838
ACH-000206,-0.407647354295
ACH-000207,-0.389388921014
ACH-000211,-0.5663037856750001
ACH-000215,-0.35768209729
ACH-000221,-0.7118591797050001
ACH-000222,-0.491520331124
ACH-000223,-0.356632803399
ACH-000226,-0.819081230352
ACH-000227,-0.327808228891
ACH-000228,-0.623599295084
ACH-000231,-0.848444503969
ACH-000232,-0.609121388764
ACH-000233,-0.43422666633199997
ACH-000234,-0.396717816054
ACH-000235,-0.34858752958000006
ACH-000237,-0.508709640531
ACH-000238,-0.384694668604
ACH-000243,-0.7071357892669999
ACH-000244,-0.552846328711
ACH-000246,-0.436305683354
ACH-000248,-0.557624657699
ACH-000250,-0.656014513115
ACH-000251,-0.612669739592
ACH-000253,-0.5264779792059999
ACH-000255,-0.558438099793
ACH-000256,-0.48350670257600004
ACH-000257,-0.583812049766
ACH-000258,-0.911042048255
ACH-000259,-0.30972218325999995
ACH-000260,-0.752003895335
ACH-000261,-0.380802405866
ACH-000262,-0.418479382113
ACH-000263,-0.637305229617
ACH-000264,-0.240386566926
ACH-000265,-0.580407228537
ACH-000266,-0.30866753428300003
ACH-000272,-0.813149734808
ACH-000273,-0.533786178665
ACH-000274,-0.700147989554
ACH-000277,-0.485519075217
ACH-000278,-0.503806728242
ACH-000279,-0.28330500911400003
ACH-000280,-0.7154646548100001
ACH-000281,-0.578801359993
ACH-000288,-0.48407400003
ACH-000291,-0.703681209946
ACH-000293,-0.739588746379
ACH-000294,-0.40512355325599997
ACH-000295,-0.413322142759
ACH-000296,-0.789637727786
ACH-000302,-0.642905865554
ACH-000304,-0.8722499327299998
ACH-000307,-0.45388988633599997
ACH-000308,-0.252585835122
ACH-000310,-0.233390796439
ACH-000311,-0.626056300976
ACH-000312,-0.34693404672899997
ACH-000315,-0.24100951143100002
ACH-000316,-0.540147887566
ACH-000317,-0.741414406033
ACH-000318,-0.8091440737540001
ACH-000319,-0.524703231712
ACH-000320,-0.7885960589509999
ACH-000322,-0.391151742977
