,MED13L (23389)
ACH-000004,-0.43049779557400003
ACH-000007,0.017178014707100002
ACH-000009,-0.192454818466
ACH-000011,-0.136003851871
ACH-000012,-0.0548575512309
ACH-000013,-0.140527896737
ACH-000014,0.07420921828360001
ACH-000015,-0.15493670974
ACH-000017,0.196244342123
ACH-000018,-0.15943578893
ACH-000019,-0.271929361722
ACH-000021,-0.171981498407
ACH-000022,-0.0959794608649
ACH-000025,-0.529741258911
ACH-000028,-0.100473727909
ACH-000030,0.0248673926296
ACH-000035,-0.22367210631200002
ACH-000036,0.09802992453430001
ACH-000037,-0.0872988179216
ACH-000039,0.08790210194329999
ACH-000040,-0.361034781031
ACH-000041,-0.466142535669
ACH-000042,-0.258498157357
ACH-000045,-0.69497121015
ACH-000047,-0.0906404659675
ACH-000052,0.18164568998
ACH-000053,-0.153725882943
ACH-000054,-0.0147446839007
ACH-000055,-0.40096297501199996
ACH-000060,0.140619703825
ACH-000067,-0.196031420007
ACH-000070,-0.37063302127400005
ACH-000075,0.07186327586510001
ACH-000078,-0.234922530911
ACH-000082,-0.520679758667
ACH-000085,-0.143865877248
ACH-000086,-0.150508543318
ACH-000087,-0.519862420868
ACH-000092,-0.0567441566138
ACH-000095,-0.18182855297400002
ACH-000097,-0.160374332039
ACH-000098,-0.154567759906
ACH-000099,-0.0993235073909
ACH-000108,0.104230451168
ACH-000113,-0.774538239509
ACH-000115,-0.787943871831
ACH-000116,0.034006265758599996
ACH-000118,-0.191405541381
ACH-000120,-0.347760445869
ACH-000123,-0.104191425357
ACH-000127,-0.016098271012899998
ACH-000128,-0.386053074783
ACH-000132,-0.103797910603
ACH-000133,-0.0708730895939
ACH-000137,0.00266905847716
ACH-000138,0.0171209428536
ACH-000142,-0.159094533489
ACH-000143,-0.0463421435162
ACH-000146,-0.138587969025
ACH-000148,-0.288209313091
ACH-000150,0.11756896885
ACH-000152,0.0359604122114
ACH-000153,-0.556930838072
ACH-000159,-0.0835667343902
ACH-000160,0.512907007838
ACH-000163,-0.749703010385
ACH-000167,1.2002314386700002
ACH-000168,-0.579314444087
ACH-000169,-0.42337947038900003
ACH-000178,-0.08195739630189999
ACH-000182,-0.08440245355530002
ACH-000183,-0.670120157657
ACH-000188,-0.316929996075
ACH-000189,0.17146009389400002
ACH-000190,0.5490875583529999
ACH-000198,-0.566432998422
ACH-000204,-0.412410528479
ACH-000206,-0.0252485068836
ACH-000207,-0.336067076232
ACH-000211,-0.017719662121200002
ACH-000215,-0.152960168356
ACH-000221,-0.0591262833087
ACH-000222,-0.297978895477
ACH-000223,-0.179867649725
ACH-000226,-0.0113741217204
ACH-000227,-0.318448327937
ACH-000228,-0.265439697273
ACH-000231,0.0106546841904
ACH-000232,-0.34712847160599997
ACH-000233,0.0426727957967
ACH-000234,-0.0014937616886600003
ACH-000235,-0.281711396735
ACH-000237,0.0859196845544
ACH-000238,-0.132729961842
ACH-000243,-0.159117909646
ACH-000244,0.0967495518415
ACH-000246,0.0865899575156
ACH-000248,-0.111159520374
ACH-000250,-0.056082387299199996
ACH-000251,-0.057836326805
ACH-000253,-0.10181415411
ACH-000255,-0.08507812605319999
ACH-000256,-0.0191362177254
ACH-000257,0.11819786990900001
ACH-000258,-0.0854420784288
ACH-000259,-0.200357246972
ACH-000260,-0.144326190281
ACH-000261,-0.291953967128
ACH-000262,-0.0661874055914
ACH-000263,-0.24997230191599998
ACH-000264,-0.228461976831
ACH-000265,-0.0989303845916
ACH-000266,-0.163267118156
ACH-000272,-0.165793608374
ACH-000273,-0.111732540558
ACH-000274,-0.07029927468410001
ACH-000277,-0.046084888740999995
ACH-000278,-0.0880109264961
ACH-000279,-0.19925290519400002
ACH-000280,-0.169476900381
ACH-000281,-0.370662355296
ACH-000288,0.361645581266
ACH-000291,-0.0524305934076
ACH-000293,-0.026756646074999998
ACH-000294,-0.436174536292
ACH-000295,-0.14774526794600001
ACH-000296,-0.156731533658
