,CCNB1IP1 (57820)
ACH-000004,-0.06660181284939999
ACH-000007,-0.305774059245
ACH-000009,-0.369184728797
ACH-000011,-0.041674164330099996
ACH-000012,-0.374696398398
ACH-000013,-0.255542330579
ACH-000014,-0.575211814303
ACH-000015,-0.281924105687
ACH-000017,-0.250747326326
ACH-000018,-0.20748996696199998
ACH-000019,-0.47640418001
ACH-000021,-0.13939539247000002
ACH-000022,-0.216231197195
ACH-000025,-0.36863881854599995
ACH-000028,-0.391781970265
ACH-000030,-0.392831586251
ACH-000035,-0.270337077416
ACH-000036,-0.492203893359
ACH-000037,-0.044000822965400005
ACH-000039,-0.36844945816200003
ACH-000040,-0.410082588032
ACH-000041,-0.290440937769
ACH-000042,-0.10428747377900001
ACH-000045,-0.279439398126
ACH-000047,-0.225816968151
ACH-000052,-0.559230776071
ACH-000053,-0.23836951367800002
ACH-000054,-0.359882990023
ACH-000055,-0.269658321796
ACH-000060,-0.29555345394
ACH-000067,-0.429439788253
ACH-000070,-0.384064143914
ACH-000075,-0.233290429009
ACH-000078,-0.398435493709
ACH-000082,-0.358335088856
ACH-000085,-0.35390217544299996
ACH-000086,-0.47183766547399997
ACH-000087,0.002954222357
ACH-000092,-0.22689541415199999
ACH-000095,-0.257819872995
ACH-000097,-0.23510185562600003
ACH-000098,-0.314558921862
ACH-000099,-0.35417600113000003
ACH-000108,-0.181476804616
ACH-000113,-0.193447543026
ACH-000115,-0.17023625163400002
ACH-000116,-0.164976525859
ACH-000118,-0.227654303186
ACH-000120,-0.110405374564
ACH-000123,-0.442681530062
ACH-000127,-0.305511995409
ACH-000128,-0.0375610383282
ACH-000132,-0.271875908582
ACH-000133,-0.289360504483
ACH-000137,-0.24520729829799998
ACH-000138,-0.0858876258551
ACH-000142,-0.35915881369999997
ACH-000143,-0.30887191882599996
ACH-000146,-0.11717081436599999
ACH-000148,-0.153329369702
ACH-000150,-0.34912787048199995
ACH-000152,-0.41635990551700003
ACH-000153,-0.469938250938
ACH-000159,-0.39982834610299994
ACH-000160,-0.546362258909
ACH-000163,-0.223939841201
ACH-000167,-0.0659572920918
ACH-000168,-0.28716537902899997
ACH-000169,-0.18919883880600002
ACH-000178,-0.318034247251
ACH-000182,-0.0872150615928
ACH-000183,-0.16208649136199998
ACH-000188,-0.0933321027434
ACH-000189,-0.381254983
ACH-000190,-0.288093459825
ACH-000198,-0.300116848842
ACH-000204,-0.020012087404
ACH-000206,-0.253085380902
ACH-000207,-0.36552962318000004
ACH-000211,-0.197588981395
ACH-000215,-0.17333895422200002
ACH-000221,-0.286058784529
ACH-000222,-0.14372903762
ACH-000223,-0.267482879714
ACH-000226,-0.480388836768
ACH-000227,-0.140133729392
ACH-000228,-0.46663790023199997
ACH-000231,-0.40337009624799997
ACH-000232,-0.463925332056
ACH-000233,-0.147198889498
ACH-000234,-0.050859720754000005
ACH-000235,-0.143634663837
ACH-000237,-0.146052975559
ACH-000238,-0.41225725540299996
ACH-000243,-0.210868727216
ACH-000244,-0.29532350607200003
ACH-000246,-0.30232823587900004
ACH-000248,-0.35717864645499997
ACH-000250,-0.270179213264
ACH-000251,-0.24309774469700002
ACH-000253,-0.169317806366
ACH-000255,-0.203089882271
ACH-000256,-0.214206231416
ACH-000257,-0.35049698596
ACH-000258,-0.018602952058900002
ACH-000259,-0.21221570294
ACH-000260,-0.19778176228500002
ACH-000261,-0.19597044034000002
ACH-000262,-0.411255219394
ACH-000263,-0.315765480318
ACH-000264,-0.260758444574
ACH-000265,-0.07637949139889999
ACH-000266,-0.178683161846
ACH-000272,-0.47523577353
ACH-000273,-0.168670917496
ACH-000274,-0.24489339574000002
ACH-000277,-0.318900390628
ACH-000278,-0.286605373393
ACH-000279,-0.35061715309600006
ACH-000280,-0.38183866483
ACH-000281,-0.11171400649700002
ACH-000288,-0.28446245622099997
ACH-000291,-0.37366263193899996
ACH-000293,-0.252231475631
ACH-000294,-0.15294434078500002
ACH-000295,-0.00263477600199
ACH-000296,-0.382222419397
ACH-000302,-0.241662398809
ACH-000304,-0.202835281612
ACH-000307,-0.23223721110399997
ACH-000308,-0.17534971515099998
ACH-000310,-0.319548031388
ACH-000311,-0.195903391631
ACH-000312,0.0384345465814
ACH-000315,-0.208123516588
ACH-000316,-0.060000295892000004
ACH-000317,-0.382569201593
ACH-000318,-0.38102686401999997
ACH-000319,-0.112602014014
ACH-000320,0.0667179751131
ACH-000322,-0.535430057033
ACH-000323,-0.309686669803
ACH-000324,-0.28616181403200003
ACH-000329,-0.303602016053
ACH-000330,-0.362333272392
ACH-000331,-0.14488614777699999
ACH-000332,-0.11969266109200001
ACH-000334,-0.426658774455
ACH-000335,0.0842347232933
ACH-000336,-0.13781586717299998
ACH-000337,-0.30453872343000005
ACH-000339,-0.28557774645100004
ACH-000341,-0.414912828893
ACH-000348,-0.246920705907
ACH-000350,-0.0066271569575
ACH-000352,-0.41065595283
ACH-000356,-0.197937019653
ACH-000361,-0.58351185877
ACH-000362,-0.2980829782
ACH-000363,-0.305790320281
ACH-000364,-0.399555372099
ACH-000365,-0.335329351602
ACH-000366,-0.154695764349
ACH-000368,-0.38717408225199995
ACH-000374,-0.324273423246
ACH-000375,-0.329010999698
ACH-000376,-0.306678101923
ACH-000381,-0.4517226975
ACH-000383,-0.24660205537799998
ACH-000387,-0.421695446664
ACH-000389,-0.310319446133
ACH-000390,-0.5086788468060001
ACH-000393,-0.356649876294
ACH-000395,-0.22321023128800002
ACH-000397,-0.274510953675
ACH-000401,-0.214996999419
ACH-000402,-0.0387281983456
ACH-000403,-0.289402519063
ACH-000404,-0.12791311119999998
ACH-000406,-0.313201076468
ACH-000407,-0.290402066222
ACH-000408,-0.365952930084
ACH-000410,-0.256779694321
ACH-000411,-0.401945423675
ACH-000414,-0.058227343413500006
ACH-000415,-0.18934940426199998
ACH-000416,-0.21549999585700003
ACH-000420,-0.369975416383
ACH-000421,-0.250465854088
ACH-000424,-0.5312765728719999
ACH-000425,-0.372770781744
ACH-000426,-0.17561998179299998
ACH-000427,-0.246203542031
ACH-000433,-0.654299700664
ACH-000436,-0.204313611266
ACH-000444,0.08739772361630001
ACH-000445,-0.33007540934
ACH-000448,-0.40153055145800004
ACH-000450,-0.386991610373
ACH-000452,-0.0400128304305
ACH-000454,-0.137804745455
ACH-000458,-0.332603088391
ACH-000459,-0.6553640236680001
ACH-000460,-0.198793609046
ACH-000461,-0.233365195223
ACH-000463,-0.278882572692
ACH-000464,-0.308446268005
ACH-000466,-0.335713140106
ACH-000467,-0.283224273779
ACH-000468,-0.069428764002
ACH-000469,-0.32325435256499996
ACH-000470,0.136803283955
ACH-000471,-0.30715843254999997
ACH-000472,-0.23308658475900002
ACH-000473,-0.160034277059
ACH-000475,-0.26721408135499997
ACH-000476,-0.17208871510499998
ACH-000477,-0.31795113228300004
ACH-000480,-0.303803244973
ACH-000481,-0.46373392714100004
ACH-000483,-0.40000619391900005
ACH-000484,-0.180554918295
ACH-000485,-0.30849014164599997
ACH-000486,-0.534898481862
ACH-000487,-0.132927664203
ACH-000488,-0.21442134557999998
ACH-000490,-0.19745145970800002
ACH-000491,-0.275019131978
ACH-000495,-0.5689975469240001
ACH-000496,-0.120997135756
ACH-000499,-0.39952983281
ACH-000500,-0.17548865504900002
ACH-000502,-0.229655717335
ACH-000503,-0.0438580191415
ACH-000505,-0.229466474487
ACH-000507,-0.34385937857500004
ACH-000510,-0.274021064988
ACH-000511,-0.316388765572
ACH-000512,-0.43864068191699995
ACH-000516,-0.438598736615
ACH-000517,-0.210323494538
ACH-000518,-0.37781500036700005
ACH-000520,-0.46342914661000006
ACH-000521,-0.0510323470811
ACH-000522,-0.148804869411
ACH-000524,-0.20563391188900002
ACH-000527,-0.21633018964899997
ACH-000528,-0.172527325089
ACH-000537,-0.0792034223675
ACH-000541,0.108622721906
ACH-000542,-0.294127095079
ACH-000544,-0.452013842622
ACH-000545,-0.289014892729
ACH-000547,-0.19365478651299997
ACH-000548,-0.328235778867
ACH-000549,-0.342869516699
ACH-000550,-0.15548962312
ACH-000552,-0.26643660524999996
ACH-000556,-0.28047848623000005
ACH-000557,-0.269088886357
ACH-000570,-0.37918266705700004
ACH-000571,-0.544040621897
ACH-000573,-0.286250579656
ACH-000576,-0.14629051635
ACH-000580,-0.0810798974992
ACH-000584,-0.146347069995
ACH-000585,-0.260316067447
ACH-000588,-0.1954628745
ACH-000589,-0.169518711767
ACH-000591,-0.385280954854
ACH-000593,-0.11380865101
ACH-000600,-0.36703038010300004
ACH-000601,-0.227688488719
ACH-000604,0.113731573675
ACH-000605,-0.09244365965639999
ACH-000606,-0.26202710722600003
ACH-000608,-0.295844447224
ACH-000614,-0.298083657655
ACH-000616,-0.28432660192
ACH-000618,-0.140129699784
