,E4F1 (1877)
ACH-000004,-0.41480121706900003
ACH-000007,-0.763682391887
ACH-000009,-0.5963841694950001
ACH-000011,-0.40756304814499994
ACH-000012,-0.6837820179690001
ACH-000013,-0.523291336335
ACH-000014,-0.687949860382
ACH-000015,-0.774342977452
ACH-000017,-0.5982577610109999
ACH-000018,-0.9535491734379999
ACH-000019,-0.34696715114200005
ACH-000021,-0.749535952061
ACH-000022,-0.891285264474
ACH-000025,-0.842064650044
ACH-000028,-0.7729580808159999
ACH-000030,-0.41668620889700003
ACH-000035,-0.713781578493
ACH-000036,-0.629813118083
ACH-000037,-1.2616390512200002
ACH-000039,-0.936201168818
ACH-000040,-0.47219899084100003
ACH-000041,-0.42591202028700004
ACH-000042,-0.82582947469
ACH-000045,-0.715792704499
ACH-000047,-0.287455510193
ACH-000052,-0.59490457618
ACH-000053,-0.204489451857
ACH-000054,-0.639962973393
ACH-000055,-0.438649531315
ACH-000060,-0.48797699621699997
ACH-000067,-0.656885368208
ACH-000070,-0.361815268608
ACH-000075,-0.771655916859
ACH-000078,-0.7793395061920001
ACH-000082,-0.300148412395
ACH-000085,-0.23564018093699998
ACH-000086,-0.623726634365
ACH-000087,-0.45965551026
ACH-000092,-0.528845927267
ACH-000095,-0.7264771254960001
ACH-000097,-0.394016213271
ACH-000098,-0.7012717241699999
ACH-000099,-0.683226182366
ACH-000108,-0.649426833012
ACH-000113,-0.7254829102879999
ACH-000115,-1.1236185365
ACH-000116,-0.627311105347
ACH-000118,-0.481138116137
ACH-000120,-0.6764735818340001
ACH-000123,-0.999122998478
ACH-000127,-1.0075645976799998
ACH-000128,-0.899793891479
ACH-000132,-0.543782417648
ACH-000133,-0.9049682181290001
ACH-000137,-0.6520009021100001
ACH-000138,-0.688348944846
ACH-000142,-0.9667949133149999
ACH-000143,-0.45588983429200003
ACH-000146,-0.540853213377
ACH-000148,-0.5475188132769999
ACH-000150,-0.9113152129690001
ACH-000152,-0.591615827811
ACH-000153,-0.674116304067
ACH-000159,-0.800252670793
ACH-000160,-0.340295806779
ACH-000163,-0.61373813776
ACH-000167,-0.0997100572534
ACH-000168,-0.6985787157209999
ACH-000169,-0.6857208003120001
ACH-000178,-0.639183675566
ACH-000182,-0.650038680899
ACH-000183,-0.7456177297759999
ACH-000188,-0.678056809745
ACH-000189,-0.6798332719619999
ACH-000190,-0.20934181907699997
ACH-000198,-0.596733766342
ACH-000204,-0.590530412544
ACH-000206,-0.47746482521899997
ACH-000207,-0.335207955404
ACH-000211,-0.545462512935
ACH-000215,-0.605870804331
ACH-000221,-0.675657485892
ACH-000222,-0.439042286647
ACH-000223,-0.262565243113
ACH-000226,-0.586179451388
ACH-000227,-0.473751210694
ACH-000228,-0.35890295660800003
ACH-000231,-0.729870322448
ACH-000232,-0.7619554993340001
ACH-000233,-0.535485013434
ACH-000234,-0.395314072224
ACH-000235,-0.606574679666
ACH-000237,-0.480634974566
ACH-000238,-0.424332810815
ACH-000243,-0.614941692643
ACH-000244,-0.817892440778
ACH-000246,-0.654259502999
ACH-000248,-0.697031055807
ACH-000250,-0.6497003437569999
ACH-000251,-0.856407273083
ACH-000253,-0.800622039493
ACH-000255,-0.6576956832540001
ACH-000256,-0.7112327437549999
ACH-000257,-0.879114250697
ACH-000258,-0.618959212632
ACH-000259,-0.822110222288
ACH-000260,-0.8338517882269999
ACH-000261,-0.507526773416
ACH-000262,-0.833172935447
ACH-000263,-0.6024412328909999
ACH-000264,-0.436765767358
ACH-000265,-0.881564256832
ACH-000266,-0.776359056822
ACH-000272,-0.248532069199
ACH-000273,-0.482955884816
ACH-000274,-0.476406394876
ACH-000277,-0.7527211961
ACH-000278,-0.422672142016
ACH-000279,-0.571875129365
ACH-000280,-0.7177154275830001
ACH-000281,-1.13151563444
ACH-000288,-1.02763857349
ACH-000291,-0.62998362413
ACH-000293,-0.7327424814769999
ACH-000294,-0.551861270825
ACH-000295,-0.6215885610199999
