,HTR3A (3359)
ACH-000004,0.320332734495
ACH-000007,0.12562526643400002
ACH-000009,0.131450624514
ACH-000011,0.290634759812
ACH-000012,0.19643614953699998
ACH-000013,0.08833292873469999
ACH-000014,0.19939145716899997
ACH-000015,0.227698606753
ACH-000017,0.18684061285700002
ACH-000018,0.335310041832
ACH-000019,0.181444236429
ACH-000021,0.329787319552
ACH-000022,0.226289278037
ACH-000025,0.188418872551
ACH-000028,0.190762510865
ACH-000030,0.30124498219
ACH-000035,0.305722808275
ACH-000036,0.209071974228
ACH-000037,0.24671796173
ACH-000039,0.187863045219
ACH-000040,0.0166461746586
ACH-000041,0.0171741653111
ACH-000042,0.259235130255
ACH-000045,0.116953909625
ACH-000047,0.191376886997
ACH-000052,0.194867448409
ACH-000053,0.177448075968
ACH-000054,0.1429005173
ACH-000055,0.290853394508
ACH-000060,0.31478392039700004
ACH-000067,0.392389108347
ACH-000070,0.43232422235299994
ACH-000075,0.225447765535
ACH-000078,0.15582110612400002
ACH-000082,0.290015507514
ACH-000085,0.138623338741
ACH-000086,0.112029582653
ACH-000087,0.309037778744
ACH-000092,0.221336118809
ACH-000095,0.267952777471
ACH-000097,0.20288865641399997
ACH-000098,0.23959439896899998
ACH-000099,0.167735705659
ACH-000108,0.167346755479
ACH-000113,0.248082607731
ACH-000115,0.215837082981
ACH-000116,0.173967770499
ACH-000118,0.16844243295699998
ACH-000120,0.139858051317
ACH-000123,0.232008916692
ACH-000127,0.101947390956
ACH-000128,0.190622634721
ACH-000132,0.195038696669
ACH-000133,0.199446330769
ACH-000137,0.161332872804
ACH-000138,0.342432653775
ACH-000142,0.21461674933400002
ACH-000143,0.310661662835
ACH-000146,0.166941851317
ACH-000148,0.195537911197
ACH-000150,0.368523856009
ACH-000152,0.30478600026999997
ACH-000153,0.12549578585100002
ACH-000159,0.29758411881200003
ACH-000160,0.146793349482
ACH-000163,0.307598134709
ACH-000167,0.077207013546
ACH-000168,0.21759629377300002
ACH-000169,0.21758193501200002
ACH-000178,0.227424663445
