,SPDYC (387778)
ACH-000004,-0.356813621117
ACH-000007,-0.451851221606
ACH-000009,-0.0826385072415
ACH-000011,-0.12104406686
ACH-000012,-0.288421289657
ACH-000013,-0.383794548583
ACH-000014,-0.0064656878134
ACH-000015,-0.25305272143199997
ACH-000017,-0.404615995395
ACH-000018,-0.346293842155
ACH-000019,-0.100565156482
ACH-000021,-0.306688506628
ACH-000022,-0.270734869953
ACH-000025,-0.337392247955
ACH-000028,-0.359475007011
ACH-000030,-0.321137257795
ACH-000035,-0.10499772268100001
ACH-000036,-0.342574240835
ACH-000037,-0.44020744904299997
ACH-000039,-0.382928604432
ACH-000040,-0.34480134352700004
ACH-000041,-0.31625500789
ACH-000042,-0.20164272348700002
ACH-000045,-0.280329365775
ACH-000047,-0.17443250930799997
ACH-000052,-0.533621003516
ACH-000053,-0.262252310988
ACH-000054,-0.156787846172
ACH-000055,-0.195440011866
ACH-000060,-0.288381096535
ACH-000067,-0.07929089001539999
ACH-000070,-0.140946505282
ACH-000075,-0.248352198215
ACH-000078,-0.498609600673
ACH-000082,-0.33228771230799997
ACH-000085,-0.382471146592
ACH-000086,-0.40367565822800006
ACH-000087,-0.38805129633100005
ACH-000092,-0.330917271335
ACH-000095,-0.258834496666
ACH-000097,-0.0921295585477
ACH-000098,-0.148239580373
ACH-000099,-0.285344260035
ACH-000108,-0.32136805399999996
ACH-000113,-0.19031831564800003
ACH-000115,-0.307910422292
ACH-000116,-0.26139553497400003
ACH-000118,-0.29780523221
ACH-000120,-0.413304784556
ACH-000123,-0.307989778497
ACH-000127,-0.248387245693
ACH-000128,-0.21645818283799997
ACH-000132,-0.357695993165
ACH-000133,-0.319224231817
ACH-000137,-0.305233238713
ACH-000138,-0.49321968381700004
ACH-000142,-0.329401345045
ACH-000143,-0.504523937244
ACH-000146,-0.158216721257
ACH-000148,-0.106921792116
ACH-000150,-0.301037869677
ACH-000152,-0.163757766318
ACH-000153,-0.408708080565
ACH-000159,0.18176289700999998
ACH-000160,-0.278858447065
ACH-000163,-0.603265491685
ACH-000167,-0.5508913674220001
ACH-000168,0.0680247226825
ACH-000169,-0.316875378562
ACH-000178,-0.34405711767999997
ACH-000182,-0.257032868911
ACH-000183,-0.43585894480099996
ACH-000188,-0.506905459208
ACH-000189,-0.511758000061
ACH-000190,-0.0685863013105
ACH-000198,-0.318262278679
ACH-000204,-0.417277472386
ACH-000206,0.06981412938560001
ACH-000207,-0.5303844165730001
ACH-000211,-0.3306855204
ACH-000215,-0.267365245164
ACH-000221,-0.38680044453199997
ACH-000222,-0.133222834167
ACH-000223,-0.246458057816
ACH-000226,-0.334534525036
ACH-000227,-0.40999885569600003
ACH-000228,-0.24521060278700002
ACH-000231,-0.158720615539
ACH-000232,-0.319638590406
ACH-000233,-0.25767743896699996
ACH-000234,-0.189721019866
ACH-000235,-0.255627789428
ACH-000237,-0.274068322285
ACH-000238,-0.19688409537700002
ACH-000243,-0.162930302242
ACH-000244,0.13264142409000002
ACH-000246,-0.27938766643
ACH-000248,-0.0533966547958
ACH-000250,-0.36486237939000005
ACH-000251,-0.427995103462
ACH-000253,-0.442194953114
ACH-000255,-0.360063105792
ACH-000256,-0.372833422088
ACH-000257,-0.159217998214
ACH-000258,-0.0214082456396
ACH-000259,-0.204517971928
ACH-000260,-0.262098474881
ACH-000261,-0.32001696933400003
ACH-000262,-0.18885116748300002
ACH-000263,-0.165380636898
ACH-000264,-0.23725849994399997
ACH-000265,-0.22025242731400002
ACH-000266,-0.242782629729
ACH-000272,-0.161500014932
ACH-000273,-0.43100375593999996
ACH-000274,-0.196261760784
ACH-000277,-0.326305312828
ACH-000278,-0.323687998528
ACH-000279,-0.263348514876
ACH-000280,-0.299207591404
ACH-000281,-0.348734580907
ACH-000288,-0.251616405616
ACH-000291,-0.031630166557900005
ACH-000293,-0.290148835196
ACH-000294,-0.20646530021600001
ACH-000295,-0.331662022623
ACH-000296,-0.144065200742
ACH-000302,-0.330246207391
ACH-000304,-0.0699471257615
ACH-000307,-0.159574443155
ACH-000308,-0.40738155979999996
ACH-000310,-0.357885340561
ACH-000311,-0.22943837202300002
ACH-000312,-0.202619779494
ACH-000315,-0.631673445894
ACH-000316,-0.270117204519
ACH-000317,-0.206221228203
ACH-000318,-0.417778686588
ACH-000319,-0.244090300956
ACH-000320,-0.243617741647
ACH-000322,-0.280367654459
ACH-000323,-0.323878886903
ACH-000324,-0.389746024308
ACH-000329,-0.0638048600996
ACH-000330,-0.33980030664800004
ACH-000331,-0.12331407242999999
ACH-000332,-0.291811663147
ACH-000334,-0.41467479881700003
ACH-000335,-0.46634054672700004
ACH-000336,-0.728100787969
ACH-000337,-0.40950891831200004
ACH-000339,-0.228487978376
ACH-000341,-0.39123762848099997
ACH-000348,-0.023712046950500002
ACH-000350,-0.311798059061
ACH-000352,-0.203094843931
ACH-000356,-0.319089653276
ACH-000361,-0.490737304951
ACH-000362,-0.232381584226
ACH-000363,-0.218722465159
ACH-000364,-0.360796556511
ACH-000365,-0.222971737331
ACH-000366,-0.598505983192
ACH-000368,-0.41095620306599995
ACH-000374,-0.30677296687399996
ACH-000375,-0.230587803143
ACH-000376,-0.19079068236699998
ACH-000381,-0.291925212361
ACH-000383,-0.244042875178
ACH-000387,-0.291734140521
ACH-000389,-0.0562675315362
ACH-000390,-0.308160390735
ACH-000393,-0.297187546475
ACH-000395,-0.506875075459
ACH-000397,-0.348879123847
ACH-000401,-0.0661142672446
ACH-000402,-0.23058981713000004
ACH-000403,-0.249012414629
ACH-000404,-0.20202523886
ACH-000406,-0.268844892906
ACH-000407,-0.37674192219400005
ACH-000408,-0.372884921729
ACH-000410,-0.290136985269
ACH-000411,-0.08529440224109999
ACH-000414,-0.142440090584
ACH-000415,-0.578298793685
ACH-000416,-0.19091507570500002
ACH-000420,-0.31672678485
ACH-000421,-0.265394863269
ACH-000424,-0.22470748773000002
ACH-000425,-0.197539069442
ACH-000426,-0.274358836344
ACH-000427,-0.320380691044
ACH-000433,-0.258380976892
ACH-000436,-0.122844552134
ACH-000444,-0.41547028676700004
ACH-000445,-0.306415145571
ACH-000448,-0.280670987585
ACH-000450,-0.0625409215135
ACH-000452,-0.326704770865
ACH-000454,-0.0586204654196
ACH-000458,-0.5305701085010001
ACH-000459,-0.008592630446879999
ACH-000460,-0.22088393529800002
ACH-000461,-0.578395919033
ACH-000463,-0.266551175622
ACH-000464,-0.218926905086
ACH-000466,-0.32558756656599996
ACH-000467,-0.006037828032140001
ACH-000468,-0.380523352136
ACH-000469,-0.375502942673
ACH-000470,-0.24167236121
ACH-000471,-0.113316088378
ACH-000472,-0.274686438749
ACH-000473,-0.07622295280119999
ACH-000475,-0.261332939456
ACH-000476,-0.45635047382700006
ACH-000477,-0.400540052363
ACH-000480,-0.23817516975000003
ACH-000481,-0.462520074109
ACH-000483,-0.150744716409
ACH-000484,-0.324083261965
ACH-000485,-0.300616648666
ACH-000486,-0.28077910953
ACH-000487,-0.224967279769
ACH-000488,-0.19056123318799997
ACH-000490,-0.22046391626200001
ACH-000491,-0.234437975416
ACH-000495,-0.6485908818399999
ACH-000496,-0.220620989458
ACH-000499,-0.329021975732
ACH-000500,-0.164069284995
ACH-000502,-0.139916038298
ACH-000503,-0.538270770177
ACH-000505,-0.22702774933800002
ACH-000507,-0.165479298823
ACH-000510,-0.33431882403
ACH-000511,-0.319107075964
ACH-000512,-0.40772688321999995
ACH-000516,-0.09253859216560001
ACH-000517,-0.145811914212
ACH-000518,-0.204615294855
ACH-000520,-0.290259540391
ACH-000521,-0.20293456803100002
ACH-000522,-0.20599763705899998
ACH-000524,-0.329725661413
ACH-000527,-0.139421535869
ACH-000528,-0.25144356603
ACH-000537,-0.32911187441399997
ACH-000541,-0.529596808158
ACH-000542,-0.298915469826
ACH-000544,-0.34706779473099997
ACH-000545,-0.488956671765
ACH-000547,-0.207147578272
ACH-000548,-0.418719399796
ACH-000549,-0.38051875059900003
ACH-000550,-0.19290843441599997
