,HIC1 (3090)
ACH-000004,0.210912174727
ACH-000007,-0.257966971737
ACH-000009,-0.140071315325
ACH-000011,-0.100205295133
ACH-000012,-0.0660585378702
ACH-000013,-0.0880455052465
ACH-000014,-0.11835011469699999
ACH-000015,-0.0843326389825
ACH-000017,-0.0800623968285
ACH-000018,-0.360593446848
ACH-000019,-0.139326249441
ACH-000021,-0.037650403898400006
ACH-000022,-0.14835986736
ACH-000025,0.154807746089
ACH-000028,-0.07453996351929999
ACH-000030,-0.08615371051920001
ACH-000035,0.0251590654134
ACH-000036,0.104746541126
ACH-000037,-0.18367594583799998
ACH-000039,0.00912622460818
ACH-000040,0.0963895679524
ACH-000041,-0.21350119565499998
ACH-000042,-0.124356239987
ACH-000045,-0.00525923194974
ACH-000047,-0.151570117447
ACH-000052,-0.157904527129
ACH-000053,-0.110841575065
ACH-000054,0.107543038387
ACH-000055,0.07243710086889998
ACH-000060,-0.267699975998
ACH-000067,0.07059884127510001
ACH-000070,0.195120892951
ACH-000075,0.0108110340957
ACH-000078,0.056346392678
ACH-000082,-0.150892112153
ACH-000085,-0.0324319260908
ACH-000086,-0.202632853527
ACH-000087,-0.011627181599900002
ACH-000092,0.0537771107937
ACH-000095,-0.0229053310239
ACH-000097,-0.196117350223
ACH-000098,0.07633113186200001
ACH-000099,-0.1327951898
ACH-000108,-0.060816750064500005
ACH-000113,-0.125830989277
ACH-000115,-0.26046971092099996
ACH-000116,-0.0201633945656
ACH-000118,-0.10656202940300001
ACH-000120,-0.047075161716800006
ACH-000123,-0.0085746649119
ACH-000127,-0.16578443541
ACH-000128,-0.10862373945999998
ACH-000132,-0.0892767978115
ACH-000133,-0.166254244661
ACH-000137,0.0341857146781
ACH-000138,-0.0265148525231
ACH-000142,-0.327538252004
ACH-000143,-0.286906222283
ACH-000146,-0.104523640798
ACH-000148,-0.099948570897
ACH-000150,-0.289110084778
ACH-000152,-0.0318324974168
ACH-000153,-0.000270590950149
ACH-000159,-0.05052065994109999
ACH-000160,-0.09020323072450001
ACH-000163,-0.397774195428
ACH-000167,0.156414680703
ACH-000168,-0.110902619509
ACH-000169,-0.113038905524
ACH-000178,-0.0582695832649
ACH-000182,-0.163055400563
ACH-000183,-0.0575363180748
ACH-000188,0.016342426139700002
ACH-000189,0.029079486718299997
ACH-000190,0.0580229504378
ACH-000198,0.0475465525012
ACH-000204,-0.135726736314
ACH-000206,-0.029034283895099995
ACH-000207,-0.49320698904
ACH-000211,-0.0354606863633
ACH-000215,-0.0844375333651
ACH-000221,-0.12488383972999999
ACH-000222,-0.11039363953199999
ACH-000223,0.00722547573292
ACH-000226,-0.09619043412669999
ACH-000227,-0.305653757906
ACH-000228,-0.015188903827200001
ACH-000231,-0.126458916466
ACH-000232,-0.0877729477716
ACH-000233,0.155819404168
ACH-000234,-0.29587554211100003
ACH-000235,-0.10328829238600001
ACH-000237,-0.112842001412
ACH-000238,-0.10747888356100001
ACH-000243,-0.135444123302
ACH-000244,-0.181125089912
ACH-000246,-0.0929218300037
ACH-000248,-0.0848339387637
ACH-000250,-0.201700630782
ACH-000251,-0.0619113194558
ACH-000253,0.00571434509072
ACH-000255,0.150610449977
ACH-000256,-0.0775712890633
ACH-000257,-0.44644669121799996
ACH-000258,0.188468713706
ACH-000259,-0.067664912786
ACH-000260,-0.0486869753313
ACH-000261,0.0354547248143
ACH-000262,0.0378272870046
ACH-000263,0.36122914589599997
ACH-000264,0.0524463506623
ACH-000265,0.0181380427235
ACH-000266,-0.111255931265
ACH-000272,0.0968637779213
ACH-000273,-0.0814455883355
ACH-000274,-0.15653072279400002
ACH-000277,-0.104636124443
ACH-000278,-0.0367292704316
ACH-000279,-0.154750932754
ACH-000280,-0.08583783527489999
ACH-000281,-0.178030473178
ACH-000288,-0.363066066753
ACH-000291,-0.09200127903619999
ACH-000293,-0.128042928714
ACH-000294,-0.00754519359746
ACH-000295,-0.20109914456099998
ACH-000296,-0.0699076413285
ACH-000302,0.016924997053
ACH-000304,-0.04860690394930001
ACH-000307,-0.044969910901600005
ACH-000308,-0.17617717216200002
ACH-000310,0.0862426413041
ACH-000311,-0.103846592689
ACH-000312,-0.0422142799416
ACH-000315,0.0246269198992
ACH-000316,-0.286484432209
ACH-000317,0.34842317783200005
ACH-000318,-0.0658106176287
ACH-000319,-0.333200503588
ACH-000320,-0.330684350623
ACH-000322,-0.208843093552
ACH-000323,-0.263476798241
ACH-000324,-0.0150537650085
ACH-000329,0.0267106170553
ACH-000330,0.0427184838136
ACH-000331,0.0007939001169330001
ACH-000332,0.0374742012901
ACH-000334,-0.49166697451700003
ACH-000335,0.473897342945
ACH-000336,0.303608530727
ACH-000337,-0.491411906875
ACH-000339,-0.17756219273600002
ACH-000341,0.0856291827307
ACH-000348,0.12030159449899999
ACH-000350,-0.08914070656999999
ACH-000352,-0.0651630878632
ACH-000356,-0.264329628317
ACH-000361,-0.0029755838920700003
ACH-000362,0.0085987508707
ACH-000363,-0.06439507104759999
ACH-000364,-0.09243802019469999
ACH-000365,-0.21434724792999998
ACH-000366,0.110223210483
ACH-000368,0.213206948629
ACH-000374,-0.036889933664899996
ACH-000375,-0.28675817194200004
ACH-000376,-0.02670287537
ACH-000381,0.007624134784319999
ACH-000383,-0.118790548798
ACH-000387,-0.199552589765
ACH-000389,-0.11489143078900001
ACH-000390,-0.12156665062899999
ACH-000393,-0.0969071851004
ACH-000395,-0.174002556241
ACH-000397,-0.135597785547
ACH-000401,-0.179942908064
ACH-000402,-0.05514581679240001
ACH-000403,0.0019065108676999999
ACH-000404,0.0112548026801
ACH-000406,-0.041920431147599996
ACH-000407,-0.0748200164235
ACH-000408,-0.137569116604
ACH-000410,0.06957320932910001
ACH-000411,-0.04509682098040001
ACH-000414,-0.028396017787799998
ACH-000415,0.011853994535399998
ACH-000416,0.0242627123429
ACH-000420,-0.007297391180939999
ACH-000421,-0.167554567568
ACH-000424,-0.219561638136
ACH-000425,-0.0374860841712
ACH-000426,-0.153684422242
ACH-000427,-0.163838253561
ACH-000433,-0.0325595493134
ACH-000436,0.100188224861
ACH-000444,-0.0381639405981
ACH-000445,-0.00400876193679
ACH-000448,0.079678649013
ACH-000450,-0.277550612991
ACH-000452,-0.16599117786599998
ACH-000454,0.0189942270199
ACH-000458,0.0341843410048
ACH-000459,-0.07261979435680001
ACH-000460,-0.0458717664925
ACH-000461,0.05653580051919999
ACH-000463,-0.15544820157
ACH-000464,-0.35104129542499996
ACH-000466,0.0562204701184
ACH-000467,-0.075010549818
ACH-000468,-0.0960674477035
ACH-000469,-0.14741423067
ACH-000470,-0.188317125232
ACH-000471,-0.28955092223
ACH-000472,-0.08431826276599999
ACH-000473,-0.11827460404899999
ACH-000475,0.026107631626400004
ACH-000476,-0.042553999046099994
ACH-000477,0.263341453541
ACH-000480,-0.0658220304115
ACH-000481,0.0814478466677
ACH-000483,0.03505840245419999
ACH-000484,-0.0392557662725
ACH-000485,-0.25831405004999997
ACH-000486,-0.126819104691
ACH-000487,-0.288635460266
ACH-000488,-0.20460941477699998
ACH-000490,-0.208512410623
ACH-000491,-0.0749670562228
ACH-000495,0.114313599224
ACH-000496,0.011023494809
ACH-000499,-0.08459623055530001
ACH-000500,0.712707074385
ACH-000502,-0.0674872065512
ACH-000503,-0.158503066996
ACH-000505,-0.0115250833151
ACH-000507,0.000607731458452
ACH-000510,-0.051628026051599996
ACH-000511,-0.120356898014
ACH-000512,0.23290422714899997
ACH-000516,0.147351373846
ACH-000517,-0.0595016293156
ACH-000518,-0.0987892636851
ACH-000520,0.189997555242
ACH-000521,-0.0636111015211
ACH-000522,0.0300866803346
ACH-000524,-0.0427750201179
ACH-000527,-0.0561235920505
