,PDIK1L (149420)
ACH-000004,-0.0759318607575
ACH-000007,0.0424340997542
ACH-000009,-0.11299443131300001
ACH-000011,0.169874148521
ACH-000012,0.013363498932299997
ACH-000013,-0.124725765174
ACH-000014,-0.15363609944599999
ACH-000015,-0.15451197301300001
ACH-000017,0.0566833138101
ACH-000018,-0.19235946269999998
ACH-000019,-0.0576412264722
ACH-000021,-0.044207991758699994
ACH-000022,-0.172245552278
ACH-000025,0.09427476272339999
ACH-000028,0.024075320551
ACH-000030,-0.0129978469218
ACH-000035,-0.20973632023699998
ACH-000036,0.0446959872492
ACH-000037,-0.022012073163200002
ACH-000039,-0.27397293239799997
ACH-000040,-0.17437726872499998
ACH-000041,-0.0831788858147
ACH-000042,0.0746485689589
ACH-000045,-0.253980224252
ACH-000047,0.0219502810594
ACH-000052,-0.103040594562
ACH-000053,-0.13645626133400002
ACH-000054,0.0391305986859
ACH-000055,-0.41093651513499996
ACH-000060,-0.03834908806080001
ACH-000067,-0.252447729729
ACH-000070,0.00218441759321
ACH-000075,-0.249494326736
ACH-000078,0.04890736456809999
ACH-000082,0.010859907797299999
ACH-000085,-0.17903857190699998
ACH-000086,-0.0606810371261
ACH-000087,-0.0313445893084
ACH-000092,-0.162696415184
ACH-000095,-0.181640454603
ACH-000097,0.012755097414
ACH-000098,-0.152289144608
ACH-000099,-0.14321444819
ACH-000108,0.12061320952299999
ACH-000113,0.026647218151099997
ACH-000115,0.0411937094023
ACH-000116,-0.00461544464654
ACH-000118,0.043111463809500004
ACH-000120,0.0568425043928
ACH-000123,-0.0639676361068
ACH-000127,-0.0522055743285
ACH-000128,-0.134167752581
ACH-000132,-0.0978086964467
ACH-000133,-0.20789331896299998
ACH-000137,-0.0622462197384
ACH-000138,0.07178392250639999
ACH-000142,-0.138878641868
ACH-000143,-0.22478095321199998
ACH-000146,-0.0606587662365
ACH-000148,-0.0505856274692
ACH-000150,-0.120168822575
ACH-000152,-0.27812081522300003
ACH-000153,-0.327847036406
ACH-000159,-0.11452622282199999
ACH-000160,-0.192143676602
ACH-000163,-0.179060788682
ACH-000167,-0.218229877515
ACH-000168,-0.13867105580800002
ACH-000169,-0.07450128569680001
ACH-000178,-0.048573903228900005
ACH-000182,0.0769575842085
ACH-000183,-0.160424338862
ACH-000188,0.057607927413800004
ACH-000189,0.206496675298
ACH-000190,0.07149067974010001
ACH-000198,-0.31338329301999995
ACH-000204,-0.209825636433
ACH-000206,0.0115743375401
ACH-000207,-0.0363123275633
ACH-000211,-0.0214145429568
ACH-000215,-0.0923381765292
ACH-000221,-0.0933495306788
ACH-000222,0.0758823266976
ACH-000223,0.016163497460100002
ACH-000226,0.0716879963532
ACH-000227,-0.0154694525591
ACH-000228,0.09249275000710001
ACH-000231,-0.021030825654000003
ACH-000232,-0.017767816100400003
ACH-000233,-0.16963336206399998
ACH-000234,-0.09354696503820001
ACH-000235,0.0046104453413699995
ACH-000237,-0.0704204712666
ACH-000238,0.00874769592775
ACH-000243,-0.029091987906299997
ACH-000244,-0.0793339642033
ACH-000246,-0.138731359049
ACH-000248,0.22877351330899998
ACH-000250,0.140192278521
ACH-000251,-0.24638125242400002
ACH-000253,-0.104636696265
ACH-000255,-0.0924750006104
ACH-000256,0.051359444929099995
ACH-000257,-0.135899202906
ACH-000258,0.0334507623116
ACH-000259,0.04780658155399999
ACH-000260,-0.042623443448900004
ACH-000261,-0.034059355183900006
ACH-000262,-0.10552038786399999
ACH-000263,-0.159981761697
ACH-000264,-0.00481225534499
ACH-000265,-0.0399169353321
ACH-000266,-0.00701963657105
ACH-000272,-0.05200886170940001
ACH-000273,-0.133446692323
ACH-000274,-0.219081506346
ACH-000277,-0.27355691301699997
ACH-000278,-0.0343390358904
ACH-000279,-0.18258621940699998
ACH-000280,0.00763567028844
ACH-000281,0.299823730189
ACH-000288,-0.220836238361
ACH-000291,-0.115517202009
ACH-000293,-0.10690368652599999
ACH-000294,-0.128266564924
ACH-000295,-0.0244946416977
ACH-000296,-0.0366098519431
ACH-000302,-0.103899885533
ACH-000304,-0.237563015724
ACH-000307,0.0522342010173
ACH-000308,0.0226958959718
ACH-000310,-0.07013938638810001
ACH-000311,0.0697403568387
ACH-000312,-0.024999813531
ACH-000315,-0.155633083053
ACH-000316,-0.0356914694379
ACH-000317,-0.040378540086599995
ACH-000318,-0.11241706811899999
ACH-000319,-0.0211186322137
ACH-000320,-0.0463841225808
ACH-000322,0.150061736588
ACH-000323,-0.125967248035
ACH-000324,-0.157399911208
ACH-000329,0.0906887737527
ACH-000330,0.161468319246
ACH-000331,0.09655140667249999
ACH-000332,-0.0188027375565
ACH-000334,-0.318695542683
ACH-000335,-0.048493767111
ACH-000336,-0.106719120465
ACH-000337,0.20292268480999998
ACH-000339,0.056142889018699994
