,MCMBP (79892)
ACH-000004,-0.7570082684880001
ACH-000007,-1.2024419291700001
ACH-000009,-0.8653284101980001
ACH-000011,-0.818664043894
ACH-000012,-0.848332375262
ACH-000013,-0.777363438619
ACH-000014,-1.03576588443
ACH-000015,-0.70741081243
ACH-000017,-0.715860589576
ACH-000018,-0.8910809131790001
ACH-000019,-0.654119487251
ACH-000021,-0.505328150851
ACH-000022,-0.8141892943410001
ACH-000025,-1.01144387274
ACH-000028,-0.743779772543
ACH-000030,-0.856122790804
ACH-000035,-0.7434830823340001
ACH-000036,-0.829312142421
ACH-000037,-0.629224558033
ACH-000039,-0.979302429512
ACH-000040,-1.01103934536
ACH-000041,-0.9757782025339999
ACH-000042,-0.666768797426
ACH-000045,-0.828801844981
ACH-000047,-0.8800002991179999
ACH-000052,-0.812340771346
ACH-000053,-0.519979119472
ACH-000054,-0.726045623032
ACH-000055,-0.862392253631
ACH-000060,-0.840810795343
ACH-000067,-1.25090886221
ACH-000070,-0.692463714525
ACH-000075,-0.7383575678479999
ACH-000078,-1.00743400699
ACH-000082,-0.425898422346
ACH-000085,-0.675535972463
ACH-000086,-0.739435688461
ACH-000087,-0.8672296009489999
ACH-000092,-0.595466199791
ACH-000095,-0.812320950474
ACH-000097,-0.850687457826
ACH-000098,-0.934413750274
ACH-000099,-0.9480596420980001
ACH-000108,-0.590364160544
ACH-000113,-0.8455296773540001
ACH-000115,-0.8607150367659999
ACH-000116,-0.5785942189459999
ACH-000118,-1.00511428338
ACH-000120,-0.940774474737
ACH-000123,-0.7304291315279999
ACH-000127,-0.6879254166509999
ACH-000128,-0.8086161355670001
ACH-000132,-0.846337152966
ACH-000133,-1.0551557010500001
ACH-000137,-0.7115927865639999
ACH-000138,-0.731651142396
ACH-000142,-0.951676807585
ACH-000143,-1.04697003959
ACH-000146,-0.40665034861599997
ACH-000148,-1.02991341074
ACH-000150,-0.482360039101
ACH-000152,-0.8625539500920001
ACH-000153,-0.7707008922409999
ACH-000159,-0.8205422306450001
ACH-000160,-0.49118390301799997
ACH-000163,-0.8545499336
ACH-000167,-0.362622069525
ACH-000168,-0.8547361413529999
