,GPN1 (11321)
ACH-000004,-1.05298697434
ACH-000007,-1.64475454778
ACH-000009,-1.31034487081
ACH-000011,-1.17341247388
ACH-000012,-1.36480438232
ACH-000013,-1.3995164858700002
ACH-000014,-1.52650455864
ACH-000015,-1.45554783083
ACH-000017,-1.2563761833700002
ACH-000018,-1.3356366686299999
ACH-000019,-1.67827819141
ACH-000021,-1.27054968491
ACH-000022,-1.5017895412
ACH-000025,-1.53550502131
ACH-000028,-1.47604199125
ACH-000030,-1.40657872146
ACH-000035,-1.19780203943
ACH-000036,-1.49610367014
ACH-000037,-2.08011703397
ACH-000039,-1.38507190613
ACH-000040,-1.6116162531
ACH-000041,-0.976574296491
ACH-000042,-1.36020584043
ACH-000045,-1.57423744128
ACH-000047,-1.26169601339
ACH-000052,-1.3910884645500001
ACH-000053,-1.61867068508
ACH-000054,-1.5639589862999999
ACH-000055,-1.296915976
ACH-000060,-1.56420484533
ACH-000067,-1.49329869935
ACH-000070,-1.9229082920200002
ACH-000075,-1.82092775717
ACH-000078,-1.22942415815
ACH-000082,-1.64040640388
ACH-000085,-1.64637903403
ACH-000086,-1.4998362350499999
ACH-000087,-1.5794810667599999
ACH-000092,-1.5142468926700001
ACH-000095,-1.4825354598299998
ACH-000097,-1.53339756595
ACH-000098,-1.44688174964
ACH-000099,-1.2803306599600002
ACH-000108,-1.29850232171
ACH-000113,-1.29371993278
ACH-000115,-1.33624757714
ACH-000116,-1.35016204294
ACH-000118,-1.4189274358200001
ACH-000120,-1.72185527488
ACH-000123,-1.37954084977
ACH-000127,-1.7275626805500002
ACH-000128,-1.17727251875
ACH-000132,-1.47527432998
ACH-000133,-1.3966348265000001
ACH-000137,-1.55448290757
ACH-000138,-1.4791245408200002
ACH-000142,-1.27672303379
ACH-000143,-1.26087839088
ACH-000146,-1.46967907356
ACH-000148,-1.49504753759
ACH-000150,-1.39280932301
ACH-000152,-1.32821911862
ACH-000153,-1.3634180403999998
ACH-000159,-1.27808095447
ACH-000160,-1.46930224785
ACH-000163,-1.3673954992100001
ACH-000167,-1.35625291822
ACH-000168,-1.60318888308
ACH-000169,-1.3642662147600002
ACH-000178,-1.35674454126
ACH-000182,-1.52097801497
ACH-000183,-1.37838063898
ACH-000188,-1.39853152559
ACH-000189,-1.40025529389
ACH-000190,-1.25378318658
ACH-000198,-1.5380982388
ACH-000204,-1.5719510294999999
ACH-000206,-1.43235549067
ACH-000207,-1.7265737687
ACH-000211,-1.4142763300499999
ACH-000215,-1.5735280693399998
ACH-000221,-1.61646618554
ACH-000222,-1.36189416001
ACH-000223,-1.53022146505
ACH-000226,-1.56298388294
ACH-000227,-1.62514536486
ACH-000228,-1.26866708787
ACH-000231,-1.50357166687
ACH-000232,-1.3236210315299999
ACH-000233,-1.64227584938
ACH-000234,-1.2864076937200002
ACH-000235,-1.48948863268
ACH-000237,-1.32699349425
ACH-000238,-1.4598402433000002
ACH-000243,-1.34708622071
ACH-000244,-1.32557363566
ACH-000246,-1.3044194609
ACH-000248,-1.1227036694900001
ACH-000250,-1.44301539193
ACH-000251,-1.01198207072
ACH-000253,-1.4899212233899999
ACH-000255,-1.18730688941
ACH-000256,-1.32644836965
ACH-000257,-1.62651014171
ACH-000258,-1.3359745545000001
ACH-000259,-1.32125483296
ACH-000260,-1.38603648186
ACH-000261,-1.5224762284
ACH-000262,-1.4891493803100002
ACH-000263,-1.5983697542
ACH-000264,-1.6050612549899999
ACH-000265,-1.2163378963200002
ACH-000266,-1.43241096105
ACH-000272,-1.5640578796899998
ACH-000273,-1.5227507977899999
ACH-000274,-1.4961096785899999
ACH-000277,-1.58383857437
ACH-000278,-1.289747927
ACH-000279,-1.28748786825
ACH-000280,-1.2635498222100001
ACH-000281,-1.3967759089200003
ACH-000288,-1.3959794898700002
ACH-000291,-1.33383125233
ACH-000293,-1.53938361387
ACH-000294,-1.29586616579
ACH-000295,-1.6482111494299998
ACH-000296,-1.36910811021
ACH-000302,-1.5288064904499998
ACH-000304,-1.24985543836
ACH-000307,-1.05279662172
ACH-000308,-1.4867892383899999
ACH-000310,-1.35295739771
ACH-000311,-1.5705753259399997
ACH-000312,-1.45330096634
ACH-000315,-1.2232613454
ACH-000316,-1.34367443852
ACH-000317,-1.6293543449
ACH-000318,-1.23936711107
ACH-000319,-1.4616747763
ACH-000320,-1.54284752785
ACH-000322,-1.39573393813
ACH-000323,-1.60313009257
ACH-000324,-1.6687716425499999
ACH-000329,-1.44850058549
ACH-000330,-1.70723977572
ACH-000331,-1.21647361457
ACH-000332,-1.42585068586
ACH-000334,-1.66491148683
ACH-000335,-1.6425010968
ACH-000336,-0.947613754619
ACH-000337,-1.28066687457
