,DIS3L (115752)
ACH-000004,-0.20072140910300001
ACH-000007,-0.231703443756
ACH-000009,-0.515785182091
ACH-000011,-0.0994473403208
ACH-000012,-0.426372964949
ACH-000013,-0.249427521624
ACH-000014,-0.37574618996
ACH-000015,-0.21034929995499999
ACH-000017,-0.30931007764400004
ACH-000018,-0.102939973115
ACH-000019,-0.378620222311
ACH-000021,-0.19657336264199998
ACH-000022,-0.43547405941000006
ACH-000025,-0.316521267976
ACH-000028,-0.377798072581
ACH-000030,-0.140436226543
ACH-000035,-0.38128010154299996
ACH-000036,0.009742723080360002
ACH-000037,-0.289050530405
ACH-000039,-0.302612633646
ACH-000040,-0.343101115194
ACH-000041,-0.332265108732
ACH-000042,-0.28798879396
ACH-000045,-0.22330141816799998
ACH-000047,-0.045212811114999994
ACH-000052,-0.620798074577
ACH-000053,-0.205219715213
ACH-000054,-0.132937118069
ACH-000055,-0.20910479848400002
ACH-000060,-0.0502689157431
ACH-000067,-0.205814682841
ACH-000070,-0.31639906366500004
ACH-000075,-0.173390470211
ACH-000078,-0.12085032432399999
ACH-000082,-0.24271509893399998
ACH-000085,-0.049114191053900004
ACH-000086,-0.428544054955
ACH-000087,-0.35501211837499996
ACH-000092,-0.258785128448
ACH-000095,-0.255159773905
ACH-000097,-0.285148885555
ACH-000098,-0.11869631929300001
ACH-000099,-0.162166023717
ACH-000108,-0.334106176259
ACH-000113,-0.228555385526
ACH-000115,-0.31007883385
ACH-000116,-0.359042647605
ACH-000118,-0.196309824995
ACH-000120,-0.38475253220899996
ACH-000123,-0.21941336222600002
ACH-000127,-0.153939505769
ACH-000128,-0.252095423539
ACH-000132,-0.291336501625
ACH-000133,-0.148479232533
ACH-000137,-0.18324327245400002
ACH-000138,-0.179284419498
ACH-000142,-0.223889768223
ACH-000143,-0.334844291408
ACH-000146,-0.150300650084
ACH-000148,-0.37814890923699995
ACH-000150,-0.158664537679
ACH-000152,-0.14982113483200002
ACH-000153,-0.39904593408699995
ACH-000159,-0.193501749976
ACH-000160,-0.252919542891
ACH-000163,-0.170339417069
ACH-000167,-0.388962409926
ACH-000168,-0.449920556718
ACH-000169,-0.28089507929
ACH-000178,-0.0975089096641
ACH-000182,-0.44382696187200005
ACH-000183,-0.112978111928
ACH-000188,-0.2843876993
ACH-000189,0.0179714822199
ACH-000190,-0.234181527664
ACH-000198,-0.222279445631
ACH-000204,-0.534487540831
ACH-000206,-0.142550152266
ACH-000207,-0.23181282695099997
ACH-000211,-0.254425801384
ACH-000215,-0.342345287936
ACH-000221,-0.256975582985
ACH-000222,-0.303073587898
ACH-000223,-0.38938164487800003
ACH-000226,-0.261409546048
ACH-000227,-0.369073054127
ACH-000228,-0.34046058461199996
ACH-000231,-0.346812641339
ACH-000232,-0.372904107187
ACH-000233,-0.46967421242799995
ACH-000234,-0.36846603198100003
ACH-000235,-0.226662286614
ACH-000237,-0.133985791662
ACH-000238,-0.453921857972
ACH-000243,-0.21407217404800002
ACH-000244,-0.163201574336
ACH-000246,-0.20319793449
ACH-000248,-0.17633328704300003
ACH-000250,-0.177771517166
ACH-000251,-0.0631017448366
ACH-000253,-0.19560563138099998
ACH-000255,-0.37040416611599997
ACH-000256,-0.30216306274599997
ACH-000257,-0.203369263465
ACH-000258,-0.430886781393
ACH-000259,-0.34453442239
ACH-000260,-0.34301005008100005
ACH-000261,-0.322626880225
ACH-000262,-0.274378150673
ACH-000263,-0.0572747839116
ACH-000264,-0.309281290462
ACH-000265,-0.5623814492
ACH-000266,-0.293312189476
ACH-000272,-0.38949194012599997
ACH-000273,-0.056567764505
ACH-000274,-0.226721716505
