,UBTF (7343)
ACH-000004,-1.3335651222799998
ACH-000007,-1.52302333723
ACH-000009,-1.38435768435
ACH-000011,-1.37324590502
ACH-000012,-1.283671169
ACH-000013,-1.5479479763
ACH-000014,-1.3526781970299997
ACH-000015,-1.4476034033899998
ACH-000017,-1.7072867809999999
ACH-000018,-1.5640823514200002
ACH-000019,-1.75742346371
ACH-000021,-1.33922526734
ACH-000022,-1.63549144494
ACH-000025,-1.4177523796899998
ACH-000028,-1.7470295773400002
ACH-000030,-1.44932221199
ACH-000035,-1.4246486437299999
ACH-000036,-1.5329594848399999
ACH-000037,-2.05323640503
ACH-000039,-1.3768357290900002
ACH-000040,-1.6706764226800002
ACH-000041,-1.6314332721399998
ACH-000042,-1.22921361418
ACH-000045,-1.47996330386
ACH-000047,-1.32676860161
ACH-000052,-1.7602611820900003
ACH-000053,-1.4520712219799998
ACH-000054,-1.5315298797999999
ACH-000055,-1.47852801579
ACH-000060,-1.45162629063
ACH-000067,-1.48737957385
ACH-000070,-1.66461125143
ACH-000075,-1.53037363864
ACH-000078,-1.59968509507
ACH-000082,-1.5534355410499998
ACH-000085,-1.5444663977500002
ACH-000086,-1.5650135185799998
ACH-000087,-1.6469477575799998
ACH-000092,-1.3922863039700002
ACH-000095,-1.4136978647299998
ACH-000097,-1.5039424759
ACH-000098,-1.6020378856600002
ACH-000099,-1.52007601279
ACH-000108,-1.4765072349500001
ACH-000113,-1.3988140312000001
ACH-000115,-1.37532221984
ACH-000116,-1.45496782821
ACH-000118,-1.04247671914
ACH-000120,-1.24911662124
ACH-000123,-1.51739431165
ACH-000127,-1.48873449993
ACH-000128,-1.5101671421599998
ACH-000132,-1.5693144662799998
ACH-000133,-1.48608582445
ACH-000137,-1.46626941836
ACH-000138,-1.2036107973299999
ACH-000142,-1.33433498331
ACH-000143,-1.1852838463600002
ACH-000146,-1.23928423214
ACH-000148,-1.5106558447999998
ACH-000150,-1.3002133841299999
ACH-000152,-1.54419812554
ACH-000153,-1.8878716511900002
ACH-000159,-1.7265014587
ACH-000160,-1.06231971436
ACH-000163,-1.76478333176
ACH-000167,-1.5328017962
ACH-000168,-1.54497084213
ACH-000169,-1.37658423657
ACH-000178,-1.37335669094
ACH-000182,-1.41072958085
ACH-000183,-1.61078856572
ACH-000188,-1.4520524584799999
ACH-000189,-1.58472802819
ACH-000190,-1.14066157484
ACH-000198,-1.71347042123
ACH-000204,-1.08388929496
ACH-000206,-1.51413105413
ACH-000207,-1.33131126991
ACH-000211,-1.5316155154700002
ACH-000215,-1.4106930994799998
ACH-000221,-1.6035053080200001
ACH-000222,-1.41383973796
ACH-000223,-1.55914337338
ACH-000226,-1.5179885619100002
ACH-000227,-1.5215575827599999
ACH-000228,-1.3787424116999998
ACH-000231,-1.5911937032299999
ACH-000232,-1.38467235389
ACH-000233,-1.5277327548700002
ACH-000234,-1.58919645755
ACH-000235,-1.48745441494
ACH-000237,-1.37002234356
ACH-000238,-1.5090806994
ACH-000243,-1.26723837734
ACH-000244,-1.49792738875
ACH-000246,-1.4000833106000001
ACH-000248,-1.648763136
ACH-000250,-1.46970733547
ACH-000251,-1.16192751533
ACH-000253,-1.41389291333
ACH-000255,-1.36066767465
ACH-000256,-1.70768381169
ACH-000257,-1.8166198921
ACH-000258,-1.63902839893
ACH-000259,-1.1531221659
ACH-000260,-1.3967099214200003
ACH-000261,-1.4651265497100001
ACH-000262,-1.20166961605
ACH-000263,-1.3541588249599998
ACH-000264,-1.9136377678299998
ACH-000265,-1.4745104197
ACH-000266,-1.41845264639
ACH-000272,-1.36459959589
ACH-000273,-1.3739351947100003
ACH-000274,-1.89162747246
ACH-000277,-1.31412208756
ACH-000278,-1.2884065523000001
ACH-000279,-1.6454811702899999
ACH-000280,-1.6390519974000002
ACH-000281,-1.65542310567
ACH-000288,-1.76915252122
