,CCL4L2 (9560)
ACH-000004,-0.124614900052
ACH-000007,-0.182423510889
ACH-000009,-0.0235344400213
ACH-000011,-0.19256826845
ACH-000012,-0.0567716044502
ACH-000013,-0.07800158642300001
ACH-000014,-0.23134086216
ACH-000015,-0.12395096907299999
ACH-000017,-0.0063467743816800004
ACH-000018,0.040095322000199995
ACH-000019,-0.0121590020737
ACH-000021,-0.07146918576610001
ACH-000022,-0.24273976548099999
ACH-000025,0.00632376442506
ACH-000028,-0.11533462065
ACH-000030,-0.19145096706700002
ACH-000035,-0.04884315928119999
ACH-000036,-0.0373773866274
ACH-000037,-0.09348568022739999
ACH-000039,0.031436244417
ACH-000040,0.0167344573173
ACH-000041,0.0230294942627
ACH-000042,0.060009227467400006
ACH-000045,0.037784021423
ACH-000047,-0.055309472769300004
ACH-000052,-0.0340919113626
ACH-000053,-0.017183140939200002
ACH-000054,0.00431028501674
ACH-000055,0.0434463590044
ACH-000060,-0.123952460269
ACH-000067,0.38128291659900004
ACH-000070,-0.185551529034
ACH-000075,-0.13285579955000001
ACH-000078,-0.104517374299
ACH-000082,-0.0236462657497
ACH-000085,-0.13320791329099999
ACH-000086,-0.19757542804900002
ACH-000087,-0.0357648431021
ACH-000092,0.12447990416200001
ACH-000095,-0.288228580304
ACH-000097,-0.225568864936
ACH-000098,-0.010119011923500001
ACH-000099,-0.23707707518399998
ACH-000108,-0.182243598373
ACH-000113,0.00446842895392
ACH-000115,-0.496728378253
ACH-000116,-0.075047491736
ACH-000118,-0.0879851873096
ACH-000120,0.110269812529
ACH-000123,-0.0368225280945
ACH-000127,0.025662178445599995
ACH-000128,-0.08857552114980001
ACH-000132,-0.03858187425930001
ACH-000133,-0.0804425765357
ACH-000137,-0.0716242701318
ACH-000138,0.0667071341513
ACH-000142,-0.18659466698
ACH-000143,-0.0038450256603699997
ACH-000146,-0.155169864102
ACH-000148,-0.229331699101
ACH-000150,-0.157675493613
ACH-000152,-0.155961815048
ACH-000153,0.117331190133
ACH-000159,-0.114332698567
ACH-000160,-0.06999026846480001
ACH-000163,0.159071754692
ACH-000167,-0.21043001099
ACH-000168,-0.167817850488
ACH-000169,-0.0925142966172
ACH-000178,-0.08641957985580001
ACH-000182,-0.225947499773
ACH-000183,-0.030533973544900003
ACH-000188,-0.0806769397636
ACH-000189,0.0781478498731
ACH-000190,-0.190241688106
ACH-000198,0.00509362267973
ACH-000204,0.177277166323
ACH-000206,-0.017062871278899997
ACH-000207,0.22392485035999998
ACH-000211,-0.112843566188
ACH-000215,-0.207547091231
ACH-000221,-0.379218760698
ACH-000222,-0.121495798168
ACH-000223,-0.00676166748516
ACH-000226,-0.13255782004
ACH-000227,0.427629792191
ACH-000228,0.052514103662199996
ACH-000231,-0.0714089343695
ACH-000232,-0.0773680064138
ACH-000233,0.0855946288136
ACH-000234,-0.237992006929
ACH-000235,-0.15697560445699998
ACH-000237,-0.0272840764337
ACH-000238,0.08560080755560001
ACH-000243,-0.197909516911
ACH-000244,-0.417212787264
ACH-000246,-0.18977646410799998
ACH-000248,-0.259700995652
ACH-000250,-0.177894309899
ACH-000251,-0.138844251808
ACH-000253,-0.19841991834800002
ACH-000255,-0.316989459849
ACH-000256,-0.297780634252
ACH-000257,-0.200965287024
ACH-000258,-0.04913838562009999
ACH-000259,-0.11241642780300001
ACH-000260,-0.110615172541
ACH-000261,-0.0787871273047
ACH-000262,-0.100510281854
ACH-000263,-0.289564731926
ACH-000264,-0.0453764685079
ACH-000265,-0.154139323794
ACH-000266,-0.160496271046
ACH-000272,-0.183213450484
ACH-000273,-0.0735010018215
ACH-000274,-0.20327049109099998
ACH-000277,-0.208564784043
ACH-000278,0.119490848036
ACH-000279,0.11175269447899999
ACH-000280,-0.35410297335600005
ACH-000281,-0.0412895367843
ACH-000288,-0.263503619289
ACH-000291,-0.011956336700600001
ACH-000293,-0.026367825507299998
ACH-000294,-0.166686173761
ACH-000295,-0.423300328427
ACH-000296,-0.36166298618799997
ACH-000302,-0.122535151543
ACH-000304,-0.222347239826
ACH-000307,-0.147722641817
ACH-000308,0.184989183245
ACH-000310,0.428890116988
ACH-000311,-0.151473742361
ACH-000312,-0.266096049599
ACH-000315,0.17587971310199998
ACH-000316,-0.36310399620800005
ACH-000317,-0.372216077368
ACH-000318,-0.0276051829642
ACH-000319,-0.165199717526
ACH-000320,-0.127559848021
ACH-000322,0.101221300268
ACH-000323,-0.258095005379
ACH-000324,-0.399963082738
ACH-000329,-0.0929284009315
ACH-000330,-0.14409564964500002
ACH-000331,-0.06820254057019999
ACH-000332,-0.0522887459289
ACH-000334,0.040696229226599996
ACH-000335,-0.336408654898
ACH-000336,-0.19382613146299998
ACH-000337,-0.146737308643
ACH-000339,-0.101249833179
ACH-000341,-0.13654393961300001
ACH-000348,-0.0840120641442
ACH-000350,-0.448764493056
ACH-000352,-0.061056913557699995
ACH-000356,-0.057396775271600003
ACH-000361,-0.130622250022
ACH-000362,-0.357449650494
ACH-000363,-0.0063570951499099995
ACH-000364,-0.285318650341
ACH-000365,-0.031721162357
ACH-000366,0.0105821950621
ACH-000368,-0.128064350234
ACH-000374,-0.245777097184
ACH-000375,-0.0810817885982
ACH-000376,-0.09809450009569999
ACH-000381,-0.024611262864399998
ACH-000383,-0.103999278288
ACH-000387,-0.11723969038799999
ACH-000389,-0.07062513317319999
ACH-000390,-0.238650492251
ACH-000393,0.00264304353629
ACH-000395,-0.331010497307
ACH-000397,-0.242732693356
ACH-000401,-0.057114668250299996
ACH-000402,-0.132872001744
ACH-000403,-0.025554771005599997
ACH-000404,-0.37136453096100003
ACH-000406,-0.05133656713330001
ACH-000407,-0.18998579701499999
ACH-000408,-0.242040089719
ACH-000410,0.0884191795788
ACH-000411,-0.152186563513
ACH-000414,-0.0954677335719
ACH-000415,-0.20238693986099998
ACH-000416,-0.109632413948
ACH-000420,-0.354542442989
ACH-000421,-0.112843706561
ACH-000424,0.131637037721
ACH-000425,-0.034316031642
ACH-000426,-0.419290215918
ACH-000427,-0.032717112734
ACH-000433,-0.09569235228319999
ACH-000436,-0.0925787559783
ACH-000444,0.0683131778083
ACH-000445,-0.07072810300560001
ACH-000448,-0.250228455683
ACH-000450,-0.28605471722
ACH-000452,-0.0641645060749
ACH-000454,-0.0646498589384
ACH-000458,-0.225585450555
ACH-000459,-0.0253986645406
ACH-000460,-0.152062051261
ACH-000461,-0.0380460132991
ACH-000463,-0.143754364819
ACH-000464,-0.12138158619999999
ACH-000466,-0.353876349711
ACH-000467,-0.007227373402119999
ACH-000468,-0.269669236338
ACH-000469,-0.019208349114700003
ACH-000470,-0.123103688552
ACH-000471,-0.145694869517
ACH-000472,-0.186783193442
ACH-000473,0.0142873025553
ACH-000475,-0.298521947941
ACH-000476,-0.176851558758
ACH-000477,-0.105103027345
ACH-000480,-0.0913887145801
ACH-000481,-0.117371346663
ACH-000483,-0.319873290541
ACH-000484,0.0801671640943
ACH-000485,0.176105814281
ACH-000486,-0.141069179496
ACH-000487,0.0816106834396
