,MTOR (2475)
ACH-000004,-0.876676785652
ACH-000007,-1.32483468481
ACH-000009,-1.14181903594
ACH-000011,-1.30719704347
ACH-000012,-1.13613446726
ACH-000013,-1.49403928367
ACH-000014,-1.19895742749
ACH-000015,-1.23792307151
ACH-000017,-1.66948366278
ACH-000018,-1.3525073265799998
ACH-000019,-1.31593465515
ACH-000021,-1.50377039456
ACH-000022,-1.32882496256
ACH-000025,-1.3879103604799998
ACH-000028,-1.16635949275
ACH-000030,-1.2873803189200002
ACH-000035,-1.23778575907
ACH-000036,-1.5254523454299997
ACH-000037,-1.7301478272
ACH-000039,-1.05324402274
ACH-000040,-1.56936886026
ACH-000041,-1.49869005041
ACH-000042,-0.872099168167
ACH-000045,-1.27015242825
ACH-000047,-1.30743914308
ACH-000052,-1.57938038157
ACH-000053,-1.4492367010799998
ACH-000054,-1.3846159036
ACH-000055,-1.3410902660200001
ACH-000060,-1.4697974777
ACH-000067,-1.5230038710799998
ACH-000070,-1.42764514954
ACH-000075,-1.3922414676800001
ACH-000078,-0.966932162017
ACH-000082,-1.42621185369
ACH-000085,-1.0640541795
ACH-000086,-1.34675080493
ACH-000087,-1.36462437708
ACH-000092,-1.1692675268500001
ACH-000095,-1.57966248639
ACH-000097,-1.64291473044
ACH-000098,-1.65487734482
ACH-000099,-1.6293915288999998
ACH-000108,-1.3636118699899997
ACH-000113,-1.4569700265
ACH-000115,-1.39654913097
ACH-000116,-1.51942155134
ACH-000118,-1.11490337578
ACH-000120,-1.54183260244
ACH-000123,-1.1937220897799998
ACH-000127,-1.3307735459899999
ACH-000128,-1.35800176747
ACH-000132,-1.3516242090600001
ACH-000133,-1.37088986855
ACH-000137,-1.13265611614
ACH-000138,-1.29863083301
ACH-000142,-1.3202446940399999
ACH-000143,-1.23713809832
ACH-000146,-1.0024370961
ACH-000148,-1.45384379461
ACH-000150,-1.6090281048500001
ACH-000152,-1.3552962271899998
ACH-000153,-1.36681179417
ACH-000159,-1.5542792184799998
ACH-000160,-1.10573909395
ACH-000163,-1.55323464866
ACH-000167,-1.6260242565799998
ACH-000168,-1.0872793974700001
ACH-000169,-1.4832059509200002
ACH-000178,-1.50044458463
ACH-000182,-0.95649975217
ACH-000183,-1.31233296371
ACH-000188,-1.1409820709799998
ACH-000189,-1.7592336651599998
ACH-000190,-1.42473116044
ACH-000198,-1.26216338698
ACH-000204,-1.4974594693
ACH-000206,-1.3668696866999999
ACH-000207,-1.29385107745
ACH-000211,-1.24474295177
ACH-000215,-1.61710296041
ACH-000221,-1.53441302044
ACH-000222,-1.55894490896
ACH-000223,-1.0365665313099999
ACH-000226,-1.09753586342
ACH-000227,-1.13758098599
ACH-000228,-1.2356513210200002
ACH-000231,-1.30399942189
ACH-000232,-1.54448009881
ACH-000233,-1.2546858677600001
ACH-000234,-1.35783451324
ACH-000235,-1.44759111693
ACH-000237,-1.28277658514
ACH-000238,-1.34082793235
ACH-000243,-1.5415283292299997
ACH-000244,-1.07537937115
ACH-000246,-1.4582547010799998
ACH-000248,-1.29429325141
ACH-000250,-1.27519325893
ACH-000251,-1.39136876033
ACH-000253,-1.41403442694
ACH-000255,-1.5656711819
ACH-000256,-1.12899389725
ACH-000257,-1.79088696717
ACH-000258,-1.08450753088
ACH-000259,-1.41575543815
ACH-000260,-1.25586741347
ACH-000261,-1.26649542224
ACH-000262,-1.3626763250100002
ACH-000263,-1.5382874047
ACH-000264,-1.17890548735
ACH-000265,-1.18363347865
ACH-000266,-0.985706899763
ACH-000272,-1.68198293622
ACH-000273,-1.15742203565
ACH-000274,-1.1295941684200002
ACH-000277,-1.1548899539200002
ACH-000278,-1.3582711400100003
ACH-000279,-1.84390671842
ACH-000280,-1.2320021316299998
ACH-000281,-1.4315812613999999
ACH-000288,-1.5093195919100002
ACH-000291,-1.41496388386
ACH-000293,-1.1554374835799999
ACH-000294,-0.815812412929
ACH-000295,-1.53145719833
ACH-000296,-1.3603107943000001
ACH-000302,-1.0310281682200002
ACH-000304,-1.4684607425799998
