,WRB (7485)
ACH-000004,-0.403667881244
ACH-000007,-1.0401782130700001
ACH-000009,-1.1437541848700001
ACH-000011,-0.9347785751819999
ACH-000012,-0.869055048959
ACH-000013,-0.401629069697
ACH-000014,-0.868725572608
ACH-000015,-0.7517208891509999
ACH-000017,-1.26889501095
ACH-000018,-0.454976396781
ACH-000019,-0.546416256737
ACH-000021,-0.6762299505239999
ACH-000022,-0.8515378231649999
ACH-000025,-0.32839095131900004
ACH-000028,-0.22996553425500002
ACH-000030,-1.06795085858
ACH-000035,-0.546156261705
ACH-000036,-0.815441129874
ACH-000037,-0.46893926961599997
ACH-000039,-0.5199141839670001
ACH-000040,-1.05443516476
ACH-000041,-0.354901262126
ACH-000042,-0.355036875918
ACH-000045,-0.773404048203
ACH-000047,-0.920648194421
ACH-000052,-0.687172495195
ACH-000053,-0.20049295565699998
ACH-000054,-0.148931110151
ACH-000055,-1.00157729532
ACH-000060,-0.993305941926
ACH-000067,-0.710009771348
ACH-000070,-0.60138254607
ACH-000075,-0.464112680596
ACH-000078,-0.6717328758600001
ACH-000082,-0.304423503752
ACH-000085,-1.1363605320299999
ACH-000086,-1.08776590238
ACH-000087,-1.0392284784499999
ACH-000092,-0.645407911333
ACH-000095,-0.623151819858
ACH-000097,-1.01083318192
ACH-000098,-0.8698685610979999
ACH-000099,-1.1664729979700001
ACH-000108,-0.890376843997
ACH-000113,-0.716945883895
ACH-000115,-0.915478596597
ACH-000116,-0.7076337307639999
ACH-000118,-0.5648244226169999
ACH-000120,-0.7647061703550001
ACH-000123,-0.822753756613
ACH-000127,-0.670551273127
ACH-000128,-0.7147800872319999
ACH-000132,-1.1458798700900001
ACH-000133,-0.795389156902
ACH-000137,-0.335959004755
ACH-000138,-0.472763627605
ACH-000142,-1.22359305808
ACH-000143,-0.693956543276
ACH-000146,-0.8615033507150001
ACH-000148,-0.715444899908
ACH-000150,-0.914891097273
ACH-000152,-0.852972511261
ACH-000153,-0.446009178956
ACH-000159,-0.787026547765
ACH-000160,-0.620007326695
ACH-000163,-0.8985685234559999
ACH-000167,-0.731641894936
ACH-000168,-0.662479427765
ACH-000169,-0.841889934559
ACH-000178,-0.906360197055
ACH-000182,-0.5106479642589999
ACH-000183,-0.881110570325
ACH-000188,-1.09343767411
ACH-000189,-0.97570005516
ACH-000190,-1.05429964329
ACH-000198,-0.686416829219
ACH-000204,-0.904505004804
ACH-000206,-0.48623120347099996
ACH-000207,-0.698983931842
ACH-000211,-0.292870208987
ACH-000215,-0.585583531613
ACH-000221,-1.144479246
ACH-000222,-0.550350219239
ACH-000223,-0.491655627847
ACH-000226,-0.486940966627
ACH-000227,-0.727122272093
ACH-000228,-0.32375213074299997
