,HIAT1 (64645)
ACH-000004,-0.532331865036
ACH-000007,-0.287829049303
ACH-000009,-0.361233343937
ACH-000011,-0.432134439689
ACH-000012,-0.483047522816
ACH-000013,-0.177512706808
ACH-000014,-0.344877170757
ACH-000015,-0.27945874278
ACH-000017,-0.490938917526
ACH-000018,-0.414108399944
ACH-000019,-0.118865425427
ACH-000021,-0.25009192590199997
ACH-000022,-0.286843737913
ACH-000025,-0.20435689664599999
ACH-000028,-0.24776904742400002
ACH-000030,-0.34768822406800004
ACH-000035,-0.320829103287
ACH-000036,-0.312672155341
ACH-000037,-0.3065682401
ACH-000039,-0.10858926409700001
ACH-000040,-0.23316007053000004
ACH-000041,-0.530252997139
ACH-000042,-0.267419351283
ACH-000045,-0.173770630403
ACH-000047,-0.16710300354
ACH-000052,-0.388338290019
ACH-000053,-0.296543303035
ACH-000054,-0.370222534158
ACH-000055,-0.47419074370399994
ACH-000060,-0.44858534956699997
ACH-000067,-0.237402140446
ACH-000070,-0.07599028491510001
ACH-000075,-0.0571384909784
ACH-000078,-0.422038493786
ACH-000082,-0.34083018779799995
ACH-000085,-0.295196141203
ACH-000086,-0.275083359211
ACH-000087,-0.356998084115
ACH-000092,-0.153867846422
ACH-000095,-0.365641988631
ACH-000097,-0.150315001719
ACH-000098,-0.13953696872000002
ACH-000099,-0.41710546414000005
ACH-000108,-0.24896055714499998
ACH-000113,-0.517901838144
ACH-000115,-0.29451504524300004
ACH-000116,-0.304850972817
ACH-000118,-0.236440798631
ACH-000120,-0.404684782415
ACH-000123,-0.229988399989
ACH-000127,-0.35375596729099995
ACH-000128,-0.0316277743421
ACH-000132,-0.344255555388
ACH-000133,-0.37321108209799997
ACH-000137,-0.643117172065
ACH-000138,-0.248995528187
ACH-000142,-0.268029555842
ACH-000143,-0.493608928738
ACH-000146,-0.478849240702
ACH-000148,-0.347958493186
ACH-000150,-0.005965438915839999
ACH-000152,-0.397596275663
ACH-000153,-0.329129643967
ACH-000159,-0.561015359281
ACH-000160,-0.362747399233
ACH-000163,-0.201160835431
ACH-000167,-0.237046678554
ACH-000168,-0.27368921053899997
ACH-000169,-0.45120406671700003
ACH-000178,-0.222791496404
ACH-000182,0.013070040856000002
ACH-000183,-0.28949009431899997
ACH-000188,-0.325270482967
ACH-000189,-0.0834827496723
ACH-000190,-0.365739296193
