,HDGF (3068)
ACH-000004,-0.245271611459
ACH-000007,0.162575391638
ACH-000009,-0.222523125136
ACH-000011,-0.101178934923
ACH-000012,-0.29155720464400003
ACH-000013,-0.16699413752999998
ACH-000014,-0.278174008534
ACH-000015,-0.136423315027
ACH-000017,0.044607167092300004
ACH-000018,0.06570768560700001
ACH-000019,-0.0462308749505
ACH-000021,-0.0236991752251
ACH-000022,-0.0605054876489
ACH-000025,-0.18535387292
ACH-000028,-0.387614215615
ACH-000030,-0.172726846771
ACH-000035,-0.340414846946
ACH-000036,-0.21032769505600002
ACH-000037,-0.212402075414
ACH-000039,-0.24079364115600002
ACH-000040,-0.023584411019799998
ACH-000041,-0.11718824523600001
ACH-000042,-0.0346885467608
ACH-000045,-0.246905181313
ACH-000047,-0.171435987654
ACH-000052,-0.264300800831
ACH-000053,-0.0911515990966
ACH-000054,-0.134099640624
ACH-000055,-0.5112747567729999
ACH-000060,-0.231407244254
ACH-000067,-0.126895476506
ACH-000070,0.33315956907600003
ACH-000075,-0.36526622393799996
ACH-000078,-0.408267192612
ACH-000082,-0.21056996088
ACH-000085,0.05060172341580001
ACH-000086,-0.37052321249
ACH-000087,-0.0999291705947
ACH-000092,-0.20837555678800002
ACH-000095,-0.252013539204
ACH-000097,-0.08108478527110001
ACH-000098,-0.344775075413
ACH-000099,-0.32581028721099997
ACH-000108,-0.237682900488
ACH-000113,-0.258854872509
ACH-000115,-0.141341808576
ACH-000116,0.0173952428477
ACH-000118,-0.242638429945
ACH-000120,-0.323938995342
ACH-000123,-0.157262213554
ACH-000127,-0.314740709389
ACH-000128,-0.178483693974
ACH-000132,-0.337813719278
ACH-000133,-0.21533999598
ACH-000137,0.0363312705571
ACH-000138,-0.15381543765
ACH-000142,-0.21163393311999998
ACH-000143,-0.119518775733
ACH-000146,-0.171801175015
ACH-000148,-0.053596649711499994
ACH-000150,-0.0534054905992
ACH-000152,-0.148879898246
ACH-000153,-0.366753910603
ACH-000159,-0.105796033042
ACH-000160,0.240454142057
ACH-000163,-0.133114023437
ACH-000167,0.442566167389
ACH-000168,-0.161679656693
ACH-000169,-0.072694258919
ACH-000178,-0.154071950527
ACH-000182,-0.0839438986668
ACH-000183,-0.031282382522999995
ACH-000188,-0.0172660101365
ACH-000189,-0.235432039797
ACH-000190,0.146716931377
ACH-000198,-0.156606306024
ACH-000204,-0.5718676694420001
ACH-000206,-0.24753404552799999
ACH-000207,0.16205345095899998
ACH-000211,-0.120203769965
ACH-000215,-0.060464449986899996
ACH-000221,-0.0153286151709
ACH-000222,-0.00905662188566
ACH-000223,-0.160526441009
ACH-000226,-0.015112076389600002
ACH-000227,0.023467683996799996
ACH-000228,-0.307946696516
ACH-000231,-0.08870188349199999
ACH-000232,-0.15459635512199998
ACH-000233,-0.341826729264
ACH-000234,0.00863095353923
ACH-000235,-0.259450912183
ACH-000237,-0.0019111207792000002
ACH-000238,0.0108433206302
ACH-000243,-0.18697582194200002
ACH-000244,0.167558210364
ACH-000246,-0.143205277607
ACH-000248,-0.0756594672877
ACH-000250,-0.156637055508
ACH-000251,-0.16193164747199998
ACH-000253,-0.0328081804714
ACH-000255,-0.08608135110889999
ACH-000256,-0.377093692425
ACH-000257,0.284711125058
ACH-000258,-0.11475930059
ACH-000259,-0.117309698169
ACH-000260,-0.233128914923
ACH-000261,-0.082425421739
ACH-000262,-0.032173091940700005
ACH-000263,-0.041853141633900005
ACH-000264,-0.29929096472800004
ACH-000265,-0.110980493128
ACH-000266,-0.277086548544
ACH-000272,-0.190558368492
ACH-000273,-0.16984837158100002
ACH-000274,0.0363151633346
ACH-000277,-0.122688934943
ACH-000278,-0.038482782697800005
ACH-000279,-0.11167337823
ACH-000280,-0.241259863792
ACH-000281,-0.39961061505400003
ACH-000288,-0.09663200923620001
ACH-000291,-0.09703677110589999
