,NES (10763)
ACH-000004,-0.310893256514
ACH-000007,-0.22838093154800002
ACH-000009,-0.413130776865
ACH-000011,-0.0223769056072
ACH-000012,-0.419788716013
ACH-000013,-0.266024240222
ACH-000014,-0.235145049903
ACH-000015,-0.255213939867
ACH-000017,-0.142021058203
ACH-000018,-0.343678758371
ACH-000019,-0.25674284818000004
ACH-000021,-0.35858276598899996
ACH-000022,-0.08472164019480001
ACH-000025,-0.264401929709
ACH-000028,-0.22997568565999998
ACH-000030,-0.25587391680599997
ACH-000035,-0.352622848251
ACH-000036,-0.314302345047
ACH-000037,-0.12854240455
ACH-000039,-0.283122701074
ACH-000040,-0.277142030532
ACH-000041,-0.117344077653
ACH-000042,-0.317361788738
ACH-000045,-0.22120022278700002
ACH-000047,-0.420845415949
ACH-000052,0.021894452191699998
ACH-000053,-0.44065023467000003
ACH-000054,-0.21659983788800002
ACH-000055,-0.196797908942
ACH-000060,-0.0658662179123
ACH-000067,-0.09699688330430001
ACH-000070,-0.37962240643899997
ACH-000075,0.07095747062669999
ACH-000078,-0.264638906107
ACH-000082,-0.214697292559
ACH-000085,-0.128161712007
ACH-000086,-0.40674528228100004
ACH-000087,-0.16010176807600002
ACH-000092,-0.337120121286
ACH-000095,-0.24418229220600002
ACH-000097,-0.342455334841
ACH-000098,-0.282372028283
ACH-000099,-0.23090773127300002
ACH-000108,-0.32562922763
ACH-000113,-0.30221634859499996
ACH-000115,-0.27203150667
ACH-000116,-0.281285501971
ACH-000118,-0.234101018964
ACH-000120,-0.280148163559
ACH-000123,-0.28277266718000005
ACH-000127,-0.33026679759
ACH-000128,-0.0322914964727
ACH-000132,-0.090606150053
ACH-000133,-0.175717459499
ACH-000137,-0.231429229925
ACH-000138,-0.28882376347
ACH-000142,-0.179911891722
ACH-000143,-0.298697197025
ACH-000146,-0.173444472971
ACH-000148,-0.322084346779
ACH-000150,-0.319037624024
ACH-000152,-0.251917170654
ACH-000153,-0.430399502844
ACH-000159,-0.189340344589
ACH-000160,-0.24395939802299998
ACH-000163,-0.34667930151
ACH-000167,0.0632787489334
ACH-000168,-0.191457675217
ACH-000169,-0.132694018297
ACH-000178,-0.108993549492
ACH-000182,-0.126804486523
ACH-000183,0.009476084687729999
ACH-000188,-0.264495190533
ACH-000189,-0.18595456376800001
ACH-000190,-0.29365644403200003
ACH-000198,-0.269671620258
ACH-000204,-0.5205176949979999
ACH-000206,-0.220672369335
ACH-000207,-0.0918746961841
ACH-000211,-0.228770243107
ACH-000215,-0.34914003024499995
ACH-000221,-0.20456341760699998
ACH-000222,-0.36966549781400004
ACH-000223,-0.09820322100989999
ACH-000226,-0.383035471374
ACH-000227,-0.13302032722
ACH-000228,-0.35325264617700003
ACH-000231,-0.274102364374
ACH-000232,-0.26357973680700003
ACH-000233,-0.21391223635099998
ACH-000234,-0.352337704243
ACH-000235,-0.361646682611
ACH-000237,-0.0721078319923
ACH-000238,-0.092091318962
ACH-000243,-0.2683616802
ACH-000244,-0.279597824221
ACH-000246,-0.34613156913500004
ACH-000248,-0.173027631387
ACH-000250,-0.309917780335
ACH-000251,-0.187552943516
ACH-000253,-0.269867552821
ACH-000255,-0.34822996491700003
ACH-000256,-0.20770046183899998
ACH-000257,-0.33773064961099997
ACH-000258,-0.14738033131
ACH-000259,-0.275584441769
ACH-000260,-0.232051576015
ACH-000261,-0.177127249518
ACH-000262,-0.0541343929193
ACH-000263,-0.00990992033297
ACH-000264,-0.350456747952
ACH-000265,-0.333121226151
ACH-000266,-0.268336593079
ACH-000272,-0.229817605442
ACH-000273,-0.371244958902
ACH-000274,0.0104507698855
ACH-000277,-0.132456082532
ACH-000278,-0.125213015241
ACH-000279,-0.164728486945
ACH-000280,-0.447283304387
ACH-000281,-0.434523260674
ACH-000288,-0.5248764341809999
ACH-000291,-0.155969412856
ACH-000293,-0.289984987325
ACH-000294,-0.34990050169299997
ACH-000295,-0.113092284392
ACH-000296,-0.383381633568
ACH-000302,-0.257836848938
ACH-000304,-0.104378284996
ACH-000307,-0.213544183442
ACH-000308,-0.348475982211
ACH-000310,-0.37075013251
ACH-000311,-0.508685194927
ACH-000312,-0.488328590477
ACH-000315,-0.35028016770900006
ACH-000316,0.029892469057800002
ACH-000317,-0.307108611028
ACH-000318,-0.273115402419
ACH-000319,-0.11379487097100001
ACH-000320,-0.5824029014500001
ACH-000322,-0.39437965169399997
ACH-000323,-0.10869628510099999
ACH-000324,-0.28155146355099997
ACH-000329,-0.233293262613
ACH-000330,-0.155403847298
ACH-000331,-0.0439326803564
ACH-000332,-0.264123210793
ACH-000334,-0.131453760373
ACH-000335,-0.116547130545
ACH-000336,-0.37117150075000005
ACH-000337,-0.337747611513
ACH-000339,-0.15217404746899998
ACH-000341,-0.32906773502799996
ACH-000348,-0.254351530674
ACH-000350,-0.47498866121000005
ACH-000352,-0.26731282238299997
ACH-000356,-0.17802526566100002
ACH-000361,-0.42402959311899996
ACH-000362,-0.222455486732
ACH-000363,-0.20878984642999998
ACH-000364,-0.15913753847999998
ACH-000365,-0.30775004279
ACH-000366,-0.277352140036
ACH-000368,-0.35968150068899996
ACH-000374,-0.17550209451200002
ACH-000375,-0.20339029232
ACH-000376,-0.233281991458
ACH-000381,-0.46832268462899995
ACH-000383,-0.294438681567
ACH-000387,-0.256978271621
ACH-000389,-0.17330617275199997
ACH-000390,-0.20298347005399997
ACH-000393,-0.08958024690659999
ACH-000395,-0.112532566527
ACH-000397,-0.234606959949
ACH-000401,0.047567217588400004
ACH-000402,-0.356214243029
ACH-000403,-0.241214945248
ACH-000404,0.04231669909659999
ACH-000406,-0.266831748989
ACH-000407,-0.30433735824999997
ACH-000408,-0.140061899839
ACH-000410,-0.0439440713547
ACH-000411,-0.282287856065
ACH-000414,-0.33712619965
ACH-000415,-0.327378044395
ACH-000416,-0.34632807161
ACH-000420,-0.0296079415306
ACH-000421,-0.286938980713
ACH-000424,-0.029484583321400002
ACH-000425,-0.107554463906
ACH-000426,-0.37856465770900005
ACH-000427,-0.34994062764300005
ACH-000433,-0.265691906199
ACH-000436,-0.44255874688999997
ACH-000444,-0.0968041150555
ACH-000445,-0.162827197463
ACH-000448,-0.165259939936
ACH-000450,-0.09210789809639999
ACH-000452,-0.195130372486
ACH-000454,-0.25210150795
ACH-000458,-0.254131192576
ACH-000459,-0.018869110453
ACH-000460,-0.233243672468
ACH-000461,-0.442854380181
ACH-000463,-0.45887487615500006
ACH-000464,-0.19966544486499999
ACH-000466,-0.178138863721
ACH-000467,-0.44601940526999995
ACH-000468,-0.41377072675800003
ACH-000469,-0.38562773802699996
ACH-000470,-0.0295703805549
ACH-000471,-0.17230395792599998
ACH-000472,-0.192870438581
ACH-000473,-0.25700874325
ACH-000475,-0.169229591115
ACH-000476,-0.16070066146099998
ACH-000477,-0.151188958617
ACH-000480,-0.18786648470400003
ACH-000481,-0.204685648397
ACH-000483,-0.0675224825838
ACH-000484,-0.23668275802299998
ACH-000485,-0.295923369133
ACH-000486,-0.287157222575
ACH-000487,-0.324151473741
ACH-000488,-0.18983989540600002
ACH-000490,-0.261844523689
ACH-000491,-0.42443980452200003
ACH-000495,-0.113402269035
ACH-000496,-0.273350200317
ACH-000499,-0.190384032771
ACH-000500,-0.247205921897
ACH-000502,-0.432424765679
ACH-000503,-0.399277813719
ACH-000505,-0.333269739236
ACH-000507,-0.273805098139
ACH-000510,-0.462455164943
ACH-000511,-0.12200535225400001
ACH-000512,-0.329088408391
ACH-000516,-0.0853390388673
ACH-000517,-0.226476526644
ACH-000518,-0.302280156293
ACH-000520,-0.00018167589975799997
ACH-000521,-0.508157335278
ACH-000522,-0.31205203830899997
ACH-000524,-0.355495722251
ACH-000527,-0.250790905648
ACH-000528,-0.304930776393
ACH-000537,-0.110902372194
ACH-000541,-0.147628984361
ACH-000542,-0.301354875539
ACH-000544,-0.197927156721
ACH-000545,-0.307275819441
ACH-000547,-0.34831495307300003
ACH-000548,-0.37565150853600004
ACH-000549,-0.18851325900899998
ACH-000550,-0.212420071809
ACH-000552,-0.368853069543
ACH-000556,-0.336064064185
ACH-000557,-0.248104080029
ACH-000570,-0.138187456781
ACH-000571,-0.235377521365
ACH-000573,-0.156006000228
ACH-000576,-0.178606315686
ACH-000580,-0.242533685464
ACH-000584,-0.169801095836
ACH-000585,-0.250941340653
ACH-000588,-0.260976927562
ACH-000589,-0.164369647937
ACH-000591,0.24046020586800002
ACH-000593,-0.36909319321
ACH-000600,-0.17643081035
ACH-000601,-0.37656552393299997
ACH-000604,-0.25730159703
ACH-000605,-0.29043730404
ACH-000606,-0.332710387732
ACH-000608,-0.175308683222
ACH-000614,-0.111658356612
ACH-000616,0.037845001982400005
ACH-000618,-0.20058219130199997
ACH-000619,-0.360948811814
ACH-000620,-0.20717681043699998
ACH-000621,-0.14938958126399998
ACH-000622,-0.106059716018
ACH-000623,-0.15784609989600001
ACH-000624,-0.194293563158
ACH-000627,-0.41728601132700005
ACH-000630,-0.333299230914
ACH-000632,0.056156066533399995
ACH-000633,-0.137768316288
ACH-000637,-0.0703018761217
ACH-000638,-0.279200512442
ACH-000646,0.0292698164634
ACH-000647,-0.355320319544
ACH-000648,-0.204348549945
ACH-000649,-0.170646305803
ACH-000651,-0.373919566622
ACH-000652,-0.46985819302500004
ACH-000653,0.07302408341639999
ACH-000657,-0.402819185127
ACH-000658,-0.370641784508
ACH-000661,-0.110296055076
ACH-000662,0.133629769107
ACH-000663,-0.14556971649599998
ACH-000665,-0.162645248164
ACH-000671,-0.25523316187
ACH-000673,-0.284916039064
ACH-000676,-0.242049678906
ACH-000677,-0.254413955665
ACH-000681,-0.280348705174
ACH-000682,-0.371692337825
ACH-000683,-0.659420486827
ACH-000684,-0.5569622325810001
ACH-000688,-0.154198647086
ACH-000693,-0.310209084833
ACH-000694,-0.197884510436
ACH-000695,-0.40228943069
ACH-000696,-0.20982430064
ACH-000697,-0.152844234341
ACH-000699,-0.106078192438
ACH-000701,-0.263340016088
ACH-000706,-0.37978131380099994
ACH-000711,-0.294064954465
ACH-000713,-0.23823851693300002
ACH-000714,-0.458271600799
ACH-000718,-0.196107505737
ACH-000720,-0.199572546171
ACH-000721,-0.20726543800099997
ACH-000724,-0.20328678359299998
ACH-000725,-0.384261669923
ACH-000732,-0.305061745919
ACH-000734,-0.312361389237
ACH-000735,-0.20247258039000002
ACH-000736,-0.0642896450934
ACH-000738,-0.14058983196900002
ACH-000746,-0.162925709584
ACH-000747,-0.341005052545
ACH-000748,-0.33890105483499994
ACH-000753,-0.37807867121600003
ACH-000756,-0.10406173576500001
ACH-000757,-0.565327978465
ACH-000758,-0.34620406649
ACH-000760,-0.189248704565
ACH-000763,-0.278761657463
ACH-000764,-0.484290750283
ACH-000765,-0.3561142813
ACH-000766,-0.20249787748700002
ACH-000767,-0.512735669436
ACH-000768,-0.171761444531
ACH-000769,-0.301820663255
ACH-000770,-0.185658802134
ACH-000771,-0.238775882476
ACH-000773,-0.403265447003
ACH-000776,-0.295887052967
ACH-000777,-0.322002408346
ACH-000778,-0.26332151340300003
ACH-000781,-0.323796596466
ACH-000782,-0.07779735342010001
