,TARS (6897)
ACH-000004,-1.66399016431
ACH-000007,-1.8687642179400004
ACH-000009,-1.89985317537
ACH-000011,-1.44964359942
ACH-000012,-1.6922802327700002
ACH-000013,-1.6963113988499998
ACH-000014,-1.82532195914
ACH-000015,-1.4197525867200003
ACH-000017,-1.49350802301
ACH-000018,-1.59366400419
ACH-000019,-2.01646410971
ACH-000021,-1.54028789609
ACH-000022,-1.87309852937
ACH-000025,-1.57690366015
ACH-000028,-1.37945583675
ACH-000030,-1.4487432655599999
ACH-000035,-1.3724305140700002
ACH-000036,-1.7337977220900003
ACH-000037,-1.57073622454
ACH-000039,-1.7908030897099998
ACH-000040,-1.60905558416
ACH-000041,-1.56865884488
ACH-000042,-1.8503516720400002
ACH-000045,-1.56754119481
ACH-000047,-1.53117073889
ACH-000052,-1.51820374441
ACH-000053,-1.78013290607
ACH-000054,-1.88224714349
ACH-000055,-1.49194633071
ACH-000060,-1.3671884268099999
ACH-000067,-1.77550047898
ACH-000070,-1.7518521686900002
ACH-000075,-1.30114485957
ACH-000078,-1.9278883694599998
ACH-000082,-1.4626017368000002
ACH-000085,-1.23699006344
ACH-000086,-1.7201430597999998
ACH-000087,-1.5474724254899999
ACH-000092,-1.72173401118
ACH-000095,-1.8529068939500002
ACH-000097,-1.6693899273
ACH-000098,-1.6501694332899999
ACH-000099,-1.7913134340599999
ACH-000108,-1.7488023231099998
ACH-000113,-1.65919978569
ACH-000115,-1.7680153839700001
ACH-000116,-1.3836896026299998
ACH-000118,-1.50016328262
ACH-000120,-1.35415582343
ACH-000123,-1.6845567085799997
ACH-000127,-1.60083666389
ACH-000128,-1.92117604352
ACH-000132,-1.7276869344599999
ACH-000133,-1.4638535191100002
ACH-000137,-1.80081195907
ACH-000138,-1.6055359643399998
ACH-000142,-1.4984118050100002
ACH-000143,-1.5107313974
ACH-000146,-1.66428168391
ACH-000148,-1.88405777878
ACH-000150,-1.59031949025
ACH-000152,-1.63982678838
ACH-000153,-1.6532286044
ACH-000159,-1.9205868299000002
ACH-000160,-1.8100558446000001
ACH-000163,-1.6058840382799997
