,CCNH (902)
ACH-000004,-1.1456371313
ACH-000007,-1.12558038841
ACH-000009,-0.803288441106
ACH-000011,-1.06084580938
ACH-000012,-0.9956498230130001
ACH-000013,-0.958403548714
ACH-000014,-1.24330806534
ACH-000015,-1.28045263949
ACH-000017,-1.0904925917000001
ACH-000018,-1.05237662686
ACH-000019,-0.9293381438249999
ACH-000021,-1.16228715629
ACH-000022,-0.9709165106100001
ACH-000025,-0.805445518511
ACH-000028,-1.0195732860299997
ACH-000030,-1.00430797286
ACH-000035,-1.09639279929
ACH-000036,-0.983703592914
ACH-000037,-1.64363648204
ACH-000039,-1.06558153505
ACH-000040,-1.1070833213299998
ACH-000041,-1.4344661569600001
ACH-000042,-1.2686995546100002
ACH-000045,-1.201839552
ACH-000047,-0.874311686495
ACH-000052,-1.1698093930700002
ACH-000053,-1.11046998
ACH-000054,-1.14049339588
ACH-000055,-1.10862085203
ACH-000060,-0.962847944676
ACH-000067,-1.1716029266399999
ACH-000070,-1.10389784064
ACH-000075,-0.953008500497
ACH-000078,-1.1964172882200002
ACH-000082,-1.3891365949899999
ACH-000085,-1.2469120019700002
ACH-000086,-1.19855861878
ACH-000087,-1.53568114542
ACH-000092,-0.876553426372
ACH-000095,-1.1022857132100001
ACH-000097,-1.23482136292
ACH-000098,-0.8667245791600001
ACH-000099,-1.1823573986700002
ACH-000108,-1.45153662666
ACH-000113,-1.01259153198
ACH-000115,-1.22542662366
ACH-000116,-1.1454660143100002
ACH-000118,-1.12420026842
ACH-000120,-1.2996270289299998
ACH-000123,-1.2841069055
ACH-000127,-0.884990341715
ACH-000128,-1.0010459870100001
ACH-000132,-1.01528304496
ACH-000133,-1.0571774164799999
ACH-000137,-1.46014964557
ACH-000138,-1.14827908806
ACH-000142,-1.17246707731
ACH-000143,-1.0404671615899999
ACH-000146,-1.26525429869
ACH-000148,-1.31007792316
ACH-000150,-1.0321442838600001
ACH-000152,-1.05757148744
ACH-000153,-0.851868999433
ACH-000159,-1.06181691955
ACH-000160,-0.9777781989650001
ACH-000163,-1.09168995044
ACH-000167,-0.8794892757520001
ACH-000168,-1.37315221909
ACH-000169,-1.16231645296
ACH-000178,-1.10882392053
ACH-000182,-1.22913154403
ACH-000183,-1.15960282553
ACH-000188,-0.9741553955519999
ACH-000189,-0.8759639959309999
ACH-000190,-0.871358103373
ACH-000198,-0.938197232873
ACH-000204,-1.2313060440999999
ACH-000206,-1.0603291263099999
ACH-000207,-0.731595135983
ACH-000211,-0.926371142305
ACH-000215,-1.08665423209
ACH-000221,-1.2692283775
ACH-000222,-1.2396174736299999
ACH-000223,-1.10561659568
ACH-000226,-1.2078302993799999
ACH-000227,-0.79669296536
ACH-000228,-1.2305401599099999
ACH-000231,-0.887232424437
ACH-000232,-0.9814289606309999
ACH-000233,-0.910453078818
ACH-000234,-0.861467947823
ACH-000235,-1.11589960664
ACH-000237,-1.10070189282
ACH-000238,-0.830857304411
ACH-000243,-1.32993722896
ACH-000244,-1.26594247323
ACH-000246,-0.9235296173630001
ACH-000248,-1.01228200137
ACH-000250,-0.8406542913480001
ACH-000251,-1.1162543687
ACH-000253,-1.26459850916
ACH-000255,-1.11014175672
ACH-000256,-1.13050444982
ACH-000257,-1.2794559321899999
ACH-000258,-1.5854156082799997
ACH-000259,-1.22081016466
ACH-000260,-1.16304320328
ACH-000261,-1.10618845584
ACH-000262,-1.3961310656400001
ACH-000263,-0.852550576881
ACH-000264,-1.0577397825900001
ACH-000265,-1.0273032533
ACH-000266,-1.30118957475
ACH-000272,-1.16060943316
ACH-000273,-1.21513565997
ACH-000274,-1.0060704252200001
ACH-000277,-1.0174378179799999
ACH-000278,-1.22464505735
ACH-000279,-1.20338716613
ACH-000280,-0.9957375814499999
ACH-000281,-0.806797649343
ACH-000288,-0.7778579233480001
ACH-000291,-1.09109644979
ACH-000293,-0.747990545314
ACH-000294,-1.24116385999
ACH-000295,-1.140047276
ACH-000296,-1.46705906142
ACH-000302,-1.3486859913999998
ACH-000304,-1.00207709866
ACH-000307,-1.04458617335
ACH-000308,-1.11367224404
ACH-000310,-0.956121556836
ACH-000311,-1.27992850768
ACH-000312,-1.34342714935
ACH-000315,-1.28451332933
ACH-000316,-1.23039317168
ACH-000317,-1.34899433151
ACH-000318,-1.24250554673
ACH-000319,-1.06216872816
ACH-000320,-1.12116026698
ACH-000322,-1.05170522394
ACH-000323,-1.2950262482200001
ACH-000324,-1.0834140457700001
ACH-000329,-1.06028955232
ACH-000330,-1.22628213494
ACH-000331,-1.2260504160799999
ACH-000332,-1.01517517861
ACH-000334,-0.847440452224
ACH-000335,-1.1242126928
ACH-000336,-1.33757590971
ACH-000337,-1.1861006600200001
ACH-000339,-1.2191333797700001
ACH-000341,-1.18059252133
ACH-000348,-1.21216576676
ACH-000350,-0.9449714633600002
ACH-000352,-0.937493767535
ACH-000356,-1.23507298994
ACH-000361,-0.805277007036
ACH-000362,-1.2498032401799999
ACH-000363,-1.16959283854
ACH-000364,-1.24311912502
ACH-000365,-1.16176799046
ACH-000366,-1.0016010241600002
ACH-000368,-1.18867397692
ACH-000374,-0.8335375232690001
ACH-000375,-1.01655613338
ACH-000376,-0.761653145799
ACH-000381,-1.1560409968799998
ACH-000383,-0.836699205955
ACH-000387,-1.54417675323
ACH-000389,-1.2912090133399998
ACH-000390,-1.3197213082600001
ACH-000393,-1.2026975472299999
ACH-000395,-0.9571910676109999
