,PPM1B (5495)
ACH-000004,0.0202161470156
ACH-000007,-0.10154259924799999
ACH-000009,-0.158515260536
ACH-000011,-0.0718755842225
ACH-000012,-0.0239458974945
ACH-000013,0.04522312639290001
ACH-000014,-0.0636834396269
ACH-000015,0.0329895586494
ACH-000017,-0.17020430835099998
ACH-000018,-0.32145417729200004
ACH-000019,-0.0664416813235
ACH-000021,-0.14351242241599999
ACH-000022,-0.0580895602973
ACH-000025,-0.0727864399972
ACH-000028,-0.115189099114
ACH-000030,-0.049057379058600005
ACH-000035,-0.16182667754399999
ACH-000036,-0.0520136933809
ACH-000037,-0.140755492834
ACH-000039,0.276038306927
ACH-000040,-0.000886411963844
ACH-000041,0.0269775526676
ACH-000042,-0.0568544002456
ACH-000045,-0.100903710251
ACH-000047,-0.112875854218
ACH-000052,-0.0386137829928
ACH-000053,0.045652012075800004
ACH-000054,-0.159007908448
ACH-000055,-0.16905662873100002
ACH-000060,0.0315258847702
ACH-000067,-0.0737686517824
ACH-000070,0.171393377377
ACH-000075,-0.355253268965
ACH-000078,-0.09113240661149999
ACH-000082,0.0741833964883
ACH-000085,0.0341646383426
ACH-000086,-0.196783131889
ACH-000087,-0.0840304722779
ACH-000092,-0.128732740477
ACH-000095,-0.09276193078289999
ACH-000097,-0.0685362060631
ACH-000098,0.013492415382999999
ACH-000099,-0.14422706343699998
ACH-000108,0.0532559947963
ACH-000113,-0.00742969902002
ACH-000115,-0.0985233898289
ACH-000116,-0.261941487536
ACH-000118,-0.156932348027
ACH-000120,0.013336539141799999
ACH-000123,-0.19691457523699998
ACH-000127,-0.042578098762499995
ACH-000128,-0.0127570113803
ACH-000132,-0.5262659124819999
ACH-000133,-0.09929581669469999
ACH-000137,-0.0441324101573
ACH-000138,-0.191742554841
ACH-000142,-0.0163514856072
ACH-000143,-0.11949242106899999
ACH-000146,0.045471935146
ACH-000148,-0.05573986233469999
ACH-000150,-0.0840633410427
ACH-000152,-0.028945763024
ACH-000153,0.0518276469317
ACH-000159,-0.18358906785700002
ACH-000160,-0.0515661336871
ACH-000163,0.0339061565599
ACH-000167,-0.00714115161738
ACH-000168,0.00650312955558
ACH-000169,-0.186338059456
ACH-000178,-0.0427492268718
ACH-000182,-0.115924129974
ACH-000183,0.04960121907290001
ACH-000188,0.118848211157
ACH-000189,-0.157462015376
ACH-000190,-0.0653452970568
ACH-000198,-0.041760319418099996
ACH-000204,-0.165851870769
ACH-000206,0.12579565058800002
ACH-000207,-0.20111271937199998
ACH-000211,-0.14076803605000002
ACH-000215,-0.18120992720400003
ACH-000221,0.0076495781000399995
ACH-000222,0.0755000682497
ACH-000223,-0.278160264659
ACH-000226,-0.112931847777
ACH-000227,-0.369403045719
ACH-000228,-0.0357694055051
ACH-000231,-0.04746050561409999
ACH-000232,-0.03899737230730001
ACH-000233,-0.0509710019134
ACH-000234,-0.22210870584800002
ACH-000235,0.0156820798817
ACH-000237,-0.08901651620710001
ACH-000238,-0.13316811121799998
ACH-000243,-0.0347140305539
ACH-000244,0.07396699554380001
ACH-000246,-0.14312533703299998
ACH-000248,-0.309820765748
ACH-000250,0.055135558715000005
ACH-000251,0.146415007244
ACH-000253,-0.110100427488
ACH-000255,-0.0371704466733
ACH-000256,-0.24906384189599998
ACH-000257,0.0381223621505
ACH-000258,-0.06600757318530001
ACH-000259,0.0579800180421
ACH-000260,-0.013366817119700001
ACH-000261,-0.10399810652899999
ACH-000262,-0.163542250053
ACH-000263,-0.32169889256900003
ACH-000264,-0.136087244173
ACH-000265,-0.0369135882372
ACH-000266,-0.0249613703262
ACH-000272,-0.146177244505
ACH-000273,-0.124294124834
ACH-000274,-0.011161349953299999
ACH-000277,-0.12556533533
ACH-000278,-0.1143345168
ACH-000279,0.027653419157599998
