,GPT (2875)
ACH-000004,-0.44006812529899997
ACH-000007,-0.213986071674
ACH-000009,0.11732666511800001
ACH-000011,-0.198114653442
ACH-000012,0.0675465673419
ACH-000013,0.031246974438099998
ACH-000014,-0.132105607541
ACH-000015,0.204863704923
ACH-000017,-0.172016829485
ACH-000018,-0.25588950789500003
ACH-000019,-0.1703663375
ACH-000021,-0.116985714725
ACH-000022,0.041026644702
ACH-000025,-0.101907439098
ACH-000028,0.042677997715499995
ACH-000030,-0.144195592057
ACH-000035,-0.0516572246246
ACH-000036,-0.20637233992600001
ACH-000037,-0.0442174787983
ACH-000039,0.128905713683
ACH-000040,-0.41532422935
ACH-000041,-0.158663929825
ACH-000042,-0.16396070075400002
ACH-000045,-0.19865080980799998
ACH-000047,0.00885381181254
ACH-000052,-0.08161155654919999
ACH-000053,-0.05550041896269999
ACH-000054,-0.076238214703
ACH-000055,0.0237746514109
ACH-000060,-0.293592348698
ACH-000067,0.0486035320624
ACH-000070,0.018415847683700002
ACH-000075,-0.196280862494
ACH-000078,-0.160156282673
ACH-000082,-0.17455129468199998
ACH-000085,-0.00829837140672
ACH-000086,-0.177669094388
ACH-000087,-0.16510151597699999
ACH-000092,-0.227242836789
ACH-000095,-0.08504015771230002
ACH-000097,-0.177900916355
ACH-000098,0.00536296873337
ACH-000099,0.066245227571
ACH-000108,-0.021853239583
ACH-000113,-0.0361274317676
ACH-000115,-0.338542093595
ACH-000116,0.0231880968075
ACH-000118,-0.059067443624
ACH-000120,-0.17405844093800002
ACH-000123,-0.0294354821419
ACH-000127,-0.128388758157
ACH-000128,-0.261041522165
ACH-000132,-0.0110047839385
ACH-000133,-0.208405093658
ACH-000137,-0.238201970924
ACH-000138,-0.187107000869
ACH-000142,-0.144476221787
ACH-000143,-0.301239277174
ACH-000146,-0.11347536116399999
ACH-000148,-0.261990981516
ACH-000150,-0.35162947255099997
ACH-000152,-0.0490183069721
ACH-000153,0.365101252546
ACH-000159,-0.100558082466
ACH-000160,0.23329011454100002
ACH-000163,-0.125140681129
ACH-000167,0.36708898689900005
ACH-000168,0.0368929705939
ACH-000169,-0.0569107475561
ACH-000178,-0.17617663325199998
ACH-000182,-0.0719250192077
ACH-000183,-0.233615239999
ACH-000188,-0.12871474008300002
ACH-000189,-0.20838501470600002
ACH-000190,0.348611671294
ACH-000198,-0.36811709670299997
ACH-000204,0.225266721583
ACH-000206,0.317586779061
ACH-000207,-0.234252955255
ACH-000211,-0.00923983241866
ACH-000215,0.014245870355
ACH-000221,-0.23565187801399998
ACH-000222,-0.101530800418
ACH-000223,-0.252511278539
ACH-000226,0.025165666495699998
ACH-000227,-0.341591663606
ACH-000228,-0.291302568217
ACH-000231,-0.0906939646802
