,MAG (4099)
ACH-000004,-0.278723336201
ACH-000007,-0.11752342165200001
ACH-000009,-0.152674220749
ACH-000011,-0.08476621148
ACH-000012,-0.241775395032
ACH-000013,-0.518561802996
ACH-000014,-0.32465844054000004
ACH-000015,-0.38683918053000005
ACH-000017,-0.0991706168413
ACH-000018,-0.157340304925
ACH-000019,-0.121731404376
ACH-000021,-0.357736958822
ACH-000022,-0.408244295863
ACH-000025,-0.164366530516
ACH-000028,-0.222738071461
ACH-000030,-0.279010418524
ACH-000035,-0.293241768636
ACH-000036,-0.304821853045
ACH-000037,-0.10711754638399999
ACH-000039,-0.358278452895
ACH-000040,-0.09997317093589998
ACH-000041,-0.315745751167
ACH-000042,-0.236377548849
ACH-000045,-0.237814020114
ACH-000047,-0.201664014828
ACH-000052,-0.287405980776
ACH-000053,-0.26006370966
ACH-000054,-0.12927109552000002
ACH-000055,-0.305374389815
ACH-000060,-0.0888501475686
ACH-000067,-0.20079920116799999
ACH-000070,-0.174061166577
ACH-000075,-0.272015971332
ACH-000078,-0.24701051415
ACH-000082,-0.09709721100860001
ACH-000085,-0.0763006903183
ACH-000086,-0.27850355583700004
ACH-000087,-0.150925839179
ACH-000092,-0.38407518891000003
ACH-000095,-0.20405022204300002
ACH-000097,-0.396965258262
ACH-000098,-0.352374723996
ACH-000099,-0.18588986061999999
ACH-000108,-0.21201304982799998
ACH-000113,-0.291233918636
ACH-000115,-0.271283731796
ACH-000116,-0.0954582000545
ACH-000118,-0.303206569324
ACH-000120,-0.13601765196499999
ACH-000123,-0.293818171986
ACH-000127,-0.137389919032
ACH-000128,-0.171138594304
ACH-000132,-0.140984469905
ACH-000133,-0.227927363439
ACH-000137,-0.501461911283
ACH-000138,-0.42295562694
ACH-000142,-0.347466077232
ACH-000143,-0.34994925577200003
ACH-000146,0.020689211745799997
ACH-000148,-0.119379380101
ACH-000150,-0.221405193768
ACH-000152,-0.314815748536
ACH-000153,-0.587965010508
ACH-000159,-0.4509913066
ACH-000160,-0.174151593228
ACH-000163,-0.2754754857
ACH-000167,-0.34696234339000004
ACH-000168,-0.345374325882
ACH-000169,0.0796639868865
ACH-000178,-0.19777750861200002
ACH-000182,-0.209231719074
ACH-000183,-0.25663174348900003
ACH-000188,-0.31812780716999994
ACH-000189,-0.211913877262
ACH-000190,-0.192479869348
ACH-000198,-0.0391930385945
ACH-000204,-0.29674398876499997
ACH-000206,-0.185859726727
ACH-000207,-0.33727872126999997
ACH-000211,-0.145839951783
