,NAAA (27163)
ACH-000004,-0.13744020289
ACH-000007,-0.308138771253
ACH-000009,-0.0668801072726
ACH-000011,-0.169626475313
ACH-000012,-0.0667942074989
ACH-000013,-0.0382517082966
ACH-000014,-0.190692343913
ACH-000015,-0.14064856623299998
ACH-000017,-0.07940461429370001
ACH-000018,-0.0155675464784
ACH-000019,-0.13509828173
ACH-000021,-0.16880908752999998
ACH-000022,0.0210172137112
ACH-000025,-0.15064551751
ACH-000028,-0.19731009618
ACH-000030,-0.0223173075918
ACH-000035,-0.13737352136800002
ACH-000036,-0.0849199836919
ACH-000037,0.07436731396139999
ACH-000039,-0.185732386759
ACH-000040,-0.299517332904
ACH-000041,-0.200315724582
ACH-000042,-0.17835239134300002
ACH-000045,-0.0627791318514
ACH-000047,0.0833720837237
ACH-000052,0.130394804921
ACH-000053,-0.200694813055
ACH-000054,0.020859608108900002
ACH-000055,-0.28789563461199996
ACH-000060,-0.24025018901999998
ACH-000067,-0.321642801483
ACH-000070,-0.0781954878801
ACH-000075,-0.41697535656499995
ACH-000078,-0.0796862635498
ACH-000082,-0.0613053520195
ACH-000085,0.200615475908
ACH-000086,-0.129954953642
ACH-000087,-0.234083767667
ACH-000092,-0.014491238491499999
ACH-000095,-0.281619053143
ACH-000097,-0.24065253141800003
ACH-000098,-0.114928078089
ACH-000099,-0.0701901927417
ACH-000108,-0.246419444974
ACH-000113,0.0086530065206
ACH-000115,0.026622102171
ACH-000116,-0.0337922653722
ACH-000118,-0.123104028607
ACH-000120,0.14862456028100002
ACH-000123,-0.010636144039
ACH-000127,-0.09431183966389999
ACH-000128,-0.17082880890299998
ACH-000132,-0.175028640344
ACH-000133,-0.11477529108
ACH-000137,-0.0591405634506
ACH-000138,0.0387337250306
ACH-000142,-0.300530187407
ACH-000143,-0.19342773886300002
ACH-000146,-0.24895966925500002
ACH-000148,-0.157774080342
ACH-000150,-0.138418577307
ACH-000152,-0.0515741569809
ACH-000153,-0.453762535476
ACH-000159,-0.06756809512
ACH-000160,-0.235969677529
ACH-000163,-0.336390500885
ACH-000167,-0.184074586167
ACH-000168,-0.155144173058
ACH-000169,-0.203131032291
ACH-000178,-0.0819301248027
ACH-000182,-0.0515325429186
ACH-000183,-0.132082757228
ACH-000188,-0.17383033712200002
ACH-000189,-0.26161860623000005
ACH-000190,-0.0409705924856
ACH-000198,-0.178148679182
ACH-000204,-0.148004771184
ACH-000206,-0.033390986608
ACH-000207,-0.29082140866399997
ACH-000211,-0.0158187455176
ACH-000215,-0.209659004378
ACH-000221,-0.203688595199
ACH-000222,-0.194277215191
ACH-000223,0.0291610214878
ACH-000226,-0.222908268442
ACH-000227,0.0132599372993
ACH-000228,-0.47863611185800004
ACH-000231,-0.22094946858199999
ACH-000232,-0.130661952582
ACH-000233,0.0667960708081
ACH-000234,-0.0838587715003
ACH-000235,-0.0965685344311
ACH-000237,-0.248500482215
ACH-000238,-0.243230307454
ACH-000243,-0.101924116765
ACH-000244,-0.20262775817099998
ACH-000246,0.0542360394608
ACH-000248,-0.29801199869399997
ACH-000250,0.0595926562249
ACH-000251,-0.0346795502215
ACH-000253,-0.123730478918
ACH-000255,-0.10273970181099999
ACH-000256,-0.018366268922
ACH-000257,-0.036530599776
ACH-000258,-0.155514386836
ACH-000259,-0.131202112623
ACH-000260,-0.049330126586
ACH-000261,-0.106154629972
ACH-000262,-0.671437774866
ACH-000263,-0.23945130453400001
ACH-000264,-0.0413929505458
ACH-000265,-0.253042638893
ACH-000266,-0.15549558808
ACH-000272,-0.190574163021
ACH-000273,-0.0015373110626300003
ACH-000274,-0.0258170296501
ACH-000277,-0.0507781937373
ACH-000278,-0.0682039426349
ACH-000279,-0.061887222756000004
ACH-000280,-0.229895403259
ACH-000281,0.148576248409
ACH-000288,0.024487535144599996
ACH-000291,-0.28858753868000003
ACH-000293,-0.053550519346000004
ACH-000294,0.028994372422599998
ACH-000295,-0.184315176402
ACH-000296,-0.177474629507
ACH-000302,-0.046298380938999996
ACH-000304,-0.105943577118
ACH-000307,-0.10600080160900001
ACH-000308,-0.130580620696
ACH-000310,-0.220614417539
ACH-000311,-0.237467940425
ACH-000312,-0.138591352686
ACH-000315,-0.0896144888427
ACH-000316,-0.251543931722
ACH-000317,-0.259176503138
ACH-000318,-0.1422682911
ACH-000319,-0.265805666007
ACH-000320,-0.25094087522799996
ACH-000322,-0.397550622948
ACH-000323,-0.13145130369000002
ACH-000324,-0.059497962653
ACH-000329,-0.13093530856799998
ACH-000330,-0.20696787123100002
ACH-000331,0.0494171825856
ACH-000332,-0.11157834431399999
ACH-000334,-0.061632348642800004
ACH-000335,-0.196752999153
ACH-000336,-0.10107832886399999
ACH-000337,-0.286867678519
ACH-000339,-0.28663129077
ACH-000341,-0.12060863710400001
ACH-000348,-0.33217140001999995
ACH-000350,-0.115518588402
ACH-000352,-0.048895824529
ACH-000356,-0.105991842536
ACH-000361,-0.303277099138
ACH-000362,-0.10274761647700001
ACH-000363,-0.120062783809
ACH-000364,0.0632138541924
ACH-000365,0.0122170466893
ACH-000366,-0.225995602219
ACH-000368,-0.20000879541299998
ACH-000374,-0.151227801833
ACH-000375,-0.24113086537099998
ACH-000376,0.0699102971886
ACH-000381,-0.035122387129
ACH-000383,-0.0578443903824
ACH-000387,-0.0004742991359730001
ACH-000389,-0.18901464827199999
ACH-000390,-0.123553637424
