,AES (166)
ACH-000004,-0.266561185277
ACH-000007,0.10429427255899999
ACH-000009,-0.14251335651
ACH-000011,-0.396596080123
ACH-000012,-0.154657048463
ACH-000013,-0.251570220975
ACH-000014,-0.0989295308347
ACH-000015,-0.29973394059999997
ACH-000017,-0.399501931411
ACH-000018,-0.137150993338
ACH-000019,-0.152324297419
ACH-000021,-0.262004080641
ACH-000022,-0.113935696009
ACH-000025,-0.264739379587
ACH-000028,-0.38924166023699996
ACH-000030,-0.256230526056
ACH-000035,-0.35044903223800006
ACH-000036,-0.156661206379
ACH-000037,-0.168812413802
ACH-000039,-0.179492894329
ACH-000040,-0.202234982336
ACH-000041,-0.20572936924000002
ACH-000042,-0.127373006145
ACH-000045,-0.146049968404
ACH-000047,-0.138510523881
ACH-000052,-0.313767974979
ACH-000053,-0.14766255116
ACH-000054,-0.46743510226
ACH-000055,-0.0547368105363
ACH-000060,-0.297109883383
ACH-000067,-0.331004971793
ACH-000070,-0.05577180193109999
ACH-000075,-0.26822444600400003
ACH-000078,-0.109985310175
ACH-000082,-0.20798946906500002
ACH-000085,-0.38592978861
ACH-000086,-0.18616166394
ACH-000087,-0.00446975824441
ACH-000092,-0.275431099367
ACH-000095,-0.38599535016500003
ACH-000097,-0.40824784603000003
ACH-000098,-0.467295046266
ACH-000099,-0.332405618153
ACH-000108,-0.104815837423
ACH-000113,-0.23520962698399997
ACH-000115,0.04764572854830001
ACH-000116,-0.17632580543200002
ACH-000118,-0.0547814638787
ACH-000120,-0.249572619549
ACH-000123,-0.224886077182
ACH-000127,-0.151182509682
ACH-000128,-0.5033362937610001
ACH-000132,-0.12501533228
ACH-000133,-0.22799293643000004
ACH-000137,-0.0229104787353
ACH-000138,-0.17459904620000002
ACH-000142,-0.19679831160300001
ACH-000143,-0.321253086915
ACH-000146,-0.110652346086
ACH-000148,-0.27743808256700003
ACH-000150,-0.33697396271799995
ACH-000152,-0.267524657583
ACH-000153,-0.12131128522
ACH-000159,-0.08306579707169999
ACH-000160,0.212848179149
ACH-000163,-0.040260939680599996
ACH-000167,0.220546689653
ACH-000168,-0.31117558042
ACH-000169,-0.238915041909
ACH-000178,0.0756380582775
ACH-000182,-0.177653834111
ACH-000183,-0.20537362596099998
ACH-000188,-0.417509206672
ACH-000189,-0.28831640312600004
ACH-000190,0.238245479003
ACH-000198,-0.236522056449
ACH-000204,-0.314068592882
ACH-000206,-0.412136176458
ACH-000207,-0.540014827139
ACH-000211,-0.232484928629
ACH-000215,-0.0815599005683
ACH-000221,-0.059709879052
ACH-000222,-0.137156225705
ACH-000223,-0.27638929028000003
ACH-000226,-0.163523213652
ACH-000227,-0.141838038962
ACH-000228,-0.011742490683200001
ACH-000231,-0.164841613515
