,HIRIP3 (8479)
ACH-000004,-0.0582661549382
ACH-000007,-0.0413201383666
ACH-000009,0.09760465861810001
ACH-000011,-0.0991310970788
ACH-000012,0.0497330735725
ACH-000013,-0.08346169007639999
ACH-000014,0.18374910025199997
ACH-000015,-0.0366551091455
ACH-000017,-0.007558970173449999
ACH-000018,0.054776030550800006
ACH-000019,0.0347388999299
ACH-000021,-0.123016041831
ACH-000022,0.025973065336799998
ACH-000025,-0.1232718235
ACH-000028,-0.286809880911
ACH-000030,0.135153647012
ACH-000035,-0.0547643570979
ACH-000036,-0.07693772529
ACH-000037,0.0816574598665
ACH-000039,-0.0596405639458
ACH-000040,-0.116306201796
ACH-000041,-0.058314108942300005
ACH-000042,0.0660006640123
ACH-000045,-0.009137597188350001
ACH-000047,0.12141311795700001
ACH-000052,-0.133164495197
ACH-000053,0.0737141065395
ACH-000054,-0.08753545705900001
ACH-000055,-0.0052505192862100005
ACH-000060,0.10283159251499999
ACH-000067,0.0254940876112
ACH-000070,0.09677766277930001
ACH-000075,-0.09316618597160001
ACH-000078,0.0710644430808
ACH-000082,-0.09684605668889999
ACH-000085,-0.0161867778306
ACH-000086,0.172385431691
ACH-000087,-0.0153087173902
ACH-000092,-0.105203303222
ACH-000095,0.0270885695597
ACH-000097,-0.091613328836
ACH-000098,-0.101729432237
ACH-000099,0.0558524048251
ACH-000108,0.151716588974
ACH-000113,-0.05319955145790001
ACH-000115,0.0157609856293
ACH-000116,-0.08935979405439999
ACH-000118,0.026475860153799997
ACH-000120,0.0193729428199
ACH-000123,-0.0496645742197
ACH-000127,-0.198513635981
ACH-000128,0.09419790188039999
ACH-000132,-0.065021622369
ACH-000133,0.06976387875489999
ACH-000137,-0.180570421377
ACH-000138,0.10883927200999999
ACH-000142,-0.14080400582
ACH-000143,0.07074660942910001
ACH-000146,-0.111419221473
ACH-000148,0.00826920798678
ACH-000150,-0.125944562092
ACH-000152,-0.0874737267533
ACH-000153,-0.0651801488799
ACH-000159,0.00969987194087
ACH-000160,0.159848033306
ACH-000163,0.048371349999
ACH-000167,0.04269766995569999
ACH-000168,-0.171560116421
ACH-000169,-0.006076635208130001
ACH-000178,-0.042810871134699995
ACH-000182,-0.130360048432
ACH-000183,-0.037415939243
ACH-000188,0.128553133404
ACH-000189,-0.11983510514000001
ACH-000190,0.0951468296702
ACH-000198,0.05098250460940001
ACH-000204,-0.24283795614999998
ACH-000206,-0.059893068794
ACH-000207,-0.0481606753216
ACH-000211,0.16872532160999998
ACH-000215,-0.08533359306220001
ACH-000221,-0.24007395450999997
ACH-000222,-0.257439472854
ACH-000223,-0.049471154435
ACH-000226,-0.11178189359000001
ACH-000227,0.0153765737405
ACH-000228,-0.0461588538605
ACH-000231,0.0162283490405
ACH-000232,-0.0045289860238100004
ACH-000233,-0.12236660696799999
ACH-000234,0.00652889524589
ACH-000235,-0.03614996246030001
ACH-000237,0.120992585631
ACH-000238,0.179077639782
ACH-000243,-0.170816352209
ACH-000244,-0.11296365286599999
ACH-000246,-0.169258981219
ACH-000248,-0.0109788495514
ACH-000250,-0.038648710132599996
ACH-000251,-0.152807574332
ACH-000253,0.00925361405539
ACH-000255,-0.102725356685
ACH-000256,0.233145929965
ACH-000257,0.21134605292999997
ACH-000258,0.18046919693500002
ACH-000259,-0.058969768064400005
ACH-000260,0.0105277349259
ACH-000261,-0.10939975273
ACH-000262,-0.271867332437
ACH-000263,0.137334105165
ACH-000264,-0.128756486783
ACH-000265,-0.11206358359600001
ACH-000266,-0.111270965716
ACH-000272,0.0170590873255
ACH-000273,0.0708024240763
ACH-000274,0.0127688774157
ACH-000277,-0.089003368308
ACH-000278,0.06349417877539999
