,BOD1 (91272)
ACH-000004,-0.282620816433
ACH-000007,-0.150708884635
ACH-000009,-0.377850702347
ACH-000011,-0.152036300352
ACH-000012,-0.17955194502099997
ACH-000013,-0.109445192445
ACH-000014,-0.271998741025
ACH-000015,-0.23389272371300002
ACH-000017,-0.24804039921100002
ACH-000018,-0.059054377892699995
ACH-000019,-0.325077259332
ACH-000021,-0.200079264602
ACH-000022,-0.288633135594
ACH-000025,0.0908464623439
ACH-000028,-0.328391313098
ACH-000030,-0.11847297849999999
ACH-000035,-0.067662109009
ACH-000036,-0.209698784391
ACH-000037,-0.199034143554
ACH-000039,-0.5105518704640001
ACH-000040,-0.03920767944280001
ACH-000041,-0.0491647426586
ACH-000042,-0.172081481373
ACH-000045,-0.163100817635
ACH-000047,-0.468987642531
ACH-000052,-0.336233547941
ACH-000053,-0.29380461564
ACH-000054,-0.274447624221
ACH-000055,-0.07319845369439999
ACH-000060,-0.305320851685
ACH-000067,-0.0822548061717
ACH-000070,-0.46285661508299997
ACH-000075,-0.373075771761
ACH-000078,-0.178819126371
ACH-000082,-0.19451503516399998
ACH-000085,-0.30289540510400004
ACH-000086,-0.174670931963
ACH-000087,-0.44595545148000004
ACH-000092,-0.247585454203
ACH-000095,-0.315302847741
ACH-000097,-0.20537037595899998
ACH-000098,-0.154028556402
ACH-000099,-0.149257050435
ACH-000108,-0.179698046161
ACH-000113,-0.223991435795
ACH-000115,0.05572962816330001
ACH-000116,-0.21527488825599997
ACH-000118,-0.198701088387
ACH-000120,-0.238334634824
ACH-000123,-0.330217258756
ACH-000127,-0.262918009992
ACH-000128,0.0251723899817
ACH-000132,-0.373662659742
ACH-000133,-0.320972855299
ACH-000137,-0.302227459395
ACH-000138,-0.049595035694699995
ACH-000142,-0.0559091277209
ACH-000143,-0.421532574759
ACH-000146,-0.292725349405
ACH-000148,-0.252933483104
ACH-000150,-0.497353889772
ACH-000152,-0.5547815813120001
ACH-000153,-0.17864545346799998
ACH-000159,-0.33292575849
ACH-000160,-0.125171153315
ACH-000163,-0.09846916025949999
ACH-000167,-0.21607247314800002
ACH-000168,-0.192784650172
ACH-000169,-0.219506797003
ACH-000178,-0.12573139099400002
ACH-000182,-0.17597145595600003
ACH-000183,0.0391962418519
ACH-000188,-0.336233479987
ACH-000189,-0.33466946047400004
ACH-000190,-0.272574019858
ACH-000198,-0.21954318679600002
ACH-000204,-0.396328546137
ACH-000206,-0.154691966173
ACH-000207,0.0655887677808
ACH-000211,-0.317311125594
ACH-000215,-0.203236334837
ACH-000221,-0.066466482975
ACH-000222,0.267803723851
ACH-000223,-0.294881681968
ACH-000226,-0.372717242113
ACH-000227,-0.666403087192
ACH-000228,-0.224772458923
ACH-000231,-0.145054972273
ACH-000232,-0.425719998766
ACH-000233,-0.438558792305
ACH-000234,-0.232202387356
ACH-000235,-0.177320155212
ACH-000237,-0.327992715088
ACH-000238,-0.335109635334
ACH-000243,-0.0679599748819
ACH-000244,-0.34326384380099995
ACH-000246,-0.278051008032
ACH-000248,-0.154120057279
ACH-000250,-0.299502791956
ACH-000251,-0.520882236544
ACH-000253,-0.19670574791099998
ACH-000255,-0.24859813442499998
ACH-000256,-0.23342390231899998
ACH-000257,-0.525122882274
ACH-000258,-0.6735000937729999
ACH-000259,-0.149669346307
ACH-000260,-0.0852546434224
ACH-000261,-0.264901419643
ACH-000262,-0.442706484656
ACH-000263,0.2841306894
ACH-000264,-0.275894651028
ACH-000265,0.00279381250634
ACH-000266,-0.109660519996
ACH-000272,-0.205588838455
