,ARID3C (138715)
ACH-000004,-0.24178157109099999
ACH-000007,-0.222648037346
ACH-000009,-0.254665485928
ACH-000011,-0.314469799007
ACH-000012,-0.228958957402
ACH-000013,-0.141526403797
ACH-000014,-0.135968513477
ACH-000015,-0.24057664179000002
ACH-000017,-0.34676013814499995
ACH-000018,-0.147308460606
ACH-000019,-0.194718453008
ACH-000021,-0.246691569126
ACH-000022,-0.07242393866210001
ACH-000025,-0.249937660983
ACH-000028,0.026148634276900003
ACH-000030,-0.252014196747
ACH-000035,-0.33739167770499995
ACH-000036,-0.20841640938099998
ACH-000037,-0.49984855211199997
ACH-000039,-0.35001922710699995
ACH-000040,-0.12877688446799998
ACH-000041,-0.536438343477
ACH-000042,-0.22253070437199998
ACH-000045,-0.0607554249037
ACH-000047,-0.20861272039
ACH-000052,0.06705262463890001
ACH-000053,-0.10131216987500001
ACH-000054,-0.31905094759
ACH-000055,-0.19023028514899998
ACH-000060,-0.243517850093
ACH-000067,-0.007415986817890001
ACH-000070,-0.350934152936
ACH-000075,-0.316941752174
ACH-000078,-0.374388494103
ACH-000082,-0.304379329787
ACH-000085,-0.858017788277
ACH-000086,-0.10932142182900001
ACH-000087,-0.399236948891
ACH-000092,-0.503723257321
ACH-000095,-0.235616237072
ACH-000097,-0.159555323571
ACH-000098,-0.310192404588
ACH-000099,-0.25507746555
ACH-000108,-0.0623235632655
ACH-000113,-0.0658449421556
ACH-000115,-0.24560958302799998
ACH-000116,-0.08599361036389999
ACH-000118,-0.365463252094
ACH-000120,-0.053786910236400004
ACH-000123,-0.257133622638
ACH-000127,-0.108127239906
ACH-000128,-0.142208516911
ACH-000132,-0.31632319974
ACH-000133,-0.32988473441599997
ACH-000137,-0.195565086638
ACH-000138,-0.22963369674400003
ACH-000142,0.0816536426297
ACH-000143,-0.207445238754
ACH-000146,-0.295388544508
ACH-000148,-0.216108061257
ACH-000150,-0.559488641087
ACH-000152,-0.199235299882
ACH-000153,0.272294941173
ACH-000159,-0.16132886572799998
ACH-000160,0.133273499528
ACH-000163,-0.209558079443
ACH-000167,0.27606007769499996
ACH-000168,-0.09694395352489998
ACH-000169,-0.38464806477200003
ACH-000178,-0.131463205401
ACH-000182,-0.004572918049
ACH-000183,-0.0795252831192
ACH-000188,-0.42256213928999997
ACH-000189,-0.000814349853332
ACH-000190,0.411968099785
ACH-000198,-0.204874674382
ACH-000204,-0.023770098887099998
ACH-000206,-0.241817348518
