,PFN1 (5216)
ACH-000004,-0.924877105016
ACH-000007,-1.1847747862
ACH-000009,-1.38851173451
ACH-000011,-0.975094075405
ACH-000012,-0.979048603691
ACH-000013,-0.441531829519
ACH-000014,-1.2130629860100002
ACH-000015,-0.7648371249770001
ACH-000017,-1.41551723722
ACH-000018,-1.0613200332700001
ACH-000019,-0.641297778104
ACH-000021,-0.534286890288
ACH-000022,-1.23775835753
ACH-000025,-1.20559527809
ACH-000028,-0.687865756718
ACH-000030,-0.7059156847020001
ACH-000035,-0.535954485055
ACH-000036,-0.9552350211059999
ACH-000037,-1.0132625689
ACH-000039,-1.0150668753799998
ACH-000040,-1.4240662531000001
ACH-000041,-1.25380441116
ACH-000042,-0.6287794182750001
ACH-000045,-0.9030142585609999
ACH-000047,-0.761925265025
ACH-000052,-1.27274698362
ACH-000053,-1.14929572846
ACH-000054,-0.9196165664579999
ACH-000055,-0.9065210750730001
ACH-000060,-1.45326496525
ACH-000067,-0.8474462623479999
ACH-000070,-1.12514371937
ACH-000075,-1.17047190629
ACH-000078,-0.710895076858
ACH-000082,-0.72857680085
ACH-000085,-0.981586140696
ACH-000086,-1.2825784338700001
ACH-000087,-0.413947258427
ACH-000092,-0.704389844199
ACH-000095,-0.534213571684
ACH-000097,-0.580955812853
ACH-000098,-0.952013911894
ACH-000099,-0.618437886599
ACH-000108,-0.827501528336
ACH-000113,-0.94541080737
ACH-000115,-1.98858074444
ACH-000116,-0.525288968573
ACH-000118,-0.7330262888760001
ACH-000120,-0.608169945923
ACH-000123,-1.22639390465
ACH-000127,-1.28171562142
ACH-000128,-0.607045534947
ACH-000132,-1.1216786106299999
ACH-000133,-1.1098626813099999
ACH-000137,-0.6360687292180001
ACH-000138,-0.657419242301
ACH-000142,-0.953309426574
ACH-000143,-1.0909249509399999
ACH-000146,-1.16999400362
ACH-000148,-0.875854148088
ACH-000150,-0.9847764183329999
ACH-000152,-1.6325763899
ACH-000153,-1.33526696266
ACH-000159,-1.0014710227099999
ACH-000160,-0.646369329029
ACH-000163,-1.1069036752399999
ACH-000167,-0.9394063787029999
ACH-000168,-1.08175678095
ACH-000169,-1.12248883176
ACH-000178,-1.1060345710700001
