,GLB1 (2720)
ACH-000004,-0.140027908801
ACH-000007,-0.496335129892
ACH-000009,-0.280180784754
ACH-000011,-0.006784411894669999
ACH-000012,-0.15185722685
ACH-000013,-0.110121337774
ACH-000014,-0.00340629435306
ACH-000015,-0.159250610699
ACH-000017,-0.0380666716602
ACH-000018,0.00607424336051
ACH-000019,0.133954056974
ACH-000021,-0.302589988302
ACH-000022,-0.32721403295400003
ACH-000025,-0.014479841188000001
ACH-000028,0.011882736806700002
ACH-000030,-0.0598599995115
ACH-000035,-0.10666693281600001
ACH-000036,-0.266247140434
ACH-000037,-0.00036660231971699994
ACH-000039,0.0469509497599
ACH-000040,-0.09181734144050001
ACH-000041,-0.068730871127
ACH-000042,-0.22461968559999998
ACH-000045,-0.362155088193
ACH-000047,-0.25981823265
ACH-000052,-0.14736485173
ACH-000053,-0.29980102289
ACH-000054,-0.113037651162
ACH-000055,-0.05425001734180001
ACH-000060,-0.132064178877
ACH-000067,-0.135863977073
ACH-000070,-0.0395189414325
ACH-000075,-0.13415479787999998
ACH-000078,-0.114368335788
ACH-000082,-0.0781948522595
ACH-000085,-0.105072182564
ACH-000086,-0.173674954755
ACH-000087,-0.08176690575369999
ACH-000092,-0.09558570199439999
ACH-000095,-0.140525648364
ACH-000097,-0.094286688339
ACH-000098,-0.00839011318522
ACH-000099,-0.238370611108
ACH-000108,-0.446783473448
ACH-000113,-0.244974412042
ACH-000115,0.024817566762599996
ACH-000116,-0.156638930536
ACH-000118,-0.10493248706399999
ACH-000120,-0.19388821614100002
ACH-000123,-0.15175152734300001
ACH-000127,-0.110127008248
ACH-000128,-0.22498639605700002
ACH-000132,-0.09568239898700001
ACH-000133,-0.08335449566150001
ACH-000137,-0.20323018049199998
ACH-000138,-0.239278088189
ACH-000142,-0.255196622874
ACH-000143,-0.0182499818207
ACH-000146,-0.284013610865
ACH-000148,-0.0659420763179
ACH-000150,-0.119417434161
ACH-000152,0.0548031540006
ACH-000153,-0.262028508371
ACH-000159,-0.195152075438
ACH-000160,-0.125238402377
ACH-000163,-0.244607801202
ACH-000167,-0.19544975621599997
ACH-000168,-0.11545932543199999
ACH-000169,-0.09766507040160001
ACH-000178,-0.122010175943
ACH-000182,0.062246264729500005
ACH-000183,-0.25104396706500004
ACH-000188,-0.12175059271199999
ACH-000189,0.179523246778
ACH-000190,-0.290588551474
ACH-000198,-0.27020578410999996
ACH-000204,-0.156233001003
ACH-000206,-0.164766098549
ACH-000207,-0.42049986828
ACH-000211,-0.17943930617800002
ACH-000215,-0.212459045999
ACH-000221,-0.317932923817
ACH-000222,-0.31349604982900003
ACH-000223,-0.12808497333
ACH-000226,-0.0918999090463
ACH-000227,-0.071081878978
ACH-000228,-0.273651423856
ACH-000231,-0.136903980455
ACH-000232,-0.133754628604
ACH-000233,-0.0406258339815
ACH-000234,-0.23702807253199998
ACH-000235,-0.267835906576
ACH-000237,-0.14768441541400001
ACH-000238,-0.0839481710782
ACH-000243,-0.207166040414
ACH-000244,-0.39154459077799997
ACH-000246,-0.191856449539
ACH-000248,-0.008014357986190001
ACH-000250,-0.0929066469739
ACH-000251,-0.18762024221
ACH-000253,-0.046662583583199996
ACH-000255,-0.0635928700496
ACH-000256,-0.184567177307
ACH-000257,-0.429408975661
ACH-000258,-0.149729297546
ACH-000259,-0.126411485819
ACH-000260,-0.10279834759199999
ACH-000261,-0.08783253130589999
ACH-000262,-0.0698208586604
ACH-000263,-0.227686379983
ACH-000264,-0.18142565595
ACH-000265,-0.317676762273
ACH-000266,-0.155251965455
ACH-000272,-0.23988994734400002
ACH-000273,-0.0491723088314
ACH-000274,-0.264592471219
ACH-000277,-0.09120804329080001
ACH-000278,-0.22839309742
ACH-000279,-0.129054989161
ACH-000280,-0.281244345527
ACH-000281,-0.278447618916
ACH-000288,-0.21568555483399998
ACH-000291,0.041397226861900005
ACH-000293,-0.0015495708961900001
ACH-000294,-0.274960761846
ACH-000295,-0.119059617726
ACH-000296,-0.382417916358
ACH-000302,-0.0869723264583
ACH-000304,-0.0905948844049
ACH-000307,-0.0033096726829899997
ACH-000308,-0.17461641041700002
ACH-000310,-0.330446612016
ACH-000311,-0.47826758314999995
ACH-000312,-0.242701960162
ACH-000315,-0.25717375063700004
ACH-000316,-0.10839400697799999
ACH-000317,-0.036445600435199996
ACH-000318,0.04954354810790001
ACH-000319,0.0165326333591
ACH-000320,-0.425088402767
ACH-000322,-0.24023981603
ACH-000323,-0.147112667518
ACH-000324,-0.18340191824000002
ACH-000329,-0.08907958840710001
ACH-000330,-0.250210543952
ACH-000331,-0.0668218350338
ACH-000332,-0.238120633282
ACH-000334,-0.0315678551164
ACH-000335,-0.120111105946
ACH-000336,-0.339718995356
ACH-000337,0.155787986738
ACH-000339,-0.23342792006299998
ACH-000341,-0.08505158894230001
ACH-000348,-0.110642617506
ACH-000350,-0.19250665274999998
ACH-000352,-0.072835968597
ACH-000356,-0.08005066172339999
ACH-000361,-0.254186643923
ACH-000362,-0.36528267000500003
ACH-000363,-0.008294338356409999
ACH-000364,-0.09414546353730001
ACH-000365,-0.263674144056
ACH-000366,-0.123210997982
ACH-000368,-0.243864452706
ACH-000374,-0.19605404144000002
ACH-000375,-0.358030301997
ACH-000376,-0.17316338796300002
ACH-000381,-0.425692922497
ACH-000383,-0.11633574877599999
ACH-000387,-0.157318501665
ACH-000389,-0.121942620891
ACH-000390,-0.0909329432383
