,CHID1 (66005)
ACH-000004,0.106350131843
ACH-000007,0.109254753201
ACH-000009,-0.024171757250900004
ACH-000011,-0.0366576561826
ACH-000012,-0.0158340742441
ACH-000013,-0.0743865862234
ACH-000014,0.0733373036151
ACH-000015,-0.0183531208231
ACH-000017,0.198492603882
ACH-000018,0.00428807732214
ACH-000019,-0.09384246645330001
ACH-000021,-0.0342488889205
ACH-000022,0.0278044572047
ACH-000025,-0.0652054541719
ACH-000028,-0.182456768976
ACH-000030,-0.139742990779
ACH-000035,-0.256981964731
ACH-000036,-0.263272850046
ACH-000037,-0.0544091956319
ACH-000039,-0.10721664146099999
ACH-000040,-0.12420147111400001
ACH-000041,-0.14898491840800002
ACH-000042,-0.208883567144
ACH-000045,-0.178617788625
ACH-000047,-0.0687949103425
ACH-000052,0.302034571942
ACH-000053,-0.164693296095
ACH-000054,-0.162976441067
ACH-000055,-0.255017489418
ACH-000060,-0.264420776222
ACH-000067,-0.027444289952500003
ACH-000070,0.0512053125614
ACH-000075,-0.169148426303
ACH-000078,-0.057789048869699995
ACH-000082,-0.0929307675173
ACH-000085,-0.12358044178099999
ACH-000086,-0.109561867312
ACH-000087,-0.0441864893619
ACH-000092,-0.0448558815833
ACH-000095,-0.157011516459
ACH-000097,-0.00472184696591
ACH-000098,-0.087244611609
ACH-000099,-0.12491022422
ACH-000108,-0.0140917822585
ACH-000113,-0.0663858161161
ACH-000115,-0.19643274812199998
ACH-000116,-0.0291419799608
ACH-000118,0.0601870071488
ACH-000120,-0.0629548629447
ACH-000123,-0.34916225371299997
ACH-000127,-0.113416987981
ACH-000128,0.168637003213
ACH-000132,-0.09658855304919998
ACH-000133,-0.12220555473099999
ACH-000137,-0.0831430603178
ACH-000138,-0.125931634527
ACH-000142,-0.0269892358695
ACH-000143,-0.172849511337
ACH-000146,-0.127165319472
ACH-000148,-0.0553718415767
ACH-000150,-0.29700784500599997
ACH-000152,0.0650257982037
ACH-000153,-0.270856849758
ACH-000159,0.0364224831887
ACH-000160,-0.16535849066400002
ACH-000163,0.0083155414567
ACH-000167,-0.169597753563
ACH-000168,-0.11240448511199999
ACH-000169,-0.0814348231232
ACH-000178,-0.06340430058999999
ACH-000182,-0.015417737265999999
ACH-000183,-0.20650883073600002
ACH-000188,-0.0769700837953
ACH-000189,-0.06781384625760001
ACH-000190,-0.152575726545
ACH-000198,-0.154640198424
ACH-000204,0.112710591614
ACH-000206,-0.207875779527
ACH-000207,-0.296784894042
ACH-000211,-0.0701615336995
ACH-000215,-0.184619187711
ACH-000221,-0.059411931862699996
ACH-000222,-0.301091179574
ACH-000223,-0.194841879569
ACH-000226,-0.204353435748
ACH-000227,-0.104645311428
ACH-000228,0.137711990245
ACH-000231,-0.166467237631
ACH-000232,-0.09867571466
ACH-000233,-0.057230029622300005
ACH-000234,-0.162698109635
ACH-000235,-0.136661711864
ACH-000237,-0.0387630019096
ACH-000238,-0.0178872951675
ACH-000243,-0.047505969863499996
ACH-000244,0.125066304392
ACH-000246,-0.11526203947899999
ACH-000248,0.027080243655
ACH-000250,-0.27948730019900003
ACH-000251,0.132874835899
ACH-000253,-0.256344987373
ACH-000255,-0.038178642851699994
ACH-000256,-0.100687799122
ACH-000257,0.0738770671535
