,DBI (1622)
ACH-000004,-0.291485201946
ACH-000007,-0.169824353566
ACH-000009,-0.22455370236400002
ACH-000011,-0.119115431966
ACH-000012,-0.160766599233
ACH-000013,-0.07074212678780001
ACH-000014,-0.102635253069
ACH-000015,-0.298905391535
ACH-000017,-0.31138643097
ACH-000018,-0.178266030042
ACH-000019,-0.34445095668799997
ACH-000021,-0.15952217854599998
ACH-000022,-0.00781567862739
ACH-000025,-0.17533227448
ACH-000028,-0.390507729113
ACH-000030,-0.18904707354699998
ACH-000035,-0.414627993644
ACH-000036,-0.00061586880935
ACH-000037,0.0805016808273
ACH-000039,-0.0439376212694
ACH-000040,-0.157799715481
ACH-000041,-0.35420729381099997
ACH-000042,-0.20690843343899998
ACH-000045,-0.280453218504
ACH-000047,-0.156772080103
ACH-000052,-0.39914937059699995
ACH-000053,-0.162853964631
ACH-000054,-0.200503879617
ACH-000055,-0.09178384966320001
ACH-000060,-0.3581835439
ACH-000067,-0.12900943544399998
ACH-000070,-0.389515593895
ACH-000075,-0.23173788195
ACH-000078,-0.19616856039299999
ACH-000082,-0.288889861638
ACH-000085,0.0935857467415
ACH-000086,-0.290081020412
ACH-000087,-0.261649008448
ACH-000092,-0.458729794588
ACH-000095,-0.174976634681
ACH-000097,-0.171696434031
ACH-000098,-0.346960856403
ACH-000099,-0.274090942502
ACH-000108,-0.34035140993100005
ACH-000113,-0.09824549003960001
ACH-000115,0.0582368666582
ACH-000116,-0.0662671221855
ACH-000118,-0.296405237591
ACH-000120,-0.502016247678
ACH-000123,-0.26711282456700003
ACH-000127,-0.175283122222
ACH-000128,-0.08802694078199999
ACH-000132,-0.37157314385799994
ACH-000133,-0.156472319412
ACH-000137,-0.26763865678599996
ACH-000138,-0.282589587645
ACH-000142,-0.08469921019469999
ACH-000143,-0.197612549208
ACH-000146,-0.112892765578
ACH-000148,-0.160641079041
ACH-000150,-0.24442071044799998
ACH-000152,-0.18889316729800001
ACH-000153,-0.334795951411
ACH-000159,-0.250200003794
ACH-000160,-0.358293248172
ACH-000163,-0.174163258586
ACH-000167,-0.13544159497199998
ACH-000168,-0.17533121531399998
ACH-000169,-0.167140027478
ACH-000178,-0.260279407682
ACH-000182,-0.08638869755930001
ACH-000183,-0.198110326062
ACH-000188,-0.144131430438
ACH-000189,-0.470188494983
ACH-000190,-0.346222666703
ACH-000198,-0.15744591076199999
ACH-000204,-0.269540283893
ACH-000206,-0.434838094132
ACH-000207,-0.0468812514335
ACH-000211,-0.24643832161499998
ACH-000215,-0.22897901293499998
ACH-000221,-0.19178904903299998
ACH-000222,-0.519726435128
ACH-000223,-0.401384690128
ACH-000226,-0.406296228954
ACH-000227,-0.216237866974
ACH-000228,-0.15839715074000002
ACH-000231,-0.115523449967
ACH-000232,-0.0855081912465
ACH-000233,-0.205594908602
ACH-000234,-0.265243646853
ACH-000235,-0.15271033345499999
